"Service Description","CPT Code","Charge Type","Christiana Facility Price"
"SCREW, MATRIX TI 9.0X30MM THREAD LENGTH",,Hospital,"$1,912.50"
"SCREW, MATRIX TI 9.0X35MM THREAD LENGTH",,Hospital,"$1,912.50"
"SCREW, MATRIX TI 9.0X40MM THREAD LENGTH",,Hospital,"$1,912.50"
"SCREW, MATRIX TI 9.0X45MM THREAD LENGTH",,Hospital,"$1,912.50"
"SCREW, MATRIX TI 9.0X50MM THREAD LENGTH",,Hospital,"$1,912.50"
"SCREW, MATRIX TI 9.0X55MM THREAD LENGTH",,Hospital,"$1,912.50"
"SCREW, MATRIX TI 9.0X60MM THREAD LENGTH",,Hospital,"$1,912.50"
"SCREW, MATRIX TI 9.0X65MM THREAD LENGTH",,Hospital,"$1,912.50"
"SCREW, MATRIX TI 9.0X70MM THREAD LENGTH",,Hospital,"$1,912.50"
"SCREW, MATRIX TI 9.0X75MM THREAD LENGTH",,Hospital,"$1,912.50"
"SCREW, MATRIX TI SELF TAPPING 2.0 X 5MM",,Hospital,$192.19
"SCREW, MATRIX TI SELF-TAPPING 2.0 MM X12MM",,Hospital,$192.19
"SCREW, MATRIX TI SELF-TAPPING 2.0 X 10MM",,Hospital,$192.19
"SCREW, MATRIX TI SELF-TAPPING 2.0 X 8MM",,Hospital,$192.19
"SCREW, MATRIX TI SELF-TAPPING 2.0MM X 6MM",,Hospital,$192.19
"SCREW, MATRIX TI SELF-TAPPING 2.4 MM X 6 MM",,Hospital,$276.21
"SCREW, MATRIX TI SELF-TAPPING 2.4 X 10MM",,Hospital,$276.21
"SCREW, MATRIXRIB LOCK SELF-TAP TI 2.9X10MM",,Hospital,$589.90
"SCREW, MATRIXRIB LOCK SELF-TAP TI 2.9X12MM",,Hospital,$589.90
"SCREW, MATRIXRIB LOCK SELF-TAP TI 2.9X14MM",,Hospital,$589.90
"SCREW, MATRIXRIB LOCK SELF-TAP TI 2.9X16MM",,Hospital,$509.70
"SCREW, MATRIXRIB LOCK SELF-TAP TI 2.9X8MM",,Hospital,$525.00
"SCREW, MATRIXRIB SELF-TAP LOCKING  2.9X12MM",C1713,Hospital,$525.00
"SCREW, MATRIXRIB SELF-TAP NON-LOCKING TI 2.9X10MM",C1713,Hospital,$328.53
"SCREW, MAXLOCK EXTRM LOCKING 3.5X10MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM LOCKING 3.5X12MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM LOCKING 3.5X14MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM LOCKING 3.5X16MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM LOCKING 3.5X18MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM LOCKING 3.5X20MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM LOCKING 3.5X22MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM LOCKING 3.5X24MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM LOCKING 3.5X26MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM LOCKING 3.5X28MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM LOCKING 3.5X30MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM LOCKING 3.5X32.5MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM LOCKING 3.5X8MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 2.7X08MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 2.7X10MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 2.7X12MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 2.7X14MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 2.7X16MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 2.7X18MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 2.7X20MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 2.7X22MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 2.7X24MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 2.7X26MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 2.7X28MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 2.7X30MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 3.5X10MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 3.5X12MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 3.5X14MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 3.5X16MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 3.5X18MM",,Hospital,$765.00
"SCREW, MAXLOCK EXTRM NON-LOCK 3.5X20MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 3.5X22MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 3.5X24MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 3.5X26MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 3.5X28MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 3.5X30MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 3.5X32.5MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 3.5X35MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 3.5X8MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 4.0X10MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 4.0X12MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 4.0X14MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 4.0X16MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 4.0X18MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 4.0X20MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 4.0X22MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 4.0X24MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 4.0X26MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 4.0X28MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 4.0X30MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 4.0X32.5MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 4.0X35MM",,Hospital,$580.13
"SCREW, MAXLOCK EXTRM NON-LOCK 4.0X40MM",,Hospital,$580.13
"SCREW, MENISCAL 11MM",C1713,Hospital,$773.50
"SCREW, MENISCAL CLEAVIX 2X10",C1713,Hospital,$709.75
"SCREW, MENISCAL DARTSTICK 10MM",,Hospital,$556.75
"SCREW, MENISCAL DARTSTICK 12MM",,Hospital,$556.75
"SCREW, MENISCAL W/DRIVER 11MM",C1713,Hospital,$578.00
"SCREW, METAHYSEAL 2.7X38MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL 2.7 X 20MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL 2.7 X 22MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL 2.7 X 24MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL 2.7 X 28MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL 2.7 X 34MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL 2.7 X 40MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL 2.7 X 60MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL 2.7X12MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL 2.7X42MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL 2.7X46MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL 2.7X48MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL 2.7X54MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL 2.7X56MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL 2.7X64MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL 2.7X70MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL SELF-DRILL 2.7X50MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL SELF-DRILL W/T8 STARDRIVE 2.7X58MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL SELF-TAP 2.7X10MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL SELF-TAP 2.7X14MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL SELF-TAP 2.7X16MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL SELF-TAP 2.7X26MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL SELF-TAP RECESS 2.7X30MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL SELF-TAP RECESS 2.7X66MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL SELF-TAP RECESS 2.7X68MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL SELF-TAP W/T8 STARDIVE RECESS 2.7X32MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL SELF-TAP W/T8 STARDRIVE 2.7X18MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL SELF-TAP W/T8 STARDRIVE RECESS 2.7X36MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL SELF-TAP W/T8 STARDRIVE RECESS 2.7X44MM",C1713,Hospital,$194.61
"SCREW, METAPHYSEAL SELF-TAP W/T8 STRDRV RECESS 2.7X52MM",C1713,Hospital,$194.61
"SCREW, MIAMI SI MOSS 6.0X35MM",,Hospital,"$3,302.25"
"SCREW, MIAMI SI MOSS 6.0X40MM",,Hospital,"$3,302.25"
"SCREW, MIAMI SI MOSS 6.0X45MM",,Hospital,"$3,302.25"
"SCREW, MICRO ACUTRAK 2 BONE 26.0MM",C1713,Hospital,"$2,358.75"
"SCREW, MICRO ACUTRAK2 10MM - NON STERILE",C1713,Hospital,"$2,358.75"
"SCREW, MICRO ACUTRAK2 11MM NONSTRL",C1713,Hospital,"$2,358.75"
"SCREW, MICRO ACUTRAK2 12MM - NON STERILE",C1713,Hospital,"$2,358.75"
"SCREW, MICRO ACUTRAK2 13MM NONSTRL",C1713,Hospital,"$2,358.75"
"SCREW, MICRO ACUTRAK2 14MM - NON STERILE",C1713,Hospital,"$2,358.75"
"SCREW, MICRO ACUTRAK2 16MM",C1713,Hospital,"$2,244.00"
"SCREW, MICRO ACUTRAK2 16MM NONSTRL",C1713,Hospital,"$2,358.75"
"SCREW, MICRO ACUTRAK2 18MM",C1713,Hospital,"$2,358.75"
"SCREW, MICRO ACUTRAK2 20MM",C1713,Hospital,"$2,358.75"
"SCREW, MICRO ACUTRAK2 22MM",C1713,Hospital,"$2,358.75"
"SCREW, MICRO ACUTRAK2 24MM",C1713,Hospital,"$2,358.75"
"SCREW, MICRO ACUTRAK2 28MM",C1713,Hospital,"$2,358.75"
"SCREW, MICRO ACUTRAK2 30MM",C1713,Hospital,"$2,358.75"
"SCREW, MICRO ACUTRAK2 8MM NONSTRL",C1713,Hospital,"$2,358.75"
"SCREW, MICRO ACUTRAK2 9MM - NON STERILE",C1713,Hospital,"$2,358.75"
"SCREW, MIDFACE MATRIX TI EMERG 10MM",C1713,Hospital,$247.73
"SCREW, MIDFACE MATRIX TI EMERG 12MM",C1713,Hospital,$247.73
"SCREW, MIDFACE MATRIX TI EMERG 14MM",C1713,Hospital,$247.73
"SCREW, MIDFACE MATRIX TI EMERG 16MM",C1713,Hospital,$247.73
"SCREW, MIDFACE MATRIX TI EMERG 18MM",C1713,Hospital,$247.73
"SCREW, MIDFACE MATRIX TI EMERG 8MM",C1713,Hospital,$247.73
"SCREW, MIDFACE MATRIX TI SELF-DRILL 10MM",,Hospital,$242.04
"SCREW, MIDFACE MATRIX TI SELF-DRILL 12MM",C1713,Hospital,$242.04
"SCREW, MIDFACE MATRIX TI SELF-DRILL 14MM",C1713,Hospital,$242.04
"SCREW, MIDFACE MATRIX TI SELF-DRILL 16MM",C1713,Hospital,$242.04
"SCREW, MIDFACE MATRIX TI SELF-DRILL 18MM",C1713,Hospital,$242.04
"SCREW, MIDFACE MATRIX TI SELF-DRILL 4MM",C1713,Hospital,$250.58
"SCREW, MIDFACE MATRIX TI SELF-DRILL 5MM",C1713,Hospital,$250.58
"SCREW, MIDFACE MATRIX TI SELF-DRILL 6MM",C1713,Hospital,$250.58
"SCREW, MIDFACE MATRIX TI SELF-DRILL 8MM",C1713,Hospital,$250.58
"SCREW, MINI ACUTRAK FIXATION 12.0MM",C1713,Hospital,"$1,929.50"
"SCREW, MINI ACUTRAK2 16MM - NON STERILE",C1713,Hospital,"$2,358.75"
"SCREW, MINI ACUTRAK2 18MM - NON STERILE",C1713,Hospital,"$2,358.75"
"SCREW, MINI ACUTRAK2 18MM NONSTRL",C1713,Hospital,"$2,244.00"
"SCREW, MINI ACUTRAK2 20MM NONSTRL",C1713,Hospital,"$2,358.75"
"SCREW, MINI ACUTRAK2 22MM NONSTRL",C1713,Hospital,"$2,358.75"
"SCREW, MINI ACUTRAK2 24MM NONSTRL",C1713,Hospital,"$2,358.75"
"SCREW, MINI ACUTRAK2 26MM NONSTRL",C1713,Hospital,"$2,358.75"
"SCREW, MINI ACUTRAK2 28MM NONSTRL",C1713,Hospital,"$2,358.75"
"SCREW, MINI ACUTRAK2 30MM NONSTRL",C1713,Hospital,"$2,358.75"
"SCREW, MINI-ACUTRAK FIXATION 16.0MM",,Hospital,"$1,929.50"
"SCREW, MIS HEADED 33MM",C1713,Hospital,$0.00
"SCREW, MMF SELF DRILLING 2.0X12MM",,Hospital,$350.20
"SCREW, MMF SELF DRILLING 2.0X8MM",,Hospital,$350.20
"SCREW, MNTR INNER SET",,Hospital,$425.00
"SCREW, MNTR M/L 4.0X22MM",,Hospital,"$2,975.00"
"SCREW, MONARCH 5.5X45MM",,Hospital,"$3,825.00"
"SCREW, MONARCH 5.5X50MM",,Hospital,"$3,825.00"
"SCREW, MONARCH 7.75X50MM",C1713,Hospital,"$3,825.00"
"SCREW, MONARCH 8.5X40",,Hospital,"$2,279.06"
"SCREW, MONARCH POLY 6.25X30MM",,Hospital,"$3,825.00"
"SCREW, MONARCH POSTED 7.75X40MM",C1713,Hospital,"$2,279.06"
"SCREW, MONARCH POSTED 7.75X45MM",C1713,Hospital,"$2,279.06"
"SCREW, MONARCH POSTED 8.50X35MM",C1713,Hospital,"$2,279.06"
"SCREW, MOUNTAINEER 3.5X10MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER 4.35X30MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER 4.35X35MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 10MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 12MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 14MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 26MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X14MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X16MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X18MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X20MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X22MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X24MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X28MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X30MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X32MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X34MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X36MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X38MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X40MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X42MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X44MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X46MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X48MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 3.5X50MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER FA 4.0X10MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LAMINO 2.30X6MM",,Hospital,$255.00
"SCREW, MOUNTAINEER LAMINO 2.3X4MM",C1713,Hospital,$255.00
"SCREW, MOUNTAINEER LAMINO 2.3X8MM",,Hospital,$255.00
"SCREW, MOUNTAINEER LAMINO 2.6X MM",,Hospital,$255.00
"SCREW, MOUNTAINEER LAMINO 2.6X6MM",,Hospital,$255.00
"SCREW, MOUNTAINEER LS 3.5 DIA X 42 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 3.5 DIA X 44 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 3.5 DIA X 46 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 3.5 DIA X 48 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 3.5 DIA X 50 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 3.5X20MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 3.5X22MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 3.5X26MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 3.5X28MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 3.5X30MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 3.5X32MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 3.5X34MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 3.5X36MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 3.5X38MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 3.5X40MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 20 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 22 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 24 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 26 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 28 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 30 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 32 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 34 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 36 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 38 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 40 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 42 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 44 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 46 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 48 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER LS 4.0 DIA X 50 LNG",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 3.5X16MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 3.5X20MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 3.5X22MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 3.5X24MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 3.5X26MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 3.5X28MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 3.5X30MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 4.0 X 26MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 4.0X14MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 4.0X16MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 4.0X18MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 4.0X20MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 4.0X24MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 4.35X25MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 4.35X30MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 4.35X40MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 4.35X45MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER M/L 4.35X50MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER ML 14MM",,Hospital,"$2,975.00"
"SCREW, MOUNTAINEER OC 4.5X12MM",,Hospital,"$1,270.75"
"SCREW, MOUNTAINEER OC 4.5X14MM",,Hospital,"$1,270.75"
"SCREW, MOUNTAINEER OC 4.5X16MM",,Hospital,"$1,270.75"
"SCREW, MPA BONE 4.0X16MM",,Hospital,"$3,922.75"
"SCREW, MPA BONE 4.0X26MM",,Hospital,"$3,922.75"
"SCREW, MPA FAVORED ANGLED 3.5X14MM",,Hospital,"$3,978.00"
"SCREW, MULTI AXIAL 14MM",,Hospital,"$5,423.00"
"SCREW, MULTI AXIAL 5.5X40MM",,Hospital,"$4,573.00"
"SCREW, MULTI AXIAL 5.5X45MM",,Hospital,"$3,706.00"
"SCREW, MULTI AXIAL 6.5X30",,Hospital,"$4,309.50"
"SCREW, MULTI AXIAL 6.5X35MM",,Hospital,"$3,808.00"
"SCREW, MULTI AXIAL 6.5X40MM",,Hospital,"$3,808.00"
"SCREW, MULTI AXIAL 6.5X45MM",,Hospital,"$3,706.00"
"SCREW, MULTI AXIAL 6.5X50MM",,Hospital,"$3,493.50"
"SCREW, MULTI AXIAL 7.5X35MM",,Hospital,"$3,706.00"
"SCREW, MULTI AXIAL 7.5X40MM",,Hospital,"$3,808.00"
"SCREW, MULTI AXIAL 7.5X45MM",,Hospital,"$3,493.50"
"SCREW, MULTI AXIAL 7.5X50MM",,Hospital,"$3,493.50"
"SCREW, MULTI DIRECTIONAL 3.8X22MM",,Hospital,$569.50
"SCREW, MULTI-DIRECTIONAL 3.8X20MM",,Hospital,$569.50
"SCREW, MULTI-DIRECTIONAL 3.8X24MM",,Hospital,$569.50
"SCREW, MULTI-DIRECTIONAL 3.8X26MM",,Hospital,$569.50
"SCREW, MULTI-DIRECTIONAL 3.8X28MM",,Hospital,$569.50
"SCREW, MULTI-DIRECTIONAL 3.8X30MM",,Hospital,$569.50
"SCREW, MULTI-DIRECTIONAL 3.8X32MM",,Hospital,$569.50
"SCREW, MULTI-DIRECTIONAL 3.8X34MM",,Hospital,$569.50
"SCREW, MULTI-DIRECTIONAL 3.8X36MM",,Hospital,$569.50
"SCREW, MULTI-DIRECTIONAL 3.8X38MM",,Hospital,$569.50
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.0X20MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.0X25MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.0X30MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.0X35MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.0X40MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.0X45MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.0X50MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.0X55MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.5X20MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.5X25MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.5X30MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.5X35MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.5X40MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.5X45MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.5X50MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 4.5X55MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.0X20MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.0X25MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.0X30MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.0X35MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.0X40MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.0X45MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.0X50MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.0X55MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.5X20MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.5X25MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.5X30MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.5X35MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.5X40MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.5X45MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.5X50MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.5X55MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 5.5X60MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 6.0X20MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 6.0X25MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 6.0X30MM",,Hospital,"$3,825.00"
"SCREW, MULTIAX 4.75 SOLERA COCR TI 6.0X35MM",,Hospital,"$3,825.00"
