NDC,Description,Number Units Charged,Charge Amount Units,Charge
0904-6391-61 ,LOSARTAN POTASSIUM 25 MG PO TABS ,1,Each,$12.00
0904-6390-61 ,LOSARTAN POTASSIUM 50 MG PO TABS ,1,Each,$12.00
68084-559-11 ,LOVASTATIN 20 MG PO TABS ,1,Each,$12.50
99999-000-65 ,LR w/Oxytocin 20 UNIT/L Soln 1 Each Bag,1,Each,$106.00
70092-1070-25 ,"LR w/Oxytocin 20 UNIT/L Soln 1,000 mL Flex Cont",1000,mL,$83.00
64764-240-60 ,lubiprostone 24 MCG Caps 60 Each Bottle,1,Each,$37.50
63402-304-01 ,LURASIDONE HCL 40 MG PO TABS ,1,Each,$155.50
63402-308-01 ,LURASIDONE HCL 80 MG PO TABS ,1,Each,$155.50
37205-110-38 ,magnesium citrate Soln 296 mL Bottle,300,mL,$2.50
57896-635-06 ,MAGNESIUM CL-CALCIUM CARBONATE 70-117 MG PO TBEC ,1,Each,$0.50
60258-172-01 ,MAGNESIUM GLUCONATE 500 (27 MG) MG PO TABS ,1,Each,$0.50
0121-0431-30 ,magnesium hydroxide 400 MG/5ML Susp 30 mL Cup,30,mL,$2.50
63739-354-10 ,MAGNESIUM OXIDE 400 (241.3 MG) MG PO TABS ,1,Each,$0.50
0409-6729-03 ,magnesium sulfate 20 GM/500ML Soln 500 mL Flex Cont,500,mL,$60.00
63323-106-15 ,magnesium sulfate 20 GM/500ML Soln 500 mL Flex Cont,500,mL,$63.50
0409-6729-23 ,MAGNESIUM SULFATE 4 GM/100ML IV SOLN ,100,mL,$68.00
0409-6729-09 ,MAGNESIUM SULFATE 40 GM/1000ML IV SOLN ,1000,mL,$72.50
51754-1000-1 ,MAGNESIUM SULFATE 50 % IJ SOLN ,10,mL,$39.50
63323-064-04 ,MAGNESIUM SULFATE 50 % IJ SOLN ,10,mL,$39.00
63323-642-20 ,MAGNESIUM SULFATE 50 % IJ SOLN ,20,mL,$67.50
63323-642-50 ,MAGNESIUM SULFATE 50 % IJ SOLN ,50,mL,$116.00
63323-064-10 ,magnesium sulfate 50 % Soln 10 mL Vial,10,mL,$39.00
0517-2602-25 ,magnesium sulfate 50 % Soln 2 mL Vial,2,mL,$38.50
63323-064-09 ,magnesium sulfate 50 % Soln 2 mL Vial,2,mL,$38.50
99900-008-67 ,MARY'S MAGIC MOUTHWASH (TETRACYCLINE FREE) ,5,mL,$20.50
0006-4681-00 ,"measles, mumps and rubella vaccine Inj 1 Each Vial",1,Each,$236.00
0006-4681-01 ,"measles, mumps and rubella vaccine Inj 1 Each Vial",1,Each,$236.00
0904-6517-61 ,meclizine 25 MG Tabs 100 Each Box,1,Each,$1.00
42806-012-01 ,MECLIZINE HCL 12.5 MG PO TABS ,1,Each,$0.50
68084-491-11 ,MECLIZINE HCL 25 MG PO TABS ,1,Each,$1.00
0555-0779-02 ,medroxyPROGESTERone 10 MG Tabs 100 Each Bottle,1,Each,$11.50
0009-7376-11 ,medroxyPROGESTERone 150 MG/ML Susy 1 mL Syringe,1,mL,$468.50
0548-5701-00 ,medroxyPROGESTERone 150 MG/ML Susy 1 mL Syringe,1,mL,$192.00
0904-3571-61 ,megestrol 40 MG Tabs 100 Each Box,1,Each,$12.50
63739-165-10 ,megestrol 40 MG Tabs 100 Each Box,1,Each,$12.50
0904-5182-06 ,MELATONIN 3 MG PO TABS ,1,Each,$0.50
51991-014-06 ,MELATONIN 3 MG PO TABS ,1,Each,$0.50
74312-15745 ,MELATONIN 5 MG PO CAPS ,1,Each,$0.50
63739-701-10 ,meloxicam 7.5 MG Tabs 100 Each Box,1,Each,$11.50
0456-3205-60 ,MEMANTINE HCL 5 MG PO TABS ,1,Each,$43.00
0591-3870-45 ,MEMANTINE HCL 5 MG PO TABS ,1,Each,$33.00
0799-0001-02 ,menthol-zinc oxide 0.44-20.6 % Oint 71 g Tube,71,g,$4.00
61553-674-67 ,meperidine 10 MG/ML Soln 25 mL Syringe,25,mL,$156.50
0641-6052-01 ,meperidine 25 MG/ML Soln 1 mL Vial,1,mL,$44.50
0641-6052-25 ,meperidine 25 MG/ML Soln 1 mL Vial,1,mL,$44.50
0054-8595-11 ,meperidine 50 MG Tabs 25 Each Disp Pack,1,Each,$34.00
0409-1178-30 ,meperidine 50 MG/ML Soln 1 mL Syringe,1,mL,$68.00
0641-6053-01 ,meperidine 50 MG/ML Soln 1 mL Vial,1,mL,$44.50
0409-1255-12 ,MEPERIDINE HCL 100 MG/2ML IJ SOLN ,2,mL,$46.50
0409-1176-30 ,MEPERIDINE HCL 25 MG/ML IJ SOLN ,1,mL,$67.50
63323-508-30 ,MEROPENEM 1 G IV SOLR ,1,Each,$122.00
0310-0321-30 ,meropenem 1 g Solr 1 Each Vial,1,Each,$226.50
63323-507-21 ,MEROPENEM 500 MG IV SOLR ,1,Each,$62.50
63323-507-20 ,meropenem 500 MG Solr 1 Each Vial,1,Each,$79.50
54092-476-12 ,MESALAMINE 1.2 G PO TBEC ,1,Each,$51.00
68382-711-19 ,MESALAMINE 1.2 G PO TBEC ,1,Each,$47.00
57664-397-51 ,metFORMIN 500 MG Tabs 100 Each Bottle,1,Each,$12.00
0904-6326-61 ,metFORMIN 500 MG Tabs 100 Each Box,1,Each,$12.00
62756-142-01 ,metFORMIN 500 MG Tb24 100 Each Bottle,1,Each,$12.00
57664-435-51 ,metFORMIN 850 MG Tabs 100 Each Bottle,1,Each,$12.50
60687-143-11 ,METFORMIN HCL 850 MG PO TABS ,1,Each,$12.50
49483-623-09 ,METFORMIN HCL ER 500 MG PO TB24 ,1,Each,$12.00
68084-738-11 ,methadone 10 MG Tabs 1 Each Blister,1,Each,$31.50
0904-6530-61 ,methadone 10 MG Tabs 100 Each Box,1,Each,$31.50
99900-004-62 ,methadone 5 MG/5ML Soln 1 mL Syringe,1,mL,$20.50
60687-214-11 ,METHADONE HCL 5 MG PO TABS ,1,Each,$31.50
23155-070-01 ,methIMAzole 5 MG Tabs 100 Each Bottle,1,Each,$11.50
49884-640-01 ,methIMAzole 5 MG Tabs 100 Each Bottle,1,Each,$11.50
0703-3671-01 ,methotrexate (PF) 50 MG/2ML Soln 2 mL Vial,2,mL,$191.50
0703-3671-03 ,methotrexate (PF) 50 MG/2ML Soln 2 mL Vial,2,mL,$152.00
0703-3671-93 ,methotrexate (PF) 50 MG/2ML Soln 2 mL Vial,2,mL,$152.00
0703-3675-01 ,METHOTREXATE SODIUM (PF) 250 MG/10ML IJ SOLN ,10,mL,$185.50
0143-9519-01 ,METHOTREXATE SODIUM (PF) 50 MG/2ML IJ SOLN ,2,mL,$151.50
61703-350-37 ,METHOTREXATE SODIUM 50 MG/2ML IJ SOLN ,2,mL,$178.00
51079-200-01 ,methyldopa 250 MG Tabs 1 Each Blister,1,Each,$11.50
17478-504-10 ,methylene blue 1 % Soln 10 mL Vial,10,mL,$399.50
99999-010-61 ,methylene blue 3 mL in NS 500 mL 500 mL Bottle,500,mL,$104.00
0517-0374-01 ,METHYLENE BLUE 50 MG/10ML IV SOLN ,10,mL,$439.50
0054-0639-05 ,methylergonovine 0.2 MG Tabs 12 Each Bottle,1,Each,$169.00
27437-050-57 ,methylergonovine 0.2 MG Tabs 12 Each Bottle,1,Each,$187.00
43386-140-28 ,methylergonovine 0.2 MG Tabs 28 Each Bottle,1,Each,$169.00
17478-501-01 ,methylergonovine 0.2 MG/ML Soln 1 mL Ampule,1,mL,$67.50
0517-0740-20 ,methylergonovine 0.2 MG/ML Soln 1 mL Vial,1,mL,$128.00
27437-050-56 ,METHYLERGONOVINE MALEATE 0.2 MG PO TABS ,1,Each,$186.50
59762-4440-3 ,methylPREDNISolone 4 MG Tabs 100 Each Bottle,1,Each,$12.50
59746-001-03 ,methylPREDNISolone 4 MG Tbpk 21 Each Disp Pack,1,Each,$13.00
59762-4440-2 ,methylPREDNISolone 4 MG Tbpk 21 Each Disp Pack,1,Each,$12.50
0009-0698-01 ,methylPREDNISolone sodium succinate 1000 MG Solr 1 Each Vial,1,Each,$155.00
0009-0047-27 ,methylPREDNISolone sodium succinate 125 MG Solr 1 Each Vial,1,Each,$78.50
0009-0039-33 ,methylPREDNISolone sodium succinate 40 MG Solr 1 Each Vial,1,Each,$62.50
63739-293-10 ,metoclopramide 10 MG Tabs 100 Each Box,1,Each,$11.50
0409-3414-01 ,metoclopramide 5 MG/ML Soln 2 mL Vial,2,mL,$38.50
0703-4502-01 ,metoclopramide 5 MG/ML Soln 2 mL Vial,2,mL,$41.00
0703-4502-91 ,metoclopramide 5 MG/ML Soln 2 mL Vial,2,mL,$38.00
0409-3414-18 ,METOCLOPRAMIDE HCL 5 MG/ML IJ SOLN ,2,mL,$38.50
0143-9873-10 ,metoprolol 5 MG/5ML Soln 5 mL Vial,5,mL,$40.00
55390-073-10 ,metoprolol 5 MG/5ML Soln 5 mL Vial,5,mL,$39.50
49884-406-01 ,metoprolol succinate 100 MG Tb24 100 Each Bottle,1,Each,$13.00
62037-830-01 ,metoprolol succinate 25 MG Tb24 100 Each Bottle,1,Each,$12.50
68084-666-11 ,metoprolol succinate 50 MG Tb24 1 Each Blister,1,Each,$12.50
49884-405-01 ,metoprolol succinate 50 MG Tb24 100 Each Bottle,1,Each,$12.50
0904-6323-61 ,metoprolol succinate 50 MG Tb24 100 Each Box,1,Each,$12.50
0904-6324-61 ,METOPROLOL SUCCINATE ER 100 MG PO TB24 ,1,Each,$13.00
60429-141-01 ,METOPROLOL SUCCINATE ER 100 MG PO TB24 ,1,Each,$13.50
0186-1088-39 ,METOPROLOL SUCCINATE ER 25 MG PO TB24 ,1,Each,$12.50
62037-830-10 ,METOPROLOL SUCCINATE ER 25 MG PO TB24 ,1,Each,$12.50
51079-255-17 ,metoprolol tartrate 25 MG Tabs 1 Each Blister,1,Each,$11.50
57664-506-58 ,"metoprolol tartrate 25 MG Tabs 1,000 Each Bottle",1,Each,$11.50
0904-6340-61 ,metoprolol tartrate 25 MG Tabs 100 Each Box,1,Each,$11.50
51079-801-01 ,metoprolol tartrate 50 MG Tabs 1 Each Blister,1,Each,$12.00
0904-6341-61 ,metoprolol tartrate 50 MG Tabs 100 Each Box,1,Each,$12.00
0781-7077-87 ,metroNIDAZOLE 0.75 % Gel 70 g Tube,70,g,$286.50
51079-216-01 ,metroNIDAZOLE 250 MG Tabs 1 Each Blister,1,Each,$12.00
0904-1453-61 ,metroNIDAZOLE 250 MG Tabs 100 Each Box,1,Each,$12.00
50111-333-06 ,metroNIDAZOLE 250 MG Tabs 250 Each Bottle,1,Each,$11.50
0338-1055-48 ,metroNIDAZOLE 5-0.79 MG/ML-% Soln 100 mL Flex Cont,100,mL,$40.00
0409-7811-24 ,metroNIDAZOLE 5-0.79 MG/ML-% Soln 100 mL Flex Cont,100,mL,$39.00
0409-7811-37 ,metroNIDAZOLE 5-0.79 MG/ML-% Soln 100 mL Flex Cont,100,mL,$39.00
0409-7811-10 ,METRONIDAZOLE IN NACL 5-0.79 MG/ML-% IV SOLN ,100,mL,$39.00
0472-0730-63 ,miconazole 2 % Crea 45 g Tube,45,g,$11.00
0409-2305-50 ,midazolam 1 MG/ML Soln 5 mL Vial,5,mL,$43.00
63323-411-25 ,midazolam 1 MG/ML Soln 5 mL Vial,5,mL,$45.50
61703-321-07 ,midazolam 10 MG/2ML Soln 2 mL Vial,2,mL,$45.00
0409-2305-17 ,midazolam 2 MG/2ML Soln 2 mL Vial,2,mL,$43.00
0409-2305-21 ,midazolam 2 MG/2ML Soln 2 mL Vial,2,mL,$42.50
0054-3566-99 ,midazolam 2 MG/ML Syrp 118 mL Bottle,118,mL,$488.50
0409-2305-05 ,MIDAZOLAM HCL 5 MG/5ML IJ SOLN ,5,mL,$43.00
37205-831-43 ,mineral oil Oil 480 mL Bottle,480,mL,$4.50
54162-500-01 ,mineral oil-hydrophil petrolatum Oint 454 g Jar,454,g,$12.50
72140-63377 ,mineral oil-hydrophil petrolatum Oint 85 g Tube,85,g,$7.00
0469-2601-90 ,MIRABEGRON ER 25 MG PO TB24 ,1,Each,$61.50
0025-1451-34 ,miSOPROStol 100 MCG Tabs 100 Each Box,1,Each,$16.00
43386-160-06 ,miSOPROStol 100 MCG Tabs 60 Each Bottle,1,Each,$12.00
68084-041-11 ,miSOPROStol 200 MCG Tabs 1 Each Blister,1,Each,$13.00
43386-161-01 ,miSOPROStol 200 MCG Tabs 100 Each Bottle,1,Each,$12.50
59762-5008-2 ,miSOPROStol 200 MCG Tabs 100 Each Bottle,1,Each,$12.50
48783-112-08 ,MONSELS FERRIC SUBSULFATE Soln 8 mL Bottle,8,mL,$60.00
50268-575-11 ,montelukast 10 MG Tabs 1 Each Blister,1,Each,$16.00
51079-223-01 ,montelukast 10 MG Tabs 1 Each Blister,1,Each,$31.50
0904-6529-61 ,montelukast 10 MG Tabs 100 Each Box,1,Each,$31.00
0641-6020-01 ,morphine (PF) 0.5 MG/ML Soln 10 mL Ampule,10,mL,$131.00
0641-6019-01 ,morphine (PF) 1 MG/ML Soln 10 mL Ampule,10,mL,$116.00
0641-6019-10 ,morphine (PF) 1 MG/ML Soln 10 mL Ampule,10,mL,$116.00
76329-1911-1 ,morphine 1 MG/ML Soln 30 mL Syringe,30,mL,$93.00
0641-6070-01 ,morphine 10 MG/ML Soln 1 mL Vial,1,mL,$43.00
0409-1890-01 ,morphine 2 MG/ML Soln 1 mL Cartridge,1,mL,$44.50
0409-1890-10 ,morphine 2 MG/ML Soln 1 mL Syringe,1,mL,$44.50
76045-004-10 ,morphine 2 MG/ML Soln 1 mL Syringe,1,mL,$45.00
0409-1891-01 ,morphine 4 MG/ML Soln 1 mL Cartridge,1,mL,$44.50
76045-005-10 ,morphine 4 MG/ML Soln 1 mL Syringe,1,mL,$45.00
0409-3814-12 ,MORPHINE SULFATE (PF) 0.5 MG/ML IJ SOLN ,10,mL,$68.00
0409-1893-03 ,MORPHINE SULFATE (PF) 10 MG/ML IV SOLN ,1,mL,$44.50
0409-1893-01 ,morphine sulfate (PF) 10 MG/ML Soln 1 mL Cartridge,1,mL,$44.50
0641-6127-01 ,morphine sulfate (PF) 10 MG/ML Soln 1 mL Vial,1,mL,$44.50
0409-1890-03 ,MORPHINE SULFATE (PF) 2 MG/ML IV SOLN ,1,mL,$44.50
0641-6125-01 ,MORPHINE SULFATE (PF) 4 MG/ML IV SOLN ,1,mL,$44.50
0904-6558-61 ,MORPHINE SULFATE ER 30 MG PO TBCR ,1,Each,$32.50
58914-214-60 ,multivitamin pediatric Liqd 60 mL Bottle,60,mL,$25.50
0087-0405-01 ,MULTIVITAMIN pediatric w/**IRON** 10 MG/ML Soln 50 mL Bottle,50,mL,$9.00
0536-8530-80 ,MULTIVITAMIN pediatric w/**IRON** 10 MG/ML Soln 50 mL Bottle,50,mL,$5.50
0904-5313-60 ,multivitamin prenatal 27-0.8 MG Tabs 100 Each Bottle,1,Each,$0.50
62107-063-01 ,multivitamin prenatal 27-0.8 MG Tabs 100 Each Bottle,1,Each,$0.50
0904-0530-61 ,multivitamin Tabs 100 Each Box,1,Each,$0.50
45802-112-22 ,mupirocin 2 % Oint 22 g Tube,22,g,$51.00
51672-1312-0 ,mupirocin 2 % Oint 22 g Tube,22,g,$100.00
0143-9298-01 ,NA FERRIC GLUC CPLX IN SUCROSE 12.5 MG/ML IV SOLN ,5,mL,$72.00
63323-328-20 ,nafcillin 2 g Solr 1 Each Vial,1,Each,$139.50
55150-123-16 ,NAFCILLIN SODIUM 2 G IJ SOLR ,1,Each,$120.50
0409-1463-01 ,nalbuphine 10 MG/ML Soln 1 mL Ampule,1,mL,$41.50
0409-1463-49 ,nalbuphine 10 MG/ML Soln 1 mL Ampule,1,mL,$41.50
0409-1215-25 ,naloxone 0.4 MG/ML Soln 1 mL Vial,1,mL,$103.50
76329-3369-1 ,naloxone 2 MG/2ML Sosy 2 mL Syringe,2,mL,$154.00
50268-596-11 ,NAPROXEN 500 MG PO TABS ,1,Each,$12.50
0093-1006-01 ,naproxen 500 MG Tbec 100 Each Bottle,1,Each,$13.00
0456-1410-30 ,NEBIVOLOL HCL 10 MG PO TABS ,1,Each,$30.00
0713-0268-31 ,neomycin-bacitracin-polymyxin 5-400-5000 Oint 28.4 g Tube,28.4,g,$4.00
76014-003-33 ,neostigmine 10 MG/10ML Soln 10 mL Vial,10,mL,$115.00
76014-003-33 ,neostigmine 10 MG/10ML Soln 10 mL Vial,10,mL,$115.00
76014-903-33 ,neostigmine 10 MG/10ML Soln 10 mL Vial,10,mL,$115.00
76014-903-33 ,neostigmine 10 MG/10ML Soln 10 mL Vial,10,mL,$115.00
0067-5125-14 ,nicotine 14 MG/24HR Pt24 14 Each Box,1,Each,$2.50
0536-5895-88 ,nicotine 14 MG/24HR Pt24 14 Each Box,1,Each,$2.50
60505-70620 ,NICOTINE 14 MG/24HR TD PT24 ,1,Each,$2.50
60505-70630 ,nicotine 21 MG/24HR Pt24 1 Each Packet,1,Each,$2.50
0536-5896-88 ,nicotine 21 MG/24HR Pt24 14 Each Box,1,Each,$2.50
49348-144-46 ,NICOTINE 21 MG/24HR TD PT24 ,1,Each,$3.00
0536-1106-88 ,nicotine 7 MG/24HR Pt24 14 Each Box,1,Each,$2.50
0536-5894-88 ,nicotine 7 MG/24HR Pt24 14 Each Box,1,Each,$2.50
68084-022-11 ,NIFEdipine 10 MG Caps 1 Each Blister,1,Each,$12.50
0228-2497-10 ,NIFEdipine 10 MG Caps 100 Each Bottle,1,Each,$12.50
43386-440-24 ,NIFEdipine 10 MG Caps 100 Each Bottle,1,Each,$12.50
68084-597-11 ,NIFEdipine 30 MG Tb24 1 Each Blister,1,Each,$12.50
0069-2650-66 ,NIFEdipine 30 MG Tb24 100 Each Bottle,1,Each,$37.50
51079-348-01 ,nitrofurantoin monohydrate 100 MG Caps 1 Each Blister,1,Each,$29.50
68084-446-11 ,nitrofurantoin monohydrate 100 MG Caps 1 Each Blister,1,Each,$15.00
0378-3422-01 ,nitrofurantoin monohydrate 100 MG Caps 100 Each Bottle,1,Each,$14.50
0281-0326-08 ,nitroGLYCERIN 2 % Oint 1 g Packet,1,g,$14.00
8333-3344-01 ,no sting barrier film Misc 30 Each Box,1,Each,$1.00
63807-100-11 ,NORMAL SALINE FLUSH 0.9 % IV SOLN ,10,mL,$4.00
51672-4002-1 ,NORTRIPTYLINE HCL 25 MG PO CAPS ,1,Each,$12.50
0168-0054-15 ,nystatin 100000 UNIT/GM Crea 15 g Tube,15,g,$73.50
0603-7818-74 ,nystatin 100000 UNIT/GM Crea 15 g Tube,15,g,$73.50
45802-059-35 ,nystatin 100000 UNIT/GM Crea 15 g Tube,15,g,$73.50
0168-0007-15 ,nystatin 100000 UNIT/GM Oint 15 g Tube,15,g,$71.00
0574-2008-30 ,nystatin 100000 UNIT/GM Powd 30 g Bottle,30,g,$137.50
0832-0465-30 ,nystatin 100000 UNIT/GM Powd 30 g Bottle,30,g,$183.50
55111-262-79 ,OLANZAPINE 5 MG PO TBDP ,1,Each,$61.50
0781-2785-31 ,OMEPRAZOLE 10 MG PO CPDR ,1,Each,$15.00
55111-157-01 ,OMEPRAZOLE 10 MG PO CPDR ,1,Each,$15.00
60505-0145-2 ,OMEPRAZOLE 10 MG PO CPDR ,1,Each,$15.00
65628-070-03 ,omeprazole 2 MG/ML Susp 90 mL Bottle,90,mL,$131.00
0781-2233-10 ,"omeprazole 20 MG Cpdr 1,000 Each Bottle",1,Each,$15.50
0904-5684-61 ,omeprazole 20 MG Cpdr 100 Each Box,1,Each,$14.50
50268-621-11 ,ondansetron 4 MG Tabs 1 Each Blister,1,Each,$12.00
51079-524-01 ,ondansetron 4 MG Tabs 1 Each Blister,1,Each,$99.00
0904-6551-61 ,ondansetron 4 MG Tabs 100 Each Box,1,Each,$12.00
51079-524-20 ,ondansetron 4 MG Tabs 100 Each Box,1,Each,$99.00
0781-5238-64 ,ondansetron 4 MG Tbdp 30 Each Box,1,Each,$90.50
62756-240-64 ,ondansetron 4 MG Tbdp 30 Each Box,1,Each,$90.00
68462-157-13 ,ondansetron 4 MG Tbdp 30 Each Box,1,Each,$93.50
0409-4755-18 ,ondansetron 4 MG/2ML Soln 2 mL Vial,2,mL,$38.50
0641-6078-01 ,ondansetron 4 MG/2ML Soln 2 mL Vial,2,mL,$38.00
0641-6080-01 ,ondansetron 4 MG/2ML Soln 2 mL Vial,2,mL,$37.50
36000-012-25 ,ondansetron 4 MG/2ML Soln 2 mL Vial,2,mL,$38.50
55150-125-02 ,ondansetron 4 MG/2ML Soln 2 mL Vial,2,mL,$39.50
63323-373-02 ,ondansetron 4 MG/2ML Soln 2 mL Vial,2,mL,$39.50
70860-776-02 ,ondansetron 4 MG/2ML Soln 2 mL Vial,2,mL,$39.50
0904-6552-61 ,ondansetron 8 MG Tabs 100 Each Box,1,Each,$12.00
63304-459-30 ,ondansetron 8 MG Tabs 30 Each Bottle,1,Each,$133.00
0781-5239-06 ,ondansetron 8 MG Tbdp 1 Each Blister,1,Each,$121.00
23155-547-31 ,ONDANSETRON HCL 4 MG/2ML IJ SOLN ,2,mL,$37.50
67457-440-00 ,ONDANSETRON HCL 4 MG/2ML IJ SOLN ,2,mL,$37.50
0574-7040-12 ,opium-belladonna 16.2-60 MG Supp 12 Each Box,1,Each,$129.50
47781-470-13 ,oseltamivir 75 MG Caps 10 Each Box,1,Each,$66.00
70710-1010-2 ,oseltamivir 75 MG Caps 10 Each Box,1,Each,$66.00
0004-0800-85 ,oseltamivir 75 MG Caps 10 Each Disp Pack,1,Each,$76.00
51991-292-01 ,OXCARBAZEPINE 150 MG PO TABS ,1,Each,$12.50
0054-0098-20 ,OXcarbazepine 300 MG Tabs 100 Each Box,1,Each,$14.00
0904-2821-61 ,oxybutynin 5 MG Tabs 100 Each Box,1,Each,$12.00
0904-6570-61 ,OXYBUTYNIN CHLORIDE ER 5 MG PO TB24 ,1,Each,$14.00
0406-0552-62 ,oxyCODONE 5 MG Tabs 100 Each Box,1,Each,$31.50
0904-6444-61 ,oxyCODONE 5 MG Tabs 100 Each Box,1,Each,$31.50
0406-0523-62 ,oxyCODONE-acetaminophen 10-325 MG Tabs 100 Each Box,1,Each,$34.50
0904-6439-61 ,oxyCODONE-acetaminophen 10-325 MG Tabs 100 Each Box,1,Each,$34.50
0406-0512-62 ,oxyCODONE-acetaminophen 5-325 MG Tabs 100 Each Box,1,Each,$32.50
0904-6437-61 ,oxyCODONE-acetaminophen 5-325 MG Tabs 100 Each Box,1,Each,$32.50
63739-709-10 ,oxyCODONE-acetaminophen 5-325 MG Tabs 100 Each Box,1,Each,$31.50
47781-229-01 ,oxyCODONE-acetaminophen 7.5-325 MG Tabs 100 Each Bottle,1,Each,$33.50
60951-700-70 ,oxyCODONE-acetaminophen 7.5-325 MG Tabs 100 Each Bottle,1,Each,$33.50
0904-6438-61 ,oxyCODONE-acetaminophen 7.5-325 MG Tabs 100 Each Box,1,Each,$33.50
0904-5711-35 ,oxymetazoline 0.05 % Soln 15 mL Bottle,15,mL,$2.50
42023-116-02 ,OXYTOCIN 10 UNIT/ML IJ SOLN ,10,mL,$82.00
63323-012-30 ,OXYTOCIN 10 UNIT/ML IJ SOLN ,30,mL,$126.00
42023-116-25 ,oxytocin 10 UNIT/ML Soln 1 mL Vial,1,mL,$39.00
63323-012-01 ,oxytocin 10 UNIT/ML Soln 1 mL Vial,1,mL,$39.00
63323-012-12 ,oxytocin 10 UNIT/ML Soln 1 mL Vial,1,mL,$38.00
63323-012-10 ,oxytocin 10 UNIT/ML Soln 10 mL Vial,10,mL,$70.00
71019-251-02 ,"Oxytocin-Sodium Chloride 20-0.9 UNT/L-% Soln 1,002 mL Flex Cont",1002,mL,$90.50
60574-4113-1 ,palivizumab 100 MG/ML Soln 1 mL Vial,1,mL,"$4,960.00"
60574-4114-1 ,palivizumab 50 MG/0.5ML Soln 0.5 mL Vial,0.5,mL,"$2,644.00"
0032-1212-01 ,PANCRELIPASE (LIP-PROT-AMYL) 12000 UNITS PO CPEP ,1,Each,$15.00
50268-636-11 ,pantoprazole 20 MG Tbec 1 Each Blister,1,Each,$15.00
0008-0606-01 ,pantoprazole 20 MG Tbec 90 Each Bottle,1,Each,$11.50
0008-0941-01 ,pantoprazole 40 MG Solr 1 Each Vial,1,Each,$58.50
55150-202-00 ,pantoprazole 40 MG Solr 1 Each Vial,1,Each,$67.00
68084-813-11 ,pantoprazole 40 MG Tbec 1 Each Blister,1,Each,$11.50
0008-0607-01 ,pantoprazole 40 MG Tbec 90 Each Bottle,1,Each,$11.50
0008-0841-81 ,pantoprazole 40 MG Tbec 90 Each Bottle,1,Each,$72.50
99999-000-50 ,PANTOPRAZOLE 40MG INJECTION VIAL ,1,Each,$125.50
0008-0923-51 ,PANTOPRAZOLE SODIUM 40 MG IV SOLR ,1,Each,$58.50
0143-9284-01 ,PANTOPRAZOLE SODIUM 40 MG IV SOLR ,1,Each,$64.50
0143-9300-01 ,PANTOPRAZOLE SODIUM 40 MG IV SOLR ,1,Each,$41.00
0517-4002-25 ,papaverine 30 MG/ML Soln 2 mL Vial,2,mL,$163.50
0904-5677-61 ,PARoxetine 20 MG Tabs 100 Each Box,1,Each,$14.00
68382-098-16 ,PARoxetine 20 MG Tabs 90 Each Bottle,1,Each,$14.00
0904-5676-61 ,PAROXETINE HCL 10 MG PO TABS ,1,Each,$14.00
60505-0097-2 ,PAROXETINE HCL 10 MG PO TABS ,1,Each,$14.00
0536-8450-80 ,pediatric multivitamin Soln 50 mL Bottle,50,mL,$5.50
60793-700-10 ,PENICILLIN G BENZATHINE 600000 UNIT/ML IM SUSP ,1,mL,$233.50
0395-2015-91 ,peppermint oil Oil 30 mL Bottle,30,mL,$25.00
0295-1201-31 ,peppermint spirit Sprt 30 mL Bottle,30,mL,$3.00
45802-269-37 ,permethrin 5 % Crea 60 g Tube,60,g,$225.00
12980-020-00 ,petrolatum white Pste 57 g Tube,57,g,$26.00
75826-114-10 ,phenazopyridine 100 MG Tabs 100 Each Bottle,1,Each,$13.50
0603-1508-58 ,PHENobarbital 20 MG/5ML Elix 473 mL Bottle,473,mL,$246.50
0641-0476-21 ,PHENobarbital 65 MG/ML Soln 1 mL Vial,1,mL,$130.50
0641-0476-25 ,PHENobarbital 65 MG/ML Soln 1 mL Vial,1,mL,$130.50
0536-2425-58 ,phenol 1.4 % Liqd 177 mL Bottle,177,mL,$3.50
78112-01103 ,phenol 1.4 % Liqd 177 mL Bottle,177,mL,$4.50
56184-12105 ,phenylephrine 0.125 % Soln 15 mL Bottle,15,mL,$4.00
99999-006-12 ,PHENYLEPHRINE 10 MG IN SODIUM CHLORIDE 0.9% 100 ML ,100,mL,$125.50
69374-957-10 ,phenylephrine HCl 1 MG/10ML Sosy 10 mL Syringe,10,mL,$62.50
0641-6142-01 ,phenylephrine hcl 10 MG/ML Soln 1 mL Vial,1,mL,$62.50
70092-1046-46 ,PHENYLEPHRINE HCL-NACL 1-0.9 MG/10ML-% IV SOSY ,10,mL,$60.00
0573-2871-10 ,phenylephrine-mineral oil-pet 0.25-14-74.9 % Oint 28 g Tube,28,g,$7.00
76329-1240-1 ,phytonadione 1 MG/0.5ML Soln 0.5 mL Syringe,0.5,mL,$116.50
0187-1704-05 ,PHYTONADIONE 5 MG PO TABS ,1,Each,$177.00
16729-020-10 ,pioglitazone 15 MG Tabs 30 Each Bottle,1,Each,$36.00
0781-3113-90 ,PIPERACILLIN SOD-TAZOBACTAM SO 3.375 (3-0.375) G IV SOLR ,1,Each,$102.50
0781-3350-94 ,PIPERACILLIN SOD-TAZOBACTAM SO 3.375 (3-0.375) G IV SOLR ,1,Each,$102.50
0781-9350-94 ,PIPERACILLIN SOD-TAZOBACTAM SO 3.375 (3-0.375) G IV SOLR ,1,Each,$102.50
