Charge Code,Description,CPT/HCPCS,Fee
46255,"*HEMORRHOIDECTOMY,INTERNAL/EXTERNAL,SINGLE COLUMN/GRP-FAC",46255,"$5,330.00 "
46257,"*HEMORRHOIDECTOMY, INT/EXT, 1 COLUMN/GROUP, W/FISSURECTOMY",46257,"$5,580.00 "
46258,"HEMORRHOIDECTOMY ,INT/EXT, SINGLE COLUMN/GRP W/FISTULECTOMY",46258,"$5,301.00 "
46260,"HEMORRHOIDECTOMY,INTERNAL AND EXTERNAL,2 COLUMNS/GROUPS",46260,"$5,450.00 "
46261,"*HEMORRHOIDECTOMY, INT&EXT, GT 1  CLMNS/GRPS,W/FISSURECTOMY",46261,"$5,301.00 "
46262,"HEMORRHOIDECTOMY,INT/EXT,2 OR MORE CLMNS/GRPS W/FISTULECTOM",46262,"$5,301.00 "
46270,*FISTULECTOMY-SUBCUT-FAC,46270,"$4,919.00 "
46275,*FISTULECTOMY-INTERSPHINCTERIC-FAC,46275,"$4,857.00 "
46280,*FISTULECTOMY-MULTIPLE-FAC,46280,"$4,857.00 "
46285,*FISTULECTOMY-SECOND STAGE-FAC,46285,"$4,857.00 "
46288,CLOSURE OF ANAL FISTULA WITH RECTAL ADVANCEMENT FLAP-FAC,46288,"$7,103.00 "
46320,"EXCISION OF THROMBOSED HEMORRHOID, EXTERNAL",46320,"$2,781.00 "
46500,"INJECTION OF SCLEROSING SOLUTION,HEMORRHOIDS-FAC",46500,"$1,273.00 "
46505,CHEMODENERVATION ANAL MUSC,46505,"$4,149.00 "
46600,"ANOSCOPY,DIAGNOSTIC(SEPARATE PROCEDURE)-FAC",46600,$306.00 
46601,"DIAGNOSTIC ANOSCOPY, HRA - FAC",46601,$376.00 
46604,"ANOSCOPY, W/DILATION, ANY METHOD",46604,"$2,207.00 "
46606,"ANOSCOPY, WITH BIOPSY, SINGLE/MULTIPLE-FAC",46606,"$2,539.00 "
46607,DIAGNOSTIC ANOSCOPY & BIOPSY - FAC,46607,"$2,515.00 "
46608,ANOSCOPY;REMOVE FOREIGN BODY-FAC,46608,"$2,378.00 "
46610,ANOSCOPY-FOR REMOVAL OF POLYP-FAC,46610,"$5,280.00 "
46611,ANOSCOPY - FOR REMOVAL OF SINGLE POLYP BY SNARE -TECHNIQUE,46611,"$2,378.00 "
46612,*ANOSCOPY-FOR MULTIPLE POLYP REMOVAL-FAC,46612,"$5,020.00 "
46614,"ANOSCOPY,W/COAG CNTRL HEMORRHAGE &/OR FULGURATION OF LESION",46614,"$2,378.00 "
46615,"ANOSCOPY W/ABLATION OF TUMOR,POLYP",46615,"$5,280.00 "
46700,"*ANOPLASTY, PLASTIC OPERATION FOR STRICTURE-ADULT-FAC",46700,"$6,417.00 "
46706,REPAIR OF ANAL FISTULA WITH FIBRIN GLUE-FAC,46706,"$5,301.00 "
46707,REPAIR ANORECTAL FIST W/PLUG - FAC,46707,"$7,476.00 "
46750,"CORRECTION OF INCONTINENCE/ PROLAPSE SPHINCTEROPLASTY,ADULT",46750,"$7,103.00 "
46753,GRAFT-THIERSCH OPER FOR RECTAL INCONTINENCE &/OR PROLAPSE,46753,"$5,580.00 "
46754,REMOVAL OF SUTURE FROM ANUS-FAC,46754,"$4,811.00 "
46760,"SPHINCTEROPLASTY,ANAL ,FOR INCONT,ADULT,MUSCLE TRANSPLNT-FAC",46760,"$7,476.00 "
46761,"SPHINCTEROPLASTY,ANAL,ADULT,LEVATOR MUSCLE IMBIRCATION",46761,"$7,476.00 "
46762,IMPLANT ARTIFICIAL SPHINCTER-FAC,46762,"$8,598.00 "
46900,"DESTRUCTION OF LESIONS ANUS,SIMPLE,CHEMICAL-FAC",46900,$839.00 
46910,"DESTRUCTION OF LESION(S),ANUS,SIMPLE -  ELECTRODESICCATION",46910,"$4,257.00 "
46916,"CRYOSURGERY, ANAL LESION(S)-FAC",46916,$300.00 
46917,"*DESTRUCTION OF LESION(S),ANUS,SIMPLE-LASER SURGERY-FAC",46917,"$3,744.00 "
46922,"*DESTRUCTION OF LESION(S),ANUS,SIMPLE- SURGICAL EXCISION-FAC",46922,"$3,744.00 "
46924,"DESTRUCTION OF LESION(S), ANUS, EXTENSIVE - FAC",46924,"$5,535.00 "
46930,DESTROY INTERNAL HEMORRHOIDS - FAC,46930,"$1,528.00 "
46940,CURETTAGE/CAUTERIZE ANAL FISSURE& DILATE ANAL SPHINCTER,46940,"$4,811.00 "
46942,TREATMENT OF ANAL FISSURE-FAC,46942,"$1,273.00 "
46945,"LIGAT OF HEMORRHOIDS, SINGLE HEM COLUMN/GROUP-FAC",46945,"$5,301.00 "
46946,"LIGATION OF HEMORRHOIDS, 2 OR MORE HEM COLUMNS/GROUPS - FAC",46946,"$5,301.00 "
46947,HEMORRHOIDOPEXY BY STAPLING,46947,"$7,103.00 "
46999,"UNLISTED PROCEDURE, ANUS-FAC",46999,"$1,452.00 "
47000,"BIOPSY OF LIVER, NEEDLE, PERCUTANEOUS",47000,"$3,002.00 "
47001,"BIOPSY OF LIVER, PERC NEEDLE, (NOT SEP PROC) - FAC",47001,"$2,305.00 "
47370,LAPARO ABLATE LIVER TUMOR RF-FAC,47370,"$22,032.00 "
47371,LAPARO ABLATE LIVER CRYOSUG-FAC,47371,"$22,032.00 "
47379,"UNLISTED LAPAROSCOPIC PROCEDURE, LIVER",47379,"$8,869.00 "
47380,OPEN ABLATE LIVER TUMOR RF,47380,"$22,032.00 "
47382,PERCUT ABLATE LIVER RF-FAC,47382,"$11,678.00 "
47383,PERQ ABLTJ LVR CRYOABLATION - FAC,47383,"$10,228.00 "
47399,UNLISTED PROCEDURE LIVER-FAC,47399,"$1,401.00 "
47490,INCISION OF GALLBLADDER-FAC,47490,"$5,227.00 "
47531,"INJECTION FOR CHOLANGIOGRAM, EXIST ACCESS - FAC",47531,"$1,951.00 "
47532,"INJECTION FOR CHOLANGIOGRAM, NEW ACCESS - FAC",47532,"$4,673.00 "
47533,"PLMT BILIARY DRAINAGE CATH, EXTERN ONLY - FAC",47533,"$4,895.00 "
47534,"PLMT BILIARY DRAINAGE CATH, INTERN, EXTERN - FAC",47534,"$4,440.00 "
47535,CONVERSION EXT BIL DRG CATH - FAC,47535,"$4,895.00 "
47536,EXCHANGE BILIARY DRG CATH - FAC,47536,"$5,374.00 "
47537,REMOVAL BILIARY DRG CATH - FAC,47537,"$1,392.00 "
47538,PERQ PLMT BILE DUCT STENT - FAC,47538,"$10,443.00 "
47539,"PERQ PLMT BILE DUCT STENT, W/O SEP CATH - FAC",47539,"$10,228.00 "
47540,"PERQ PLMT BILE DUCT STENT, NEW ACCESS, W SEP CATH - FAC",47540,"$8,827.00 "
47541,PLMT ACCESS BIL TREE SM BWL - FAC,47541,"$5,374.00 "
47542,DILATE BILIARY DUCT/AMPULLA,47542,"$6,486.00 "
47543,ENDOLUMINAL BX BILIARY TREE,47543,"$11,183.00 "
47544,REMOVAL DUCT GLBLDR CALCULI,47544,"$6,668.00 "
47552,"BILIARY ENDOSCOPY, PERC VIA T-TUBE OR OTHR TRACT, DIAG-FAC",47552,"$6,061.00 "
47553,"BILIARY ENDOSCOPY, PERC. VIA T-TUBE,WITH BIOPSY",47553,"$11,183.00 "
47554,"BILIARY ENDO, PERC W/ REMOVAL OF CALCULUS/CALCULI",47554,"$6,061.00 "
47555,PERC BIL ENDO FOR DILAT W/O ST,47555,"$6,061.00 "
47556,"BILIARY ENDOSCOPY, THRU SKIN-FAC",47556,"$12,292.00 "
47562,LAPAROSCOPIC CHOLECYSTECTOMY-FAC,47562,"$11,563.00 "
47563,LAPARSCPC CHOLECYSTCTMY W/CHOLANGIOGRPHY-FAC,47563,"$12,492.00 "
47564,LAP CHOLECYSTECTOMY WITH EXPLOR OF COMMON DUCT,47564,"$10,862.00 "
47579,"UNLISTED LAPAROSCOPY PROCEDURE, BILIARY TRACT-FAC",47579,"$9,972.00 "
47999,"UNLISTED PROCEDURE, BILIARY TRACT-FAC",47999,"$4,917.00 "
4800129,"INJ, ETHANOL 98%, PER 5 ML",J3490,$38.27 
4800131,"INJ, FLUMAZENIL, PER 1 ML (EQUAL TO 0.1MG) NO.1",J3490,$21.24 
4800132,"INJ, METOPROLOL INJ, 5 MG",J3490,$4.15 
4800135,"INJ, CEFOTETAN,  1G",J3490,$48.36 
4800136,"ORAL, OXYCODONE W ACETAMINOPHEN, PER TABLET",J8499,$0.33 
4800137,"ORAL, METOPROLOL ORAL, PER 25 MG NO.1",J8499,$0.11 
4800140,"INJ, DEXTROSE SOLUTION, PER UNIT",J3490,$8.47 
4800144,"INJ, FAMOTIDINE, 20MG PER 50ML NO.1",J3490,$10.59 
4800145,"INJ, INDOCYANINE GREEN, PER 25 MG",J3490,$255.00 
4800146,"INJ, INDIGO CARMINE 0.8%, PER 5 ML NO.2",J3490,$24.89 
4800147,"INJ, LABETALOL, 5MG PER ML",J3490,$5.91 
4800148,"INJ, METRONIDAZOLE 5MG/ML, PER 500MG BAG",J3490,$4.83 
4800149,"INJ, NOREPINEPHRINE BITARTRATE 1MG, PER ML",J3490,$54.48 
4800155,"ORAL, OXYCODONE, PER 5 MG",J8499,$0.38 
4800158,"INJ, VERAPAMIL, PER 2 ML NO.1",J3490,$80.55 
4800159,"ORAL, HYDROCODONE APAP, PER TABLET NO.1",J8499,$0.42 
4800160,"ORAL, HYDROMORPHONE (DILAUDID), 2 MG",J8499,$0.30 
4800161,"INJ, VASOPRESSIN, PER 1 ML NO.1",J3490,$369.87 
4800162,"INJ, CLINDAMYCIN 900MG/50ML, PER 900MG BAG",J3490,$19.05 
4800164,"INJ, BACITRACIN, 50MU",J3490,$0.00 
4800166,"ORAL, ONDANSETRON, NOT FOR CHEMO, 4 MG",J8597,$0.66 
4800169,"TOPICAL, THROMBIN JMI, 5000 U",J3590,$158.73 
4800171,"INJ, ESMOLOL HCL, 100MG NO.1",J3490,$23.16 
4800172,"INJ, VISUAL ADJUNCT, METHYLENE BLUE, 1MG",Q9968,$2.07 
4800185,"ORAL, ACETAMIN PLUS CODEINE SOL, 12.5 ML",J8499,$0.71 
4800190,"INJ, FLUORESCEIN 500MG",J3490,$6.36 
4800191,"INJ, NO CHARGE, PROVIDED BY MGF OR SPECIALTY PHARMACY",,$0.01 
4800218,"INJ, TRIAL DRUG NO CHARGE",J3490,$0.01 
4800220,"SOLN, VOLUVEN 6-0.9 %, PER 500ML",J3490,$82.47 
4800222,"SOL, INDIGO CARMINE 0.2%, 500 ML",J3490,$22.78 
4800223,"INJ, EPHEDRINE, 50MG",J3490,$92.26 
4800227,"INJ, CANDIN, PER 0.1ML",J3490,$49.50 
4800237,"INJ, ALTEPLASE RECOMBINANT (SPECIAL ORDER), 1 MG",J2997,$345.00 
4800238,"NO CHARGE, VACCINE PROVIDED TO HOSPITAL AT NO EXPENSE",J3490,$0.01 
4800241,"INJ, SOTRADECOL 1%, PER ML",J3490,$131.25 
4800243,"INJ, DANTROLENE, 250 MG NO.2",J3490,"$6,210.00 "
4800244,"ORAL, OXYCODONE SOLUTION 100MG/5ML, PER ML (EQUAL TO 20 MG)",J8499,$20.14 
4800252,"INJ, IDARUCIZUMAB, PER 2.5GM",C9399,"$10,500.00 "
4800254,"INJ, IC-GREEN IN 6 PCNT HETASTARCH, PER 20ML COMP SRY",J7999,$16.16 
4800270,"INJ, OCRELIZUMAB. PER 300MG/10ML VIAL  -  J3590",J3590,$162.51 
4800278,"INJ, NO CHARGE, BOTOX, PROVIDED BY SPECIALTY PHARMACY",J0585,$0.01 
4800289,"INJ, RANIBIZUMAB, 0.1 MG, (SUPPLIED BY PATIENT)",J2778,$0.01 
48102,PANCREAS NEEDLE BIOPSY DIAG,48102,"$3,480.00 "
48999,"UNLISTED PROCEDURE, PANCREAS-FAC",48999,"$1,870.00 "
49082,ABD PARACENTESIS - FAC,49082,"$1,324.00 "
49083,ABD PARACENTESIS W/IMAGING - FAC,49083,"$1,605.00 "
49084,PERITONEAL LAVAGE - FAC,49084,"$1,337.00 "
49180,ABDOMEN MASS ASPIRATION BX,49180,"$2,014.00 "
49185,SCLEROTX FLUID COLLECTION - FAC,49185,"$2,730.00 "
49250,"UMBILECTOMY,OMPHALECTOMY,EXCISION OF UMBILICUS-FAC",49250,"$6,973.00 "
49255,"ASC OMENTECTOMY, EPIPLOCETOMY, RESECTION OF OMENTM",49255,"$6,246.00 "
49320,"LAP, DIAGN, WITH/WO COLL OF SPECIMEN/S BY BRUSHING/WASHING",49320,"$8,587.00 "
49321,"LAPAROSCOPY, SURGICAL, WITH BIOPSY (SINGLE OR MULTIPLE)",49321,"$8,533.00 "
49322,"LAPAROSCPY,SURG W/ASPIRATN OF CAVITY/CYST",49322,"$9,972.00 "
49323,"LAPAROSCPY, SURG W/DRAIN OF LYMPHOCELE TO PERITONEAL CAVITY",49323,"$9,972.00 "
49324,LAP INSERTION PERM IP CATH - FAC,49324,"$8,276.00 "
49325,LAP REVISION PERM IP CATH - FAC,49325,"$8,238.00 "
49326,LAP W/OMENTOPEXY ADD-ON - FAC,49326,"$2,886.00 "
49327,LAP INS DEVICE FOR RT - FAC,49327,"$5,887.00 "
49329,"UNLISTED LAPAROSCOPY PROC, ABDM, PERITONEUM AND OMENTUM",49329,"$9,972.00 "
49400,INJ OF AIR OR CONTR INTO PERITONEAL CAVITY(SEP PROC) - FAC,49400,$411.00 
49402,"REMOVE FOREIGN BODY, ADBOMEN - FAC",49402,"$7,556.00 "
49405,IMAGE CATH FLUID COLXN VISC - FAC,49405,"$3,002.00 "
49406,IMAGE CATH FLUID PERI/RETRO - FAC,49406,"$3,002.00 "
49407,IMAGE CATH FLUID TRNS/VGNL - FAC,49407,"$3,159.00 "
49411,INS MARK ABD/PEL FOR RT PERQ - FAC,49411,"$3,251.00 "
49418,INSERT TUN IP CATH PERC - FAC,49418,"$3,846.00 "
49419,"INSRT OF TUN INTRAP CANN/CATH, W/SUBCUT PORT-FAC",49419,"$6,355.00 "
49421,INSRT TUN INTRAPERITONEAL CATH FOR DIALYSIS,49421,"$6,780.00 "
49422,REMOVAL OF TUNNELED INTRAPERITONEAL CATHETER-FAC,49422,"$4,927.00 "
49423,"EXCHANGE OF PREVIOUS,PLACED ABSCESS DRAINAGE CATH",49423,"$2,889.00 "
49424,CONTRAST INJ. FOR ASSESS. OF ABSCESS OR CYST VIA PREV. CATH.,49424,$599.00 
49425,INSERT OF PERITONEAL-VENOUS SHUNT -FAC,49425,"$6,973.00 "
49426,*REVISION OF PERITONEAL-VENOUS SHUNT-FAC,49426,"$6,973.00 "
49427,INJ PROC FOR EVAL OF PREV PLACED SHUNT - FAC,49427,$495.00 
49429,REMOVAL OF PERITONEAL-VENOUS SHUNT-FAC,49429,"$4,530.00 "
49435,INSERT SUBQ EXTEN TO IP CATH - FAC,49435,"$2,024.00 "
49436,EMBEDDED IP CATH EXIT-SITE - FAC,49436,"$3,324.00 "
49440,PLACE GASTROSTOMY TUBE PERC - FAC,49440,"$3,037.00 "
49441,PLACE DUOD/JEJ TUBE PERC - FAC,49441,"$3,252.00 "
49442,PLACE CECOSTOMY TUBE PERC - FAC,49442,"$3,974.00 "
49446,CHANGE G-TUBE TO G-J PERC - FAC,49446,"$3,037.00 "
49450,REPLACE G/C TUBE PERC - FAC,49450,"$1,406.00 "
49451,REPLACE DUOD/JEJ TUBE PERC - FAC,49451,"$1,406.00 "
49452,REPLACE G-J TUBE PERC - FAC,49452,"$1,432.00 "
49460,FIX G/COLON TUBE W/DEVICE - FAC,49460,"$1,406.00 "
49465,FLUORO EXAM OF G/COLON TUBE - FAC,49465,$431.00 
49491,REPAIRING HERN PREMIE REDUC-FAC,49491,"$8,843.00 "
49492,"RPR ING HERN PREMIE, BLOCKED-FAC",49492,"$7,689.00 "
49495,REPAIT INGUINAL HERNIA INIT-FAC,49495,"$7,689.00 "
49496,REPAIR INGUINAL HERNIA INIT -FAC,49496,"$7,689.00 "
49500,INGUINAL HERNIA REPAIR WO HYDROCELECTOMY UNDER AGE 5-FAC,49500,"$7,689.00 "
49501,REPAIR INGUINAL HERNIA INIT    49501-FAC,49501,"$7,689.00 "
49505,"REPAIR INITIAL INGUINAL HERNIA, AGE 5/OVER, REDUCIBLE-FAC",49505,"$8,436.00 "
49507,"RPR INITL INGUINAL HERNIA, AGE OVER 5 INCARCERATED/STRANGUL",49507,"$8,843.00 "
49520,RECURRENT INGUINAL HERNIORRHAPHY-FAC,49520,"$8,843.00 "
49521,REPAIR INGUINAL HERNIA REC   49521-FAC,49521,"$8,461.00 "
49525,"RPR INGUINAL HERNIA, SLIDING, ANY AGE-FAC",49525,"$8,843.00 "
49540,LUMBAR HERNIA REPAIR-FAC,49540,"$8,843.00 "
49550,FEMORAL HERNIORRPHAPHY GROIN INCISION-FAC,49550,"$7,305.00 "
49553,REPAIR FEMORAL HERNIA INITIAL-FAC,49553,"$8,035.00 "
49555,"FEMORAL, GROIN INCISION, RECURRENT, ANY APPROACH-FAC",49555,"$7,689.00 "
49557,"REP RECURR FEMORAL HERNIA, INCARCERATED/STRANGULATED - FAC",49557,"$7,689.00 "
49560,"REPAIR INITIAL INCISIONAL OR VENTRAL HERNIA,REDUCIBLE-FAC",49560,"$8,482.00 "
49561,"RPR INIT INCISIONAL/VENTRAL HERNIA, INCARC/STRANGULATED",49561,"$7,305.00 "
49565,"REPAIR RECURRENT INCISIONAL OR VENTRAL HERNIA, REDUCIBLE-FAC",49565,"$8,843.00 "
49566,REPAIR INCISIONAL HERNIA  49566-FAC,49566,"$7,305.00 "
49568,"IMPLNT MESH/PROSTH,INCISION,VENTRAL HERNIA,CLOSE OF DEBRIDE",49568,"$3,467.00 "
49570,EPIGASTRIC HERNIORRHAPHY SIMPLE PROPERITONEAL FAT-FAC,49570,"$8,843.00 "
49572,REPAIR EPIGASTRIC HERNIA  49572-FAC,49572,"$7,305.00 "
49580,"REPAIR UMBILICAL HERNIA, UNDER AGE 5, REDUCIBLE - FAC",49580,"$7,689.00 "
49582,REPR UMBILICAL HERNIA -FAC,49582,"$7,689.00 "
49585,"REPAIR UMBILICAL HERNIA, AGE 5 YEAR OR OVER, REDUCIBLE-FAC",49585,"$8,707.00 "
49587,REPAIR UMBILICAL HERNIA- FAC,49587,"$7,305.00 "
49590,HERNIORRHAPHY: SPIGELIAN HERNIA-FAC,49590,"$7,689.00 "
49600,"REPAIR OF OMPHALOCELE , SMALL WITH PRIMARY CLOSURE-FAC",49600,"$7,689.00 "
49650,LAPARO HERNIA REPAIR INITIAL-FAC,49650,"$12,458.00 "
49651,LAPARO HERNIA REPAIR RECUR-FAC,49651,"$10,319.00 "
49652,LAP VENT/ABD HERNIA REPAIR - FAC,49652,"$14,959.00 "
49653,LAP VENT/ABD HERN PROC COMP - FAC,49653,"$14,959.00 "
49654,LAP INC HERNIA REPAIR - FAC,49654,"$16,996.00 "
49655,LAP INC HERN REPAIR COMP - FAC,49655,"$14,959.00 "
49656,LAP INC HERNIA REPAIR RECUR - FAC,49656,"$18,108.00 "
49657,LAP INC HERN RECUR COMP - FAC,49657,"$16,976.00 "
49659,"UNLSTD LAPAROSCOPY,HERNIOPLASTY, HERNIORRHAPHY, HERNIOTOMY",49659,"$9,972.00 "
49999,"UNLISTED PROCEDURE, ABDOMEN, PERITONEUM,OMENTUM-FAC",49999,"$6,242.00 "
50020,"DRAINAGE OF PERIRENAL OR RENAL ABSCESS,OPEN",50020,"$6,193.00 "
50080,"PERCUT NEPHROSTOLITHOTOMY/PYELOSTOLITHOTOMY, UP TO 2CM",50080,"$9,734.00 "
50081,"PERCUT NEPHROSTOLITHOTOMY/PYELOSTOLITHOTOMY, OVER 2CM",50081,"$10,292.00 "
50200,PERC RENAL BIOPSY,50200,"$3,002.00 "
50382,"CHANGE URETER STENT, PERCUT",50382,"$5,992.00 "
50384,"REMOVE URETER STENT, PERCUT",50384,"$3,527.00 "
50385,CHANGE STENT VIA TRANSURETH - FAC,50385,"$5,693.00 "
50386,REMOVE STENT VIA TRANSURETH - FAC,50386,"$1,647.00 "
50387,CHANGE NEPHROURETERAL CATH,50387,"$2,829.00 "
50389,REMOVE RENAL TUBE W/FLUORO,50389,"$1,565.00 "
50390,"ASPIR &/OR INJECT OF RENAL CYST/PELVIS BY NEEDLE,PERCUT",50390,"$2,875.00 "
50391,INSTLL RX AGNT INTO RNAL TUB,50391,$615.00 
50395,"INTRO GD WIRE-RENAL/PELVIS/URETER W/DILAT,ESTAB NEPHROSTOMY",50395,"$6,193.00 "
50396,MEASURE KIDNEY PRESSURE-FAC,50396,$697.00 
50430,"NJX PX NFROSGRM &/URTRGRM, EXIST ACCESS - FAC",50430,"$1,021.00 "
50431,"NJX PX NFROSGRM &/URTRGRM, NEW ACCESS - FAC",50431,"$1,444.00 "
50432,PLMT NEPHROSTOMY CATHETER - FAC,50432,"$4,373.00 "
50433,PLMT NEPHROURETERAL CATHETER - FAC,50433,"$4,148.00 "
50434,CONVERT NEPHROSTOMY CATHETER - FAC,50434,"$1,444.00 "
50435,EXCHANGE NEPHROSTOMY CATH - FAC,50435,"$1,444.00 "
50541,LAPARO ABLATE RENAL CYST-FAC,50541,"$9,972.00 "
50542,"LAP, SURG, ABLATION OF RENAL MASS LESION(S)-FAC",50542,"$23,191.00 "
50543,"LAPAROSCOPY, SURG, PARTIAL NEPHRECTOMY-FAC",50543,"$12,492.00 "
50544,"LAPAROSCOPY, PYELOPLASTY-FAC",50544,"$12,492.00 "
50549,"LAPAROSCOPE PROC, RENAL-FAC",50549,"$9,972.00 "
50551,RENAL ENDOSCOPY THROUGH ESTAB NEPHROSTOMY/PYELOSTOMY,50551,"$1,895.00 "
50553,"RENAL ENDOSCOPY W/ ESTAB NEPHROSTOMY/PYELOSTOMY,EXCL RAD",50553,"$6,891.00 "
50555,"RENAL ENDOSCOPY W/ESTAB NEPHROSTOMY/PYELOSTOMY,EXCL RAD",50555,"$1,895.00 "
50557,"RENAL ENDO W /ESTAB NEPHROSTOMY/PYELOSTOMY,EXCL RAD",50557,"$6,891.00 "
50561,RENAL ENDO W ESTAB. NEPHROSOTMY / PYELOSTOMY,50561,"$6,891.00 "
50562,"RENAL ENDO, W/WO IRRIG, W/RESECT OF TUMOR-FAC",50562,"$1,895.00 "
50570,"RENAL ENDOSCOPY THRU NEPHROTOMY/PYELOTOMY,EXCL OF RAD SVC",50570,"$1,895.00 "
50572,"RENAL ENDO THRU NEPHRO/PYELO,EXC OF RAD SERV-W/URET CATH",50572,"$1,578.00 "
50574,"RENAL ENDO NEPHROTOMY/PYELOTOMY,EXC OF RAD SVC-W/BIOPSY",50574,"$1,578.00 "
50575,"RENL ENDOS THRGH NEPPHROTOMY OR PYELOTOMY,W ENDOPYELOTOMY",50575,"$8,949.00 "
50576,"RENAL ENDO NEPHRO/PYELO,EXC OF RAD SERV-W/FULG &/OR INC",50576,"$4,057.00 "
50580,RENAL ENDOSCOPY WITH REMOVAL OF FORGN BODY OR CALCULUS,50580,"$4,057.00 "
50590,"*LITHOTRIPSY,EXTRACORPOREAL SHOCK WAVE-FAC",50590,"$9,896.00 "
50592,PERC RF ABLATE RENAL TUMOR,50592,"$11,678.00 "
50593,PERC CRYO ABLATE RENAL TUM - FAC,50593,"$11,183.00 "
50606,ENDOLUMINAL BX URTR RNL PLVS,50606,"$6,042.00 "
50684,INJECT PROC FOR URETERO/URETEROPYELOGRAPH THR URETEROSTOMY,50684,$474.00 
50686,MEASURE URETER PRESSURE-FAC,50686,$375.00 
50688,CHANGE OF URETER TUBE-FAC,50688,"$2,987.00 "
50690,INJ FOR ILEAL CONDUIT AND/OR URETEROPYELOGRAPHY - FAC,50690,$476.00 
50693,PLMT URETERAL STENT PRQ - FAC,50693,"$6,176.00 "
50694,"PLMT URETERAL STENT PRQ, NEW ACCESS, W/O SEP CATH - FAC",50694,"$6,501.00 "
50695,"PLMT URETERAL STENT PRQ, NEW ACCESS, W SEP CATH - FAC",50695,"$6,176.00 "
50705,URETERAL EMBOLIZATION/OCCL,50705,"$13,389.00 "
50706,BALLOON DILATE URTRL STRIX,50706,"$10,529.00 "
50727,REVISION OF URINARY-CUTANEOUS ANASTOMOSIS - FAC,50727,"$4,549.00 "
5091V,"FEE, HEARING AID RESTOCKING (L&I ONLY)",5091V,NA
5092V,HEARING AID CLEANING VISIT (L&I ONLY),,$39.00 
5093V,HEARING AID REPAIR FEE (L&I ONLY),,NA
50945,LAPAROSCOPY URETEROLITHOTOMY-FAC,50945,"$10,862.00 "
50947,"LAP, SURG, URETER W/CYSTOSCOPY AND URETER STENT PLCEMENT-FAC",50947,"$10,862.00 "
50948,"LAPARO,SURG,URTRNCYSTSTOMY W/O CYSTSCPY & URTRL STENT PLCMT",50948,"$12,492.00 "
50949,"UNLISTED LAPAROSCOPY PROCEDURE, URETER",50949,"$8,238.00 "
50951,"*URETERAL ENDO THROUGH ESTAB URETEROSTOMY,EXCL RAD SVC-FAC",50951,"$1,895.00 "
50953,"URETERAL ENDO THRGH EST URETEROSTOMY,EXCL RAD,W/URTERAL CATH",50953,"$1,895.00 "
50955,"*URETERAL ENDO THR ESTAB URETEROSTOMY,EXCL RAD,W/BIOPSY-FAC",50955,"$6,891.00 "
50957,URETER ENDOSCPY & TRACER-FAC,50957,"$6,891.00 "
50961,"URETERAL ENDO ESTBL URETEROSTOMY,EXCL RAD,W/FB OR CALC RMVL",50961,"$5,693.00 "
50970,"URETERAL ENDOSCOPY THROUGH URETEROTOMY,  EXCL OF RAD SER",50970,"$1,578.00 "
50972,URETER ENDOSCOPY & CATHETER-FAC,50972,"$1,578.00 "
50974,URETER ENDOSCOPY & BIOPSY-FAC,50974,"$4,057.00 "
50976,URETER ENDOSCOPY & TREATMENT-FAC,50976,"$4,057.00 "
50980,"*URETERAL ENDO THROUGH URETEROTOMY, EXCL RAD SVC",50980,"$6,891.00 "
51020,"CYCSTOTOMY/CYSTOSTOMY,W/ FULGURATION &/OR INSRT RADIOACTIVE",51020,"$6,193.00 "
51030,CYSTOTOMY/CYSTOSTOMY W/CRYOSURGICAL DESTRUCT OF LESION-FAC,51030,"$6,193.00 "
51040,CYSTOSTOMY:CYSTOTOMY WITH DRAINAGE-FAC,51040,"$5,693.00 "
51045,"*CYSTOTOMY,W/INSERTION OF URETERAL CATH OR STENT(SEP PROC)",51045,"$1,895.00 "
51050,"CYSTOLITHOTOMY/CYSTOTOMY W/REMOVAL OF CALCULUS,VESICAL NECK",51050,"$6,891.00 "
51060,TRANSVESICAL URETEROLITHOTMY - FAC,51060,"$8,949.00 "
51065,"CYSTOTOMY,W BSKT EXTRCT AND/OR ULTRASNC FRGMNT URETER CALCUL",51065,"$6,891.00 "
51080,DRAINAGE OF PERI- OR PRE- VESICAL SPACE ABSCESS-FAC,51080,"$5,234.00 "
51100,DRAIN BLADDER BY NEEDLE - FAC,51100,$697.00 
51101,DRAIN BLADDER BY TROCAR/CATH - FAC,51101,"$1,309.00 "
51102,DRAIN BL W/CATH INSERTION - FAC,51102,"$3,923.00 "
51500,EXCISION OF URACHAL CYST/ SINUS WWO UMBILICAL HERNIA REP-FAC,51500,"$8,843.00 "
515060,HOME TUBE FEEDING INSTRUCTION,99499,$99.00 
51520,CYTOTOMY FOR SIMPLE EXCIS OF VESICAL NECK (INDEP PROC)-FAC,51520,"$5,992.00 "
51535,"CYSTOTOMY FOR EXCISION,INCISION, OR REPAIR OF URETEROCELE",51535,"$5,992.00 "
51600,INJECT PROC FOR CYSTOGRPHY OR VOIDING URETHROC,51600,$466.00 
51605,PREPARATION FOR BLADDER XRAY - FAC,51605,$888.00 
51610,*INJECTION PROCEDURE FOR RETROGRADE URETHROCYSTOGRAPHY-FAC,51610,$446.00 
51700,"BLADDER IRRIGATION,SIMPLE,LAVAGE AND/OR INSTILLATION-FAC",51700,$472.00 
