Roper St. Francis Healthcare Hospital Facilities,,
2019 Standard Charges,,
,,
ITEM,DESCRIPTION,CHARGE
1129,pseudoephedrine 30 mg Tab,$0.15 
2571,pseudoephedrine 30 mg/5 mL Oral Liquid 480 mL,$0.15 
21944,PSEUDOMONAS AERUGINOSA - BCID,$84.00 
3883,psyllium 3.4 g/5.8 g Oral Powder for Recon,$0.30 
23090,PT (PROTHROMBIN TIME) BK,$121.00 
40350,PT ADL TRAINING 15 MN,$130.00 
40340,PT AQUA SUP/GROUP THER PROC,$102.00 
40232,PT AQUATIC THER EX 15 MIN,$129.00 
40218,PT BIOFEEDBACK,$153.00 
40154,PT CONTRAST BATH 15 MIN,$129.00 
40236,PT DIATHERMY,$153.00 
40450,PT DRY NEEDLING,$41.00 
40148,PT ELEC STIM ATTND 15 MIN,$153.00 
40382,PT ELEC STIM UNATTND WOUND CARE,$195.00 
40434,PT EVAL HIGH COMPLEXITY,$340.00 
40430,PT EVAL LOW COMPLEXITY,$183.00 
40432,PT EVAL MODERATE COMPLEXITY,$237.00 
40006,PT FUNCTIONAL TRNG 15 MIN,$144.00 
40008,PT GAIT TRAINING 15 MIN,$123.00 
40170,PT HUBBARD TANK 15 MIN,$153.00 
40150,PT IONTOPHORESIS 15 MIN,$166.00 
40018,PT MANUAL THERAPY 15 MIN,$153.00 
40180,PT MASSAGE 15 MIN,$153.00 
40374,PT NON-SELECTIVE DEBRIDEMENT,$218.00 
40216,PT ORTH FIT/TRNG 15 MIN INITIAL,$153.00 
40217,PT ORTH/PROS FIT/TRNG 15 MIN SUB,$153.00 
40166,PT PHONOPHORESIS 15 MIN,$153.00 
40208,PT PROS TRNG 15 MIN INITIAL,$129.00 
40436,PT RE-EVAL,$121.00 
40422,PT SEL DEBRIDE EA ADDL 20CM,$148.00 
40388,PT SELECT DEBRIDE FIRST 20CM LESS,$313.00 
40426,PT SELF CARE MNG TRG 15 MIN,$130.00 
40380,PT STRAPPING KNEE,$129.00 
40410,PT SUP/GROUP THER PROC 15 MIN,$67.00 
40336,PT SUP/GROUP THER PROC 30 MIN,$102.00 
40412,PT SUP/GROUP THER PROC 45 MIN,$163.00 
40414,PT SUP/GROUP THER PROC 60 MIN,$208.00 
40222,PT THER EX INDIV-OB/GYN 15 MIN,$134.00 
40004,PT THER EXER 15 MIN,$134.00 
40140,PT TRACTION MECHANICAL,$153.00 
40186,PT ULTRA W/ELEC STIM 15 MIN,$153.00 
40162,PT ULTRASOUND 15 MIN,$153.00 
40182,PT ULTRASOUND/PHONO 15 MIN,$153.00 
40228,PT ULTRAVIOLET,$153.00 
44368,PT UNNABOOT-BILATERAL,$468.00 
40368,PT UNNABOOT-UNILATERAL,$293.00 
40144,PT VASOPNEUMATIC DEVICES,$153.00 
40198,PT WHEELCHAIR MGMT 15 MIN,$115.00 
40014,PT WHIRLPOOL,$153.00 
60014,PTCA EA ADD VESSEL FAMILY,"$4,096.00 "
60220,PTCA SINGLE VESSEL FAMILY,"$11,915.00 "
60306,PTCA W/STENT EA ADD ART/BRANCH,"$2,060.00 "
60304,PTCA W/STENT SINGLE ART/BRANCH,"$16,885.00 "
40196,PT-CANALITH REPOSITION PER DAY,$304.00 
40038,PT-COMMUNITY REINTEGRATION 15 MIN,$153.00 
40058,PT-ELEC STIM ATTND 15 MIN,$153.00 
40142,PT-ELEC STIM UNATTND,$153.00 
40036,PT-GAIT TRAINING 15 MIN,$123.00 
29430,PTH INTACT,$182.00 
25354,PTH INTACT - PPL,$196.00 
21688,PTH INTACT BASELINE,$756.00 
21690,PTH INTACT POST OP,$756.00 
28520,PTH INTACT Q,$480.00 
29762,PTH-RELATED PEPTIDE,$82.00 
40060,PT-MASSAGE 15 MIN,$153.00 
40176,PT-NEUROMUSC RE-EDUC 15 MIN,$119.00 
40146,PT-PARAFFIN BATH,$137.00 
40200,PT-PHYSICAL PERF TEST 15 MIN,$153.00 
29862,PTT - HEPARIN,$131.00 
23074,PTT (PARTIAL THROMBO TIME) BK,$131.00 
29644,PTT PLASMA FRACTIONS,$68.00 
40044,PT-THER EXER 15 MIN,$134.00 
40056,PT-ULTRASOUND 15 MIN,$153.00 
40042,PT-WHEELCHAIR MGMT 15 MIN,$115.00 
60246,PULM ARTERY THROMBOLYSIS FINAL,"$2,997.00 "
60244,PULM ARTERY THROMBOLYSIS INITIAL,"$6,034.00 "
48040,PULM REHAB INDIV PER 15 MINS,$82.00 
48042,PULM REHAB SESSION GROUP,$109.00 
48006,PULMO FCTN BASELINE SPIROMETRY,$217.00 
48014,PULMONARY STRESS COMPLEX,"$1,372.00 "
1132,pyrazinamide 500 mg Tab,$10.00 
5722,pyridostigmine 180 mg ER Tab,$126.60 
2156,pyridostigmine 5 mg/mL Inj Soln 2 mL,$145.90 
1133,pyridostigmine 60 mg Tab,$4.35 
3094,pyridostigmine 60 mg/5 mL Oral Syrup 473 mL,$57.35 
2157,pyridoxine 100 mg/mL Inj Soln 1 mL,$43.60 
1135,pyridoxine 50 mg Tab,$0.15 
1136,pyrimethamine 25 mg Tab,"$1,229.65 "
29080,Q FEVER VIRUS AB,$355.00 
29436,Q-THYROGLOBULIN ANTIBODY,$102.00 
29198,QUANTIFERON CLIENT INCUBATED,$324.00 
21752,QUANTIFERON GOLD TB TEST,$348.00 
3680,QUEtiapine 100 mg Tab,$2.65 
3682,QUEtiapine 25 mg Tab,$2.65 
5536,QUEtiapine 400 mg Tab,$2.65 
1139,quinapril 10 mg Tab,$2.65 
1140,quinapril 20 mg Tab,$2.65 
1138,quinapril 5 mg Tab,$2.65 
1144,quiNIDine gluconate 324 mg ER Tab,$4.90 
2158,quiNIDine gluconate 80 mg/mL Inj Soln 10 mL,$96.80 
1142,quiNIDine sulfate 200 mg Tab,$2.65 
1141,quiNIDine sulfate 300 mg ER Tab,$2.90 
1143,quiNIDine sulfate 300 mg Tab,$2.65 
1146,quiNINE 324 mg Cap,$22.55 
55058,QUTENZA ESTABLISHED PT VISIT,$365.00 
55056,QUTENZA NEW PT VISIT,$365.00 
60264,R/LHC W/WO VENTRIC NO COR INJ,"$9,777.00 "
60278,R/LHC W/WO VENTRIC W/COR INJ,"$20,214.00 "
60280,R/LHC W/WOVENTRC/SVG W/CORINJ/IMA,"$23,272.00 "
3913,RABEprazole 20 mg DR Tab,$82.10 
6017,rabies immune globulin human 150 intl units/mL IM Soln 10 mL,"$13,162.70 "
5549,rabies immune globulin human 150 intl units/mL IM Soln 2 mL,"$2,883.90 "
6350,rabies immune globulin human 300 units/mL IM Soln 1 mL,"$2,753.65 "
6349,rabies immune globulin human 300 units/mL IM Soln 5 mL,"$13,546.20 "
5978,rabies vaccine human diploid cell 2.5 intl units IM Inj,"$1,141.75 "
5550,rabies vaccine purified chick embryo cell 2.5 intl units IM Inj,"$1,089.05 "
37502,RAD PHYS CONSULT COMPLEX IMRT,$952.00 
37522,RAD PHYS CONSULT SIMPLE NON IMRT,$788.00 
37504,RAD THERAPY DOSE PLANNING,$486.00 
37100,RADIATION HANDLING,$440.00 
37024,RADIOPHARM TX BY IV ADMIN,"$1,674.00 "
3236,raloxifene 60 mg Tab,$4.30 
5353,raltegravir 400 mg Tab,$110.25 
5654,ramelteon 8 mg Tab,$51.85 
369,ramipril 1.25 mg Cap,$2.65 
368,ramipril 2.5 mg Cap,$10.40 
370,ramipril 5 mg Cap,$2.65 
6040,ramucirumab 10 mg/mL IV Soln 10 mL,"$5,020.45 "
6041,ramucirumab 10 mg/mL IV Soln 50 mL,"$25,102.20 "
2161,raNITIdine 15 mg/mL Oral Syrup 473 mL,$2.65 
2160,raNITIdine 25 mg/mL Inj Soln 2 mL,$38.20 
372,raNITIdine 300 mg Tab,$2.65 
5302,ranolazine 500 mg ER Tab,$26.05 
25074,RAPID RSV AG BK,$134.00 
25076,RAPID STREP BK,$116.00 
28730,RAPRAMYCIN (SIROLIMUS),$128.00 
6023,rasagiline 1 mg Tab,$98.90 
4553,rasburicase 1.5 mg IV Inj,"$3,058.65 "
5941,rasburicase 7.5 mg IV Inj,"$15,293.45 "
52104,RECTAL US,$838.00 
23160,RED BLOOD COUNT BK,$100.00 
29626,RED BLOOD COUNT-REF LAB,$29.00 
23094,REDUCE SUBSTANCES URINE SEMI-QUAN,$98.00 
30506,REDUCED/DISC IMAGING PROC,$707.00 
29800,REDUCING SUBSTANCES STOOL,$68.00 
20472,REF IMMUNO FIRST AB,$542.00 
21774,REF IMMUNOSTAIN EA ADDL AB,$338.00 
22034,"REFLEX IFE, CSF",$74.00 
22024,"REFLEX IFE, SERUM",$64.00 
22030,"REFLEX IFE, URINE",$76.00 
5591,regadenoson 0.4 mg/5 mL IV Soln 5 mL,$958.85 
44270,REHAB ADT/TRN NON-SPCH DEV 15 MIN,$247.00 
44272,REHAB ADT/TRN NON-SPCH DEV 30 MIN,$354.00 
44274,REHAB ADT/TRN NON-SPCH DEV 45 MIN,$518.00 
44276,REHAB ADT/TRN NON-SPCH DEV 60 MIN,$657.00 
44208,REHAB APHASIA EVAL 60 MIN,$479.00 
44008,REHAB DYSPHAGIA EVAL 15 MIN,$245.00 
42162,REHAB DYSPHAGIA EVAL 30 MIN,$293.00 
42240,REHAB DYSPHAGIA EVAL 45 MIN,$449.00 
42242,REHAB DYSPHAGIA EVAL 60 MIN,$571.00 
44215,REHAB DYSPHAGIA TRMT 30 MIN,$296.00 
44217,REHAB DYSPHAGIA TRMT 60 MIN,$385.00 
44090,REHAB DYSPHAGIA TRTMT 15 MIN,$200.00 
44236,REHAB DYSPHAGIA TRTMT 45 MIN,$350.00 
44312,REHAB EVAL SPEECH GEN DEV 1ST HR,$603.00 
44196,REHAB EVAL/FIT VOICE PROS 15 MIN,$326.00 
44284,REHAB EVAL/FIT VOICE PROS 30 MIN,$391.00 
44286,REHAB EVAL/FIT VOICE PROS 45 MIN,$511.00 
44288,REHAB EVAL/FIT VOICE PROS 60 MIN,$762.00 
44096,REHAB FIBEROPTIC SWALL 15 MIN,$314.00 
44162,REHAB FIBEROPTIC SWALL 30 MIN,$377.00 
44164,REHAB FIBEROPTIC SWALL 45 MIN,$561.00 
44166,REHAB FIBEROPTIC SWALL 60 MIN,$749.00 
44098,REHAB FIBROPT W/ENT SWALL 15 MIN,$314.00 
44156,REHAB FIBROPT W/ENT SWALL 30 MIN,$377.00 
44158,REHAB FIBROPT W/ENT SWALL 45 MIN,$561.00 
44160,REHAB FIBROPT W/ENT SWALL 60 MIN,$749.00 
44206,REHAB FUNCTIONAL TRNG 15 MIN,$144.00 
44022,REHAB MOD BARIUM SWALLOW 15 MIN,$326.00 
44134,REHAB MOD BARIUM SWALLOW 30 MIN,$391.00 
44136,REHAB MOD BARIUM SWALLOW 45 MIN,$574.00 
44138,REHAB MOD BARIUM SWALLOW 60 MIN,$749.00 
44140,REHAB MOD BARIUM SWALLOW 90 MIN,"$1,199.00 "
16500,REHAB PRIVATE,"$2,107.00 "
44244,REHAB SELF CARE/HOME MGT 15 MIN,$130.00 
16502,REHAB SEMI-PRIVATE,"$2,107.00 "
44450,REHAB SPCH PROD EVAL 15 MIN,$247.00 
44452,REHAB SPCH PROD EVAL 30 MIN,$380.00 
44454,REHAB SPCH PROD EVAL 45 MIN,$518.00 
44456,REHAB SPCH PROD EVAL 60 MIN,$657.00 
44458,REHAB SPCH PROD RE-EVAL 15 MIN,$247.00 
44460,REHAB SPCH PROD RE-EVAL 30 MIN,$380.00 
44462,REHAB SPCH PROD RE-EVAL 45 MIN,$518.00 
44464,REHAB SPCH PROD RE-EVAL 60 MIN,$657.00 
44466,REHAB SPCH&LNG EVAL 15 MIN,$247.00 
44468,REHAB SPCH&LNG EVAL 30 MIN,$380.00 
44470,REHAB SPCH&LNG EVAL 45 MIN,$518.00 
44472,REHAB SPCH&LNG EVAL 60 MIN,$657.00 
44474,REHAB SPCH&LNG RE-EVAL 15 MIN,$247.00 
44476,REHAB SPCH&LNG RE-EVAL 30 MIN,$380.00 
44478,REHAB SPCH&LNG RE-EVAL 45 MIN,$518.00 
44480,REHAB SPCH&LNG RE-EVAL 60 MIN,$657.00 
44168,REHAB SPEECH GROUP THER PROC,$187.00 
44010,REHAB SPEECH THERAPY 15 MIN,$192.00 
44104,REHAB SPEECH THERAPY 30 MIN,$331.00 
44232,REHAB SPEECH THERAPY 45 MIN,$470.00 
44200,REHAB SPEECH THERAPY 60 MIN,$603.00 
44308,REHAB TRNG SPEECH GEN DEV 30 MIN,$354.00 
44310,REHAB TRNG SPEECH GEN DEV 60 MIN,$657.00 
44482,REHAB VOICE EVAL 15 MIN,$247.00 
44484,REHAB VOICE EVAL 30 MIN,$380.00 
44486,REHAB VOICE EVAL 45 MIN,$518.00 
44488,REHAB VOICE EVAL 60 MIN,$657.00 
44490,REHAB VOICE RE-EVAL 15 MIN,$247.00 
44492,REHAB VOICE RE-EVAL 30 MIN,$380.00 
44494,REHAB VOICE RE-EVAL 45 MIN,$518.00 
44496,REHAB VOICE RE-EVAL 60 MIN,$657.00 
6104,remifentanil 1 mg IV Inj,$267.15 
5939,remifentanil 2 mg IV Inj,$534.30 
60208,REMOVAL EVENT RECORDER,"$5,168.00 "
60116,REMOVAL ICD PULSE - GEN ONLY,"$6,203.00 "
60112,REMOVAL PERM PMKR - DUAL LEAD,"$4,517.00 "
60108,REMOVAL PERM PMKR - GEN ONLY,"$4,767.00 "
60110,REMOVAL PERM PMKR - SGLE LEAD,"$2,587.00 "
29606,RENAL PANEL,$81.00 
28572,RENIN,$504.00 
3092,repaglinide 1 mg Tab,$2.65 
13780,REPLACEMENT APHERESIS CATH,"$1,693.00 "
1147,reserpine 0.1 mg Tab,$5.60 
1148,reserpine 0.25 mg Tab,$7.70 
6206,reslizumab 10 mg/mL Sol,"$4,109.90 "
21870,RESP PANEL VIRAL 12-25 TARGETS,$683.00 
23162,RETIC COUNT AUTO BK,$122.00 
79208,RETINAL IMPLANT,$41.00 
60206,REVISION LEAD,"$4,508.00 "
60096,REVISION SKIN POCKET,"$5,384.00 "
71800,REVO MRI PACEMAKER,"$13,392.00 "
27050,RH BLOOD TYPE,$136.00 
27052,RH(D) BLOOD TYPING - P,$123.00 
60270,RHC W/COR INJ NO AORTIC VALVE,"$17,836.00 "
60272,RHC W/COR INJ W/IMA W/WO SVG,"$20,214.00 "
60260,"RHC, RIGHT HEART CATH","$6,651.00 "
25356,RHEUM FACTOR QUANT - PPL,$306.00 
2807,RHo (D) immune globulin 300 mcg (1500 intl units)/1.3 mL Inj Soln 1.3 mL,"$1,230.40 "
27054,RHO D IMMUNE GLOBULIN 300 MCG,$487.00 
62206,RHYTHM STRIP W/O EKG,$91.00 
4386,ribavirin 200 mg Cap,$9.70 
6223,ribavirin 40 mg/mL Sol,$10.70 
2832,ribavirin 6 g Inh Recon Powder,"$19,080.80 "
373,rifabutin 150 mg Cap,$70.05 
3283,rifAMPin 150 mg Cap,$15.60 
374,rifAMPin 300 mg Cap,$4.50 
2167,rifAMPin 600 mg IV Inj,$472.00 
5293,rifAXIMin 200 mg Tab,$82.30 
5697,rifAXIMin 550 mg Tab,$181.05 
5798,rilpivirine 25 mg Tab,$153.40 
1150,riMANTAdine 100 mg Tab,$13.55 
72844,RING BAND FALLOPE W/APPL,$267.00 
6086,riociguat 1 mg Tab,$498.50 
4648,risedronate 35 mg Tab,$318.25 
6157,Risedronate Sodium 150 mg tablet,$559.00 
4616,risperiDONE 0.5 mg Dis Tab,$4.90 
4617,risperiDONE 1 mg Dis Tab,$3.05 
1151,risperiDONE 1 mg Tab,$2.65 
2168,risperiDONE 1 mg/mL Oral Soln 30 mL,$2.65 
3678,risperiDONE 2 mg Tab,$2.65 
1152,risperiDONE 3 mg Tab,$2.65 
6150,risperiDONE microspheres 25 mg/2 mL Inj,"$1,801.85 "
6323,risperiDONE microspheres 50 mg/2 mL Inj,"$3,603.90 "
375,ritonavir 100 mg Cap,$44.05 
5732,ritonavir 100 mg Tab,$44.05 
3275,ritonavir 80 mg/mL Oral Soln 240 mL,$154.15 
3130,riTUXimab 10 mg/mL IV Soln 10 mL,"$3,434.50 "
3131,riTUXimab 10 mg/mL IV Soln 50 mL,"$15,594.80 "
5742,rivaroxaban 10 mg Tab,$19.75 
5778,rivaroxaban 15 mg Tab,$20.80 
5779,rivaroxaban 20 mg Tab,$20.40 
4242,rivastigmine 1.5 mg Cap,$3.45 
5414,rivastigmine 2 mg/mL Sol,$16.05 
5601,rivastigmine 4.6 mg/24 hr TD Film ER,$40.75 
5627,rivastigmine 9.5 mg/24 hr TD Film ER,$37.05 
4237,rizatriptan 10 mg Tab,$4.10 
28580,ROCKY MOUNT SPOT FEVER IGG,$451.00 
28582,ROCKY MOUNT SPOT FEVER IGM,$451.00 
5889,rocuronium 10 mg/mL IV Soln 10 mL,$38.20 
2169,rocuronium 10 mg/mL IV Soln 5 mL,$38.20 
6379,rocuronium 50 mg/5 mL SYRinge,$69.25 
72700,ROD IMPLANT LEVEL 1,$216.00 
72702,ROD IMPLANT LEVEL 2,$886.00 
72706,ROD IMPLANT LEVEL 3,"$1,853.00 "
72704,ROD IMPLANT LEVEL 3.,"$8,907.00 "
5620,romiDEPsin 10 mg IV Inj,"$12,103.20 "
5524,romiPLOStim 250 mcg Subcut Inj,"$7,161.25 "
5522,romiPLOStim 500 mcg Subcut Inj,"$12,745.05 "
4134,rOPINIRole 0.25 mg Tab,$2.65 
4135,rOPINIRole 1 mg Tab,$2.65 
4208,rOPINIRole 2 mg Tab,$2.65 
6310,rOPINIRole 4 mg  ER Tab,$7.45 
5704,ropivacaine 0.2% Inj Soln 10 mL,$38.20 
3298,ropivacaine 0.2% Inj Soln 100 mL,$185.30 
2170,ropivacaine 0.2% Inj Soln 20 mL,$52.05 
5808,ropivacaine 0.5% Inj Soln 20 mL,$38.20 
2171,ropivacaine 0.5% Inj Soln 30 mL,$38.20 
5249,ropivacaine 0.75% Inj Soln 20 mL,$41.60 
5740,ropivacaine 1% Inj Soln 20 mL,$46.75 
3925,rosiglitazone 2 mg Tab,$17.10 
3886,rosiglitazone 4 mg Tab,$16.00 
4737,rosuvastatin 10 mg Tab,$7.25 
5340,rosuvastatin 20 mg Tab,$7.25 
6048,rosuvastatin 40 mg Tab,$5.35 
5339,rosuvastatin 5 mg Tab,$7.25 
25092,ROTAVIRUS AG,$134.00 
6071,rotigotine 2 mg/24 hr TD Film ER,$96.90 
16300,ROUTINE NEWBORN NSG CARE,"$1,950.00 "
21484,RPR QUAL,$221.00 
21476,RPR TITER QUANT,$96.00 
60288,RT HT INJ W/SANDI ADD-ON TO RHC,$472.00 
25358,RUBELLA AB IGG - PPL,$85.00 
20764,RUBELLA ABS IGM,$79.00 
25276,RUBELLA ANTIBODY,$104.00 
28584,RUBEOLA AB,$85.00 
20762,RUBEOLA ABS IGM,$85.00 
29646,"RUSSELL VIPER VENOM TIME,DILUTED",$81.00 
20778,S. CEREVISIAE IGA,$55.00 
20780,S. CEREVISIAE IGG,$55.00 
5365,saccharomyces boulardii lyo 250 mg Cap,$0.55 
6142,sacubitril-valsartan 24 mg-26 mg tablet,$31.80 
6159,Sacubitril-Valsartan 49-51 mg tablet,$31.80 
6160,Sacubitril-Valsartan 97-103 mg tablet,$31.80 
21242,SALICYLATE BK,$309.00 
3279,saliva substitutes oral Liquid,$0.75 
5959,saliva substitutes Oral Spray 44.3 mL,$4.20 
3037,saliva substitutes Oral Spray 59 mL,$28.95 
4389,salmeterol 50 mcg Inh Powder,$34.60 
1156,salsalate 500 mg Tab,$9.30 
377,saquinavir (as mesylate) 200 mg Cap,$21.35 
2669,sargramostim 250 mcg Inj,$622.20 
5786,SAXagliptin 2.5 mg Tab,$62.75 
5646,SAXagliptin 5 mg Tab,$56.00 
20804,SCL STAIN GRP1 MICRO ORG EA PBE,$187.00 
28078,SCLERODERMA EA AB,$580.00 
2180,scopolamine 0.4 mg/mL Inj Soln 1 mL,$50.60 
1473,scopolamine 1.5 mg TD Film ER,$98.20 
72620,SCREW/BOLT IMPLANT LEVEL 1,$60.00 
72640,SCREW/BOLT IMPLANT LEVEL 10,"$4,091.00 "
72638,SCREW/BOLT IMPLANT LEVEL 10.,"$2,995.60 "
72642,SCREW/BOLT IMPLANT LEVEL 11,"$8,517.00 "
72622,SCREW/BOLT IMPLANT LEVEL 2,$98.00 
72624,SCREW/BOLT IMPLANT LEVEL 3,$221.00 
72626,SCREW/BOLT IMPLANT LEVEL 4,$389.00 
72628,SCREW/BOLT IMPLANT LEVEL 5,$506.00 
72630,SCREW/BOLT IMPLANT LEVEL 6,$820.00 
72632,SCREW/BOLT IMPLANT LEVEL 7,"$1,800.00 "
72634,SCREW/BOLT IMPLANT LEVEL 8,"$2,502.00 "
72636,SCREW/BOLT IMPLANT LEVEL 9,"$2,832.00 "
2834,secretin synthetic human 16 mcg IV Inj,"$2,194.50 "
23236,SEDIMENTATION RATE AUTO,$168.00 
23098,SEDIMENTATION RATE NON-AUTO BK,$168.00 
1158,selegiline 5 mg Cap,$6.75 
28594,SELENIUM,$624.00 
2182,selenium 40 mcg/mL IV Soln 10 mL,$38.20 
1159,selenium 50 mcg Tab,$0.15 
2183,selenium sulfide 2.5% Lotion 118 mL,$44.40 
3288,senna 15 mg Tab,$0.15 
1160,senna 8.6 mg Tab,$0.15 
2740,senna 8.8 mg/5 mL Oral Syrup 240 mL,$0.15 
28596,SEROTONIN PLASMA,$385.00 
29482,SEROTONIN RELEASE (HIT),$641.00 
21208,"SEROTONIN, SERUM",$64.00 
21946,SERRATIA MARCESCENS - BCID,$84.00 
3695,sertraline 100 mg Tab,$2.65 
1163,sertraline 50 mg Tab,$2.65 
6044,sevelamer carbonate 0.8 g Pow,$46.45 
5825,sevelamer carbonate 2.4 g Pow,$79.15 
5644,sevelamer carbonate 800 mg Tab,$26.40 
3847,sevoflurane Inh Liquid 250 mL,$6.00 
25360,SEX HORMONE BINDING GLOBULIN-PPL,$410.00 
23266,SGOT (AST) - REF,$33.00 
21250,SGOT BK,$144.00 
23268,SGPT (ALT) - REF,$33.00 
21252,SGPT BK,$134.00 
40248,SH ADL TRAINING 15 MIN,$130.00 
40344,SH AQUA SUP/GROUP THER PROC,$102.00 
40242,SH DIATHERMY,$153.00 
40342,SH SUP/GROUP THER PROC,$102.00 
40252,SH THER EX INDIV-OB/GYN 15 MIN,$134.00 
40244,SH ULTRA W/ELEC STIM 15 MIN,$153.00 
40260,SH WORK HARDENING ADD'L 1 HR,$468.00 
40258,SH WORK HARDENING INITIAL 2 HRS,$927.00 
77848,SHEATH STEERABLE BARD,"$3,681.00 "
77849,SHEATH STEERABLE HEARTSPAN,$556.00 
25262,SHIGA TOXIN,$64.00 
77438,SHUNT LUMBAR PERITONEAL SPETZLER,"$1,491.00 "
77440,SHUNT VP PROGRAMMABLE,"$11,353.00 "
23102,SICKLE CELL TEST,$173.00 
22014,SICKLING OF RBC REDUCTION,$41.00 
23104,SIDEROCYTES IRON STAIN BLOOD,$170.00 
62202,SIGNAL AVERAGING,$433.00 
4849,sildenafil 20 mg Tab,$2.65 
79308,SILICONE OIL 5CC,"$1,095.00 "
5988,silodosin 4 mg Cap,$34.55 
5315,silver nitrate 0.5% Topical Soln 960 mL,$225.05 
2659,silver nitrate Stick,$6.40 
3050,silver sulfADIAZINE 1% Cream 25 gm,$27.00 
2574,silver sulfADIAZINE 1% Cream 400 gm,$225.35 
2573,silver sulfADIAZINE 1% Cream 50 gm,$42.75 
1165,simethicone 125 mg Cap,$0.15 
1166,simethicone 125 mg Chew Tab,$0.20 
4357,simethicone 180 mg Cap,$0.15 
3700,simethicone 40 mg/0.6 mL Oral Liquid 30 mL,$1.65 
1164,simethicone 80 mg Chew Tab,$0.15 
37016,SIMULATION COMPLEX,"$2,096.00 "
37000,SIMULATION INTERMEDIATE,$938.00 
37014,SIMULATION SIMPLE,$938.00 
1169,simvastatin 10 mg Tab,$2.65 
3686,simvastatin 20 mg Tab,$2.65 
3951,simvastatin 5 mg Tab,$2.65 
6272,sincalide 3 mcg IV inj,$490.45 
3688,sincalide 5 mcg IV Inj,$530.70 
5965,sipuleucel-T IV Susp 250 mL,"$31,589.00 "
5334,sirolimus 1 mg Tab,$128.25 
6050,SITagliptin 25 mg Tab,$52.90 
5190,SITagliptin 50 mg Tab,$52.90 
28600,"SJORGENS AB, ANTI-SS-A",$138.00 
29632,"SJORGENS AB, ANTI-SS-B",$138.00 
49004,SLEEP STUDY UNATTENDED GT 6HRS,$674.00 
49012,SLEEP STUDY UNATTENDED LT 6HRS,$674.00 
74414,SLING URINARY W/GRAFT LEVEL 1,"$2,390.00 "
74416,SLING URINARY W/GRAFT LEVEL 2,"$3,836.00 "
74418,SLING URINARY W/GRAFT LEVEL 3,"$7,500.00 "
74420,SLING URINARY W/GRAFT LEVEL 4,"$9,614.00 "
74422,SLING URINARY W/GRAFT LEVEL 5,"$15,421.00 "
74426,SLING URINARY W/O GRAFT,"$4,080.00 "
78810,SM153 LEXI PER TX DOSE TO 150 MCI,"$41,503.00 "
22056,"SMEAR, SPECIAL STAIN",$44.00 
46110,SMOKING/TOBACCO COUNSEL 3-10 MINS,$24.00 
46112,SMOKING/TOBACCO COUNSEL GT 10 MIN,$24.00 
28080,SMOOTH MUSCLE SCRN AB,$407.00 
70065,"SNARE, RETRIEVABLE DEVICE","$1,117.00 "
2187,sodium acetate 2 mEq/mL IV Soln 20 mL,$38.20 
21608,SODIUM ARTERIAL - P,$100.00 
5973,sodium bicarbonate - Pow,$19.80 
5691,sodium bicarbonate 150 mEq/D5W 1000 mL,$115.30 
3139,sodium bicarbonate 4% IV Soln 5 mL,$38.20 
2189,sodium bicarbonate 4.2% IV Soln 10 mL,$47.35 
6281,sodium bicarbonate 4.2% IV Soln 5 mL,$91.10 
1172,sodium bicarbonate 650 mg Tab,$0.15 
2190,sodium bicarbonate 8.4% IV Soln 10 mL,$58.65 
461,sodium bicarbonate 8.4% IV Soln 50 mL,$45.50 
2188,sodium bicarbonate vial 8.4% IV Soln 50 mL,$42.45 
3699,sodium biphosphate-sodium phosphate 18%-48% Oral Soln 45 mL,$2.95 
2865,sodium biphosphate-sodium phosphate 3.5 g-9.5 g Enema 66 mL,$6.45 
2867,sodium biphosphate-sodium phosphate 7 g-19 g Enema 133 mL,$6.40 
21254,SODIUM BLOOD BK,$100.00 
21792,SODIUM BODY FLUID,$122.00 
11,Sodium Chloride 0.45% IV Sol 1000 mL,$50.90 
11,Sodium Chloride 0.45% IV Sol 1000 mL,$50.90 
11,Sodium Chloride 0.45% IV Sol 1000 mL,$50.90 
5449,Sodium Chloride 0.45% IV Sol 250 mL,$50.90 
1351,Sodium Chloride 0.45% IV Sol 500 mL,$50.90 
4593,Sodium Chloride 0.45% with KCl 20 mEq/L IV Sol 1000 mL,$53.25 
4145,sodium chloride 0.65% Nasal Gel 14.1 gm,$2.45 
2174,sodium chloride 0.65% Nasal Soln 50 mL,$2.35 
6013,sodium chloride 0.65% Nasal Spray 45 mL,$1.30 
2173,sodium chloride 0.65% Nasal Spray 49 mL,$1.85 
1385,Sodium Chloride 0.9%  ADD-VANTAGE Sol 250 mL,$50.90 
1384,Sodium Chloride 0.9% ADD-VANTAGE IV Sol 100 mL,$50.90 
4552,sodium chloride 0.9% Inh Soln 3 mL,$0.15 
5259,sodium chloride 0.9% Inj (STERILE FIELD) Soln 10 ml,$50.90 
4661,sodium chloride 0.9% Inj Soln 10 mL syringe,$38.20 
2191,sodium chloride 0.9% Inj Soln 10 mL vial,$50.90 
4660,sodium chloride 0.9% Inj Soln 3 mL syringe,$38.20 
1360,Sodium Chloride 0.9% intravenous solution Sodium Chloride 0.9% Sol,$38.20 
1398,sodium chloride 0.9% Irrigation Soln 1000 mL,$50.90 
5961,sodium chloride 0.9% Irrigation Soln 250 mL,$50.90 
