Charge Description,Charge Amount
STENT RESOLUTE ONYX 2.50MMX30MM,"$4,252.50 "
STENT RESOLUTE ONYX 2.50MMX34MM,"$4,252.50 "
STENT RESOLUTE ONYX 2.50MMX38MM,"$4,252.50 "
STENT RESOLUTE ONYX 2.75MMX08MM,"$4,252.50 "
STENT RESOLUTE ONYX 2.75MMX12MM,"$4,252.50 "
STENT RESOLUTE ONYX 2.75MMX15MM,"$4,252.50 "
STENT RESOLUTE ONYX 2.75MMX18MM,"$4,252.50 "
STENT RESOLUTE ONYX 2.75MMX22MM,"$4,252.50 "
STENT RESOLUTE ONYX 2.75MMX26MM,"$4,252.50 "
STENT RESOLUTE ONYX 2.75MMX30MM,"$4,252.50 "
STENT RESOLUTE ONYX 2.75MMX34MM,"$4,252.50 "
STENT RESOLUTE ONYX 2.75MMX38MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.00MMX08MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.00MMX12MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.00MMX15MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.00MMX18MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.00MMX22MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.00MMX26MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.00MMX30MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.00MMX34MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.00MMX38MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.50MMX08MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.50MMX12MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.50MMX15MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.50MMX18MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.50MMX22MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.50MMX26MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.50MMX30MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.50MMX34MM,"$4,252.50 "
STENT RESOLUTE ONYX 3.50MMX38MM,"$4,252.50 "
STENT RESOLUTE ONYX 4.00MMX08MM,"$4,252.50 "
STENT RESOLUTE ONYX 4.00MMX12MM,"$4,252.50 "
STENT RESOLUTE ONYX 4.00MMX15MM,"$4,252.50 "
STENT RESOLUTE ONYX 4.00MMX18MM,"$4,252.50 "
STENT RESOLUTE ONYX 4.00MMX22MM,"$4,252.50 "
STENT RESOLUTE ONYX 4.00MMX26MM,"$4,252.50 "
STENT RESOLUTE ONYX 4.00MMX30MM,"$4,252.50 "
STENT RESOLUTE ONYX 4.00MMX34MM,"$4,252.50 "
STENT RESOLUTE ONYX 4.00MMX38MM,"$4,252.50 "
STENT RESOLUTE ONYX 4.50MMX12MM,"$4,515.00 "
STENT RESOLUTE ONYX 4.50MMX15MM,"$4,515.00 "
STENT RESOLUTE ONYX 4.50MMX18MM,"$4,515.00 "
STENT RESOLUTE ONYX 4.50MMX22MM,"$4,515.00 "
STENT RESOLUTE ONYX 4.50MMX26MM,"$4,515.00 "
STENT RESOLUTE ONYX 4.50MMX30MM,"$4,515.00 "
STENT RESOLUTE ONYX 5.00MMX12MM,"$4,515.00 "
STENT RESOLUTE ONYX 5.00MMX15MM,"$4,515.00 "
STENT RESOLUTE ONYX 5.00MMX18MM,"$4,515.00 "
STENT RESOLUTE ONYX 5.00MMX22MM,"$4,515.00 "
STENT RESOLUTE ONYX 5.00MMX26MM,"$4,515.00 "
STENT RESOLUTE ONYX 5.00MMX30MM,"$4,515.00 "
STENT SMART 10X6 035 CORDIS,"$3,840.00 "
STENT SMART 10X8 035 CORDIS,"$3,840.00 "
STENT SMART 7X40X120 CORDIS,"$3,840.00 "
STENT SMART 8X40 C08040SL,"$3,840.00 "
STENT SMART 8X60 CORDIS,"$3,840.00 "
STENT SMART 9X60,"$3,840.00 "
STENT SMART 9X80,"$3,840.00 "
STENT SMART CONTROL 10X4 120CM,"$3,840.00 "
STENT SMART CONTROL 10X6 120CM,"$3,840.00 "
STENT SMART CONTROL 12X6 120CM,"$4,890.00 "
STENT SMART CONTROL 12X8 120CM,"$4,890.00 "
STENT SMART CONTROL 14X6 120CM,"$4,890.00 "
STENT SMART CONTROL 14X8 120CM,"$4,890.00 "
STENT SMART CONTROL 6X100,"$3,840.00 "
STENT SMART CONTROL 6X120,"$5,400.00 "
STENT SMART CONTROL 6X150,"$5,400.00 "
STENT SMART CONTROL 6X30 120CM,"$3,840.00 "
STENT SMART CONTROL 6X40 120CM,"$3,840.00 "
STENT SMART CONTROL 6X6 120CM,"$3,840.00 "
STENT SMART CONTROL 6X80,"$3,840.00 "
STENT SMART CONTROL 7X100,"$3,840.00 "
STENT SMART CONTROL 7X30 120CM,"$3,840.00 "
STENT SMART CONTROL 7X6 120CM,"$3,840.00 "
STENT SMART CONTROL 7X80,"$3,840.00 "
STENT SMART CONTROL 8X120,"$5,400.00 "
STENT SMART CONTROL 8X40 120CM,"$3,840.00 "
STENT SMART CONTROL 8X6 120CM,"$3,840.00 "
STENT SOFT DIVERSION 160-210,"$1,131.06 "
STENT SYNERGY 2.25MMX08MM,"$4,200.00 "
STENT SYNERGY 2.25MMX12MM,"$4,200.00 "
STENT SYNERGY 2.25MMX16MM,"$4,200.00 "
STENT SYNERGY 2.25MMX20MM,"$4,200.00 "
STENT SYNERGY 2.25MMX24MM,"$4,200.00 "
STENT SYNERGY 2.25MMX28MM,"$4,200.00 "
STENT SYNERGY 2.25MMX32MM,"$4,200.00 "
STENT SYNERGY 2.25MMX38MM,"$4,200.00 "
STENT SYNERGY 2.50MMX08MM,"$4,200.00 "
STENT SYNERGY 2.50MMX12MM,"$4,200.00 "
STENT SYNERGY 2.50MMX16MM,"$4,200.00 "
STENT SYNERGY 2.50MMX20MM,"$4,200.00 "
STENT SYNERGY 2.50MMX24MM,"$4,200.00 "
STENT SYNERGY 2.50MMX28MM,"$4,200.00 "
STENT SYNERGY 2.50MMX32MM,"$4,200.00 "
STENT SYNERGY 2.50MMX38MM,"$4,200.00 "
STENT SYNERGY 2.75MMX08MM,"$4,200.00 "
STENT SYNERGY 2.75MMX12MM,"$4,200.00 "
STENT SYNERGY 2.75MMX16MM,"$4,200.00 "
STENT SYNERGY 2.75MMX20MM,"$4,200.00 "
STENT SYNERGY 2.75MMX24MM,"$4,200.00 "
STENT SYNERGY 2.75MMX28MM,"$4,200.00 "
STENT SYNERGY 2.75MMX32MM,"$4,200.00 "
STENT SYNERGY 2.75MMX38MM,"$4,200.00 "
STENT SYNERGY 3.00MMX08MM,"$4,200.00 "
STENT SYNERGY 3.00MMX12MM,"$4,200.00 "
STENT SYNERGY 3.00MMX16MM,"$4,200.00 "
STENT SYNERGY 3.00MMX20MM,"$4,200.00 "
STENT SYNERGY 3.00MMX24MM,"$4,200.00 "
STENT SYNERGY 3.00MMX28MM,"$4,200.00 "
STENT SYNERGY 3.00MMX32MM,"$4,200.00 "
STENT SYNERGY 3.00MX38MM,"$4,200.00 "
STENT SYNERGY 3.50MMX08MM,"$4,200.00 "
STENT SYNERGY 3.50MMX12MM,"$4,200.00 "
STENT SYNERGY 3.50MMX16MM,"$4,200.00 "
STENT SYNERGY 3.50MMX20MM,"$4,200.00 "
STENT SYNERGY 3.50MMX24MM,"$4,200.00 "
STENT SYNERGY 3.50MMX28MM,"$4,200.00 "
STENT SYNERGY 3.50MMX32MM,"$4,200.00 "
STENT SYNERGY 3.50MMX38MM,"$4,200.00 "
STENT SYNERGY 4.00MMX08MM,"$4,200.00 "
STENT SYNERGY 4.00MMX12MM,"$4,200.00 "
STENT SYNERGY 4.00MMX16MM,"$4,200.00 "
STENT SYNERGY 4.00MMX20MM,"$4,200.00 "
STENT SYNERGY 4.00MMX24MM,"$4,200.00 "
STENT SYNERGY 4.00MMX28MM,"$4,200.00 "
STENT SYNERGY 4.00MMX32MM,"$4,200.00 "
STENT SYNERGY 4.00MMX38MM,"$4,200.00 "
STENT THORACIC ENDPR TGU282815,"$32,500.00 "
STENT THORACIC TGU212110,"$34,144.00 "
STENT THORACIC TGU262610,"$34,144.00 "
STENT THORACIC TGU312610,"$31,000.00 "
STENT THORACIC TGU313115,"$31,750.00 "
STENT THORACIC TGU343410,"$33,312.00 "
STENT THORACIC TGU343415,"$34,144.00 "
STENT THORACIC TGU343420,"$34,144.00 "
STENT THORACIC TGU373720,"$31,000.00 "
STENT THORACIC TGU404010,"$31,000.00 "
STENT THORACIC TGU404020,"$31,000.00 "
STENT THORACIC TGU454510,"$31,000.00 "
STENT THORACIC TGU454515,"$31,000.00 "
STENT TRYTON 2.5MM X 2.5MM,"$5,250.00 "
STENT TRYTON 2.5MM X 3.0MM,"$4,686.50 "
STENT TRYTON 2.5MM X 3.5MM,"$4,550.00 "
STENT TRYTON 3.0MM X 3.5MM,"$5,250.00 "
STENT TRYTON 3.5MM X 4.0MM,"$5,250.00 "
STENT ULTRA RX 4.5MMX13MM,"$3,150.00 "
STENT ULTRA RX 4.5MMX18MM,"$3,150.00 "
STENT ULTRA RX 4.5MMX28MM,"$3,150.00 "
STENT ULTRA RX 4.5MMX38MM,"$3,150.00 "
STENT ULTRA RX 5.0MMX13MM,"$3,150.00 "
STENT ULTRA RX 5.0MMX18MM,"$3,150.00 "
STENT ULTRA RX 5.0MMX28MM,"$3,150.00 "
STENT ULTRA RX 5.0MMX38MM,"$3,150.00 "
STENT UNCOVERED 8MMX10CM    M00570630,"$6,037.50 "
STENT UNCOVERED 8MMX6CM    M00570610,"$6,037.50 "
STENT UNCOVERED 8MMX8CM    M00570620,"$5,873.91 "
STENT URET COOK PED 5F 8-20W,$805.26 
STENT URETERAL SYSTEM 8FR 22CM,$624.96 
STENT URETERAL SYSTEM 8FR 24CM,$624.96 
STENT URETERAL SYSTEM 8FR 26CM,$624.96 
STENT URETERAL SYSTEM 8FR 28CM,$624.96 
STENT VASCULAR TIGRIS,"$5,232.50 "
STENT VASCULAR TIGRIS 6FR 6MMX40MM,"$5,232.50 "
STENT VBX 10MM X 39MM X 80CM,"$10,822.00 "
STENT VBX 10MM X 59MM X 80CM,"$10,822.00 "
STENT VBX 11MM X 39MM X 80CM,"$10,822.00 "
STENT VBX 11MM X 59MM X 80CM,"$10,822.00 "
STENT VBX 5MM X 19MMX 80CM,"$9,649.50 "
STENT VBX 5MM X 29MMX 80CM,"$11,676.00 "
STENT VBX 6MM X 19MMX 80CM,"$9,649.50 "
STENT VBX 6MM X 29MMX 80CM,"$11,676.00 "
STENT VBX 7MM X 19MMX 80CM,"$9,649.50 "
STENT VBX 7MM X 29MMX 80CM,"$11,676.00 "
STENT VBX 7MM X 39MMX 80CM,"$11,676.00 "
STENT VBX 7MM X 59MMX 80CM,"$11,676.00 "
STENT VBX 8MM X 39MM X 80CM,"$11,676.00 "
STENT VBX 8MM X 59MM X 80CM,"$11,676.00 "
STENT VBX 9MM X 39MM X 80CM,"$10,822.00 "
STENT VBX 9MM X 59MM X 80CM,"$10,822.00 "
STENT VBX BXA117902A,"$12,806.50 "
STENT VIABAHN 5X7.5 VBJR050702A,"$13,160.00 "
STENT VIABAHN 6MMX2.5MM,"$11,182.50 "
STENT VIABAHN 6MMX7.5CM VIA VASC 120CM,"$12,204.50 "
STENT VIABAHN 6X10X120 .018  VBJR0610021,"$12,232.50 "
STENT VIABAHN 7 X 2.5,"$11,182.50 "
STENT VIABAHN 7MMX2.5MM,"$11,182.50 "
STENT VIABAHN 7MMX7.5CM VIA VASC 120CM,"$12,845.00 "
STENT VIABAHN 7X25CM VBJ072502,"$22,382.50 "
STENT VIABAHN 8MMX5MM 110,"$11,154.50 "
STENT VIABAHN VBH101002A,"$11,882.50 "
STENT VIABAHN VBH101502A,"$13,965.00 "
STENT VIABAHN VBH110502,"$10,832.50 "
STENT VIABIL 10X4,"$10,255.00 "
STENT VIABIL 10X6,"$10,255.00 "
STENT VIABIL 10X6 VH1006040,"$10,255.00 "
STENT VIABIL 10X8,"$10,255.00 "
STENT VIABIL 10X8 VH1008040,"$10,255.00 "
STENT VIABIL 8X60,"$8,543.50 "
STENT VISI PRO 8X27MM,"$5,550.00 "
STENT VISION 2.75MMX08MM,"$3,150.00 "
STENT VISION 2.75MMX12MM,"$3,150.00 "
STENT VISION 2.75MMX15MM,"$3,150.00 "
STENT VISION 2.75MMX18MM,"$3,150.00 "
STENT VISION 2.75MMX23MM,"$3,150.00 "
STENT VISION 2.75MMX28MM,"$3,150.00 "
STENT VISION 3.00MMX08MM,"$3,150.00 "
STENT VISION 3.00MMX18MM,"$3,150.00 "
STENT VISION 3.00MMX23MM,"$3,150.00 "
STENT VISION 3.00MMX28MM,"$3,150.00 "
STENT VISION 3.0MMX08MM,"$4,290.00 "
STENT VISION 3.0MMX12MM,"$3,150.00 "
STENT VISION 3.0MMX15MM,"$3,150.00 "
STENT VISION 3.0MMX33MM,"$3,480.00 "
STENT VISION 3.50MMX08MM,"$3,150.00 "
STENT VISION 3.50MMX12MM,"$3,150.00 "
STENT VISION 3.50MMX18MM,"$3,150.00 "
STENT VISION 3.50MMX23MM,"$3,150.00 "
STENT VISION 3.50MMX28MM,"$3,150.00 "
STENT VISION 3.5MMX15MM,"$3,150.00 "
STENT VISION 3.5MMX33MM,"$3,480.00 "
STENT VISION 3.5MMX38MM,"$4,290.00 "
STENT VISION 4.00MMX08MM,"$3,150.00 "
STENT VISION 4.00MMX23MM,"$3,150.00 "
STENT VISION 4.00MMX28MM,"$3,150.00 "
STENT VISION 4.0MMX12MM,"$3,150.00 "
STENT VISION 4.0MMX15MM,"$3,150.00 "
STENT VISION 4.0MMX18MM,"$3,150.00 "
STENT VISION 4.0MMX33MM,"$4,290.00 "
STENT VISION 4.0MMX38MM,"$3,480.00 "
STENT VISION MINI 2.0MMX08MM,"$3,150.00 "
STENT VISION MINI 2.0MMX12MM,"$3,150.00 "
STENT VISION MINI 2.0MMX15MM,"$3,150.00 "
STENT VISION MINI 2.0MMX18MM,"$3,150.00 "
STENT VISION MINI 2.25MMX08MM,"$3,150.00 "
STENT VISION MINI 2.25MMX12MM,"$3,150.00 "
STENT VISION MINI 2.25MMX15MM,"$3,150.00 "
STENT VISION MINI 2.25MMX18MM,"$3,150.00 "
STENT VISION MINI 2.25MMX23MM,"$3,150.00 "
STENT VISION MINI 2.25MMX28MM,"$3,150.00 "
STENT VISION MINI 2.5MMX08MM,"$3,150.00 "
STENT VISION MINI 2.5MMX12MM,"$3,150.00 "
STENT VISION MINI 2.5MMX15MM,"$3,150.00 "
STENT VISION MINI 2.5MMX18MM,"$3,150.00 "
STENT VISION MINI 2.5MMX23MM,"$3,150.00 "
STENT VISION MINI 2.5MMX28MM,"$3,150.00 "
STENT VISI-PRO PXB35-06-27-135,"$5,550.00 "
STENT VISI-PRO PXB35-06-37-135,"$5,550.00 "
STENT VISI-PRO PXB35-07-17-135,"$5,550.00 "
STENT VISI-PRO PXB35-07-27-135,"$5,550.00 "
STENT VISI-PRO PXB35-07-37-135,"$5,550.00 "
STENT VISI-PRO PXB35-07-57-135,"$5,550.00 "
STENT VISI-PRO PXB35-08-17-135,"$5,550.00 "
STENT VISI-PRO PXB35-08-27-135,"$5,550.00 "
STENT VISI-PRO PXB35-08-37-135,"$5,550.00 "
STENT VISI-PRO PXB35-08-57-135,"$5,550.00 "
STENT VISI-PRO PXB35-10-27-135,"$5,550.00 "
STENT VISI-PRO PXB35-10-37-135,"$5,550.00 "
STENT WALLFLEX 10MMX10CM,"$6,037.50 "
STENT WALLFLEX 10X40  M00570360,"$8,721.86 "
STENT WALLFLEX 10X6 M00570730,"$9,065.00 "
STENT WALLFLEX 10X80 M00570380,"$8,721.86 "
STENT WALLFLEX 12 CM M00565150,"$8,732.50 "
STENT WALLFLEX 15X23 M00516750,"$8,291.54 "
STENT WALLFLEX 18X10 M00516900,"$8,435.00 "
STENT WALLFLEX 18X12,"$8,475.46 "
STENT WALLFLEX 23X10 M00516730,"$8,475.46 "
STENT WALLFLEX 23X12 M00516740,"$8,291.54 "
STENT WALLFLEX 25X12 M00565060,"$8,732.50 "
STENT WALLFLEX 25X9 M00565050,"$8,732.50 "
STENT WALLFLEX 8X60  M00570340,"$9,228.84 "
STENT WALLFLEX 9CM M00565140,"$8,732.50 "
STENT WALLFLEX M00516920,"$8,435.00 "
STENT WALLFLEX M00516930,"$8,435.00 "
STENT WALLFLEX M00516940,"$8,435.00 "
STENT WALLFLEX MOO516950,"$8,435.00 "
STENT WALLFLEX UNCOVERED 10X60 M00570640,"$6,037.50 "
STENT XIENCE ALPINE 2.25MMX08MM,"$5,850.00 "
STENT XIENCE ALPINE 2.25MMX12MM,"$5,850.00 "
STENT XIENCE ALPINE 2.25MMX15MM,"$5,850.00 "
STENT XIENCE ALPINE 2.25MMX18MM,"$5,850.00 "
STENT XIENCE ALPINE 2.25MMX23MM,"$5,850.00 "
STENT XIENCE ALPINE 2.25MMX28MM,"$5,850.00 "
STENT XIENCE ALPINE 2.50MMX08MM,"$5,850.00 "
STENT XIENCE ALPINE 2.50MMX12MM,"$5,850.00 "
STENT XIENCE ALPINE 2.50MMX15MM,"$5,850.00 "
STENT XIENCE ALPINE 2.50MMX18MM,"$5,850.00 "
STENT XIENCE ALPINE 2.50MMX23MM,"$5,850.00 "
STENT XIENCE ALPINE 2.50MMX28MM,"$5,850.00 "
STENT XIENCE ALPINE 2.50MMX33MM,"$5,850.00 "
STENT XIENCE ALPINE 2.50MMX38MM,"$5,850.00 "
STENT XIENCE ALPINE 2.75MMX08MM,"$5,850.00 "
STENT XIENCE ALPINE 2.75MMX12MM,"$5,850.00 "
STENT XIENCE ALPINE 2.75MMX15MM,"$5,850.00 "
STENT XIENCE ALPINE 2.75MMX18MM,"$5,850.00 "
STENT XIENCE ALPINE 2.75MMX23MM,"$5,850.00 "
STENT XIENCE ALPINE 2.75MMX28MM,"$5,850.00 "
STENT XIENCE ALPINE 2.75MMX33MM,"$5,850.00 "
STENT XIENCE ALPINE 2.75MMX38MM,"$5,850.00 "
STENT XIENCE ALPINE 3.00MMX08MM,"$5,850.00 "
STENT XIENCE ALPINE 3.00MMX12MM,"$5,850.00 "
STENT XIENCE ALPINE 3.00MMX15MM,"$5,850.00 "
STENT XIENCE ALPINE 3.00MMX18MM,"$5,850.00 "
STENT XIENCE ALPINE 3.00MMX23MM,"$5,850.00 "
STENT XIENCE ALPINE 3.00MMX28MM,"$5,850.00 "
STENT XIENCE ALPINE 3.00MMX33MM,"$5,850.00 "
STENT XIENCE ALPINE 3.00MMX38MM,"$5,850.00 "
STENT XIENCE ALPINE 3.25MMX08MM,"$5,850.00 "
STENT XIENCE ALPINE 3.25MMX12MM,"$5,850.00 "
STENT XIENCE ALPINE 3.25MMX15MM,"$5,850.00 "
STENT XIENCE ALPINE 3.25MMX18MM,"$5,850.00 "
STENT XIENCE ALPINE 3.25MMX23MM,"$5,850.00 "
STENT XIENCE ALPINE 3.25MMX28MM,"$5,850.00 "
STENT XIENCE ALPINE 3.25MMX33MM,"$5,850.00 "
STENT XIENCE ALPINE 3.25MMX38MM,"$5,850.00 "
STENT XIENCE ALPINE 3.50MMX08MM,"$5,850.00 "
STENT XIENCE ALPINE 3.50MMX12MM,"$5,850.00 "
STENT XIENCE ALPINE 3.50MMX15MM,"$5,850.00 "
STENT XIENCE ALPINE 3.50MMX18MM,"$5,850.00 "
STENT XIENCE ALPINE 3.50MMX23MM,"$5,850.00 "
STENT XIENCE ALPINE 3.50MMX28MM,"$5,850.00 "
STENT XIENCE ALPINE 3.50MMX33MM,"$5,850.00 "
STENT XIENCE ALPINE 3.50MMX38MM,"$5,850.00 "
STENT XIENCE ALPINE 4.00MMX08MM,"$5,850.00 "
STENT XIENCE ALPINE 4.00MMX12MM,"$5,850.00 "
STENT XIENCE ALPINE 4.00MMX15MM,"$5,850.00 "
STENT XIENCE ALPINE 4.00MMX18MM,"$5,850.00 "
STENT XIENCE ALPINE 4.00MMX23MM,"$5,850.00 "
STENT XIENCE ALPINE 4.00MMX28MM,"$5,850.00 "
STENT XIENCE ALPINE 4.00MMX33MM,"$5,850.00 "
STENT XIENCE ALPINE 4.00MMX38MM,"$5,850.00 "
STENT XIENCE SIERRA 2.25MMX08MM,"$5,850.00 "
STENT XIENCE SIERRA 2.25MMX12MM,"$5,850.00 "
STENT XIENCE SIERRA 2.25MMX15MM,"$5,850.00 "
STENT XIENCE SIERRA 2.25MMX18MM,"$5,850.00 "
STENT XIENCE SIERRA 2.25MMX23MM,"$5,850.00 "
STENT XIENCE SIERRA 2.25MMX28MM,"$5,850.00 "
STENT XIENCE SIERRA 2.25MMX33MM,"$5,850.00 "
STENT XIENCE SIERRA 2.25MMX38MM,"$5,850.00 "
STENT XIENCE SIERRA 2.50MMX08MM,"$5,850.00 "
STENT XIENCE SIERRA 2.50MMX12MM,"$5,850.00 "
STENT XIENCE SIERRA 2.50MMX15MM,"$5,850.00 "
STENT XIENCE SIERRA 2.50MMX18MM,"$5,850.00 "
STENT XIENCE SIERRA 2.50MMX23MM,"$5,850.00 "
STENT XIENCE SIERRA 2.50MMX28MM,"$5,850.00 "
STENT XIENCE SIERRA 2.50MMX33MM,"$5,850.00 "
STENT XIENCE SIERRA 2.50MMX38MM,"$5,850.00 "
STENT XIENCE SIERRA 2.75MMX08MM,"$5,850.00 "
STENT XIENCE SIERRA 2.75MMX12MM,"$5,850.00 "
STENT XIENCE SIERRA 2.75MMX15MM,"$5,850.00 "
STENT XIENCE SIERRA 2.75MMX18MM,"$5,850.00 "
STENT XIENCE SIERRA 2.75MMX23MM,"$5,850.00 "
STENT XIENCE SIERRA 2.75MMX28MM,"$5,850.00 "
STENT XIENCE SIERRA 2.75MMX33MM,"$5,850.00 "
STENT XIENCE SIERRA 2.75MMX38MM,"$5,850.00 "
STENT XIENCE SIERRA 3.00MMX08MM,"$5,850.00 "
STENT XIENCE SIERRA 3.00MMX12MM,"$5,850.00 "
STENT XIENCE SIERRA 3.00MMX15MM,"$5,850.00 "
STENT XIENCE SIERRA 3.00MMX18MM,"$5,850.00 "
STENT XIENCE SIERRA 3.00MMX23MM,"$5,850.00 "
STENT XIENCE SIERRA 3.00MMX28MM,"$5,850.00 "
STENT XIENCE SIERRA 3.00MMX33MM,"$5,850.00 "
STENT XIENCE SIERRA 3.00MMX38MM,"$5,850.00 "
STENT XIENCE SIERRA 3.25MMX08MM,"$5,850.00 "
STENT XIENCE SIERRA 3.25MMX12MM,"$5,850.00 "
STENT XIENCE SIERRA 3.25MMX15MM,"$5,850.00 "
STENT XIENCE SIERRA 3.25MMX18MM,"$5,850.00 "
STENT XIENCE SIERRA 3.25MMX23MM,"$5,850.00 "
STENT XIENCE SIERRA 3.25MMX28MM,"$5,850.00 "
STENT XIENCE SIERRA 3.25MMX33MM,"$5,850.00 "
STENT XIENCE SIERRA 3.25MMX38MM,"$5,850.00 "
STENT XIENCE SIERRA 3.50MMX08MM,"$5,850.00 "
STENT XIENCE SIERRA 3.50MMX12MM,"$5,850.00 "
STENT XIENCE SIERRA 3.50MMX15MM,"$5,850.00 "
STENT XIENCE SIERRA 3.50MMX18MM,"$5,850.00 "
STENT XIENCE SIERRA 3.50MMX23MM,"$5,850.00 "
STENT XIENCE SIERRA 3.50MMX28MM,"$4,050.00 "
STENT XIENCE SIERRA 3.50MMX33MM,"$5,850.00 "
STENT XIENCE SIERRA 3.50MMX38MM,"$5,850.00 "
STENT XIENCE SIERRA 4.00MMX08MM,"$5,850.00 "
STENT XIENCE SIERRA 4.00MMX12MM,"$5,850.00 "
STENT XIENCE SIERRA 4.00MMX15MM,"$5,850.00 "
STENT XIENCE SIERRA 4.00MMX18MM,"$5,850.00 "
STENT XIENCE SIERRA 4.00MMX23MM,"$5,850.00 "
STENT XIENCE SIERRA 4.00MMX28MM,"$5,850.00 "
STENT XIENCE SIERRA 4.00MMX33MM,"$5,850.00 "
STENT XIENCE SIERRA 4.00MMX38MM,"$5,850.00 "
STENT XPERT 4X30MM 135CM,"$5,712.00 "
STENT XPERT 4X40CM 135MM,"$8,732.50 "
STENT XPERT 4X60MM 1035CM,"$5,712.00 "
STENT ZILVER 365 12X40,"$3,900.00 "
STENT ZILVER 635 10X40,"$4,725.00 "
STENT ZILVER 635 12X60,"$3,900.00 "
STENT ZILVER 635 14X40,"$3,900.00 "
STENT ZILVER 635 14X60,"$3,900.00 "
STENT ZILVERPTX  6X60MM G38479,"$5,232.50 "
STENT ZILVERPTX 6X100 G38481,"$6,597.50 "
STENT ZILVERPTX 6X120 G38482,"$7,332.50 "
STENT ZILVERPTX 6X40 G38463,"$4,319.00 "
STENT ZILVERPTX 6X80 G38480,"$6,282.50 "
STENT ZILVERPTX 7X100 G38489,"$6,282.50 "
STENT ZILVERPTX 7X120 G38490,"$6,982.50 "
STENT ZILVERPTX 7X40MM G38486,"$4,319.00 "
STENT ZILVERPTX 7X60 G38487,"$5,232.50 "
STENT ZILVERPTX 7X80 G38488,"$6,597.50 "
STENT ZIMMON 10X4 DBL PIGTAIL G21974,$390.00 
STENT ZIMMON 7X4 DBL PIGTAIL G22161,$420.00 
STENTGRAFT 22X16X100,"$37,782.50 "
STENTGRAFT 25X25X95,"$10,832.50 "
STENTGRAFT ABD AXF3232W28XH,"$11,812.50 "
STENTGRAFT AF3014C140XH,"$33,425.00 "
STENTGRAFT AF3618C155XH,"$32,725.00 "
STENTGRAFT AORTIC EXT ETTF2828C70E,"$26,512.50 "
STENTGRAFT AORTO ETUF2514C102E,"$34,912.50 "
STENTGRAFT AORTO ETUF2814C102E,"$34,912.50 "
STENTGRAFT AORTO ETUF3614C102E,"$30,012.50 "
STENTGRAFT BA28-60/I16-40,"$39,532.50 "
STENTGRAFT CEB231410A,"$39,529.00 "
STENTGRAFT ENBF2313C124E,"$34,912.50 "
STENTGRAFT ENBF2516C166E,"$34,912.50 "
STENTGRAFT ENBF2813C166E,"$34,912.50 "
STENTGRAFT ENCF3232C49E,"$16,012.50 "
STENTGRAFT ENEW1313C82E,"$16,275.00 "
STENTGRAFT ENLW1610C93E,"$17,237.50 "
STENTGRAFT ENLW1613C93E,"$17,237.50 "
STENTGRAFT ENLW1620C124E,"$17,412.50 "
STENTGRAFT ETLW1616C199E,"$22,732.50 "
STENTGRAFT ETLW1628C156E,"$22,400.00 "
STENTGRAFT ILIAC  CEB231210A,"$38,566.50 "
STENTGRAFT ILIAC  HGB161207A,"$10,762.50 "
STENTGRAFT ILIAC CEB231010A,"$38,566.50 "
STENTGRAFT ILIAC COMPONET  HGB161007A,"$11,032.00 "
STENTGRAFT ILIAC IEXCH162085,"$11,637.50 "
STENTGRAFT ILLIAC IEXCH161655,"$7,980.00 "
STENTGRAFT ILXCH1824115,"$12,385.63 "
STENTGRAFT IXW1212C81XH,"$13,912.50 "
STENTGRAFT PXT261212,"$30,170.00 "
STENTGRAFT RMT261214,"$35,857.50 "
STENTGRAFT RMT261412,"$34,982.50 "
STENTGRAFT TALENT AF3218C155XH,"$31,675.00 "
STENTGRAFT TALENT IW1418C105XH,"$15,837.50 "
STENTGRAFT TAXF4040AW46X,"$19,250.00 "
STENTGRAFT TF4646C112CP,"$31,350.00 "
STENTGRAFT THORACIC 28X28 TGU282810,"$32,500.00 "
STENTOMNILINK  ELITE RX 06MMX18MMX135CM,"$6,000.00 "
STENTWALLFLEX UNCOVERED 10X80 M00570650,"$6,037.50 "
STEP WEDGE MBT 1294-56-122,"$6,135.57 "
STEP WEDGE SZ 2.5 1294-56-126,"$6,135.57 "
STERILE SLEEVE 6177 MEDTRONIC,$216.00 
STERILE WATER FOR IRRIGATION IR SOLN ,$65.00 
STERNAL TALON SINGLE 11MM,"$4,532.50 "
STERNAL TALON SINGLE 14MM,"$4,532.50 "
