CDM Description,CDM Price,,,The information contained in this file is being provided in compliance with the Centers for Medicare and Medicaid Services (CMS) requirement [FY 2019 IPPS/LTCH PPS Final Rule; CMS-1694-F] ,
HYDROCOD/HOMATRO SYRP 10ML,$3.10 ,,,,
HYDROCOD/HOMATRO SYRP 1ML,$3.05 ,,,,
HYDROCOD/HOMATRO SYRP 5ML,$5.75 ,,,,
HYDROCOD/IBUPROF TAB 7.5/200MG,$3.55 ,,,,
HYDROCORT CRM 1% 30GM,$3.95 ,,,,
HYDROCORT ENEMA 100MG 60ML,$4.75 ,,,,
HYDROCORT OINT 1% 30GM,$3.95 ,,,,
HYDROCORT SOD SUC VL 100MG,$88.00 ,,,,
HYDROCORT SUPP 25MG,$1.45 ,,,,
HYDROCORT TAB 10MG,$1.50 ,,,,
HYDROCORT TAB 5MG,$1.30 ,,,,
HYDROMO10MCG/ML/BUPIV0.1%250ML,$145.00 ,,,,
HYDROMO10MCG/MLBUPIV0.05%250ML,$144.00 ,,,,
HYDROMORPHONE AMP 10MG/ML 1ML,$93.00 ,,,,
HYDROMORPHONE AMP 10MG/ML 5ML,$132.00 ,,,,
HYDROMORPHONE INJ 1MG/ML 1ML,$90.00 ,,,,
HYDROMORPHONE PCA 10MG/50ML NS,$144.00 ,,,,
HYDROMORPHONE TAB 2MG,$3.15 ,,,,
HYDROMORPHONE TAB 4MG,$3.20 ,,,,
HYDROMORPHONE VL 10MG/ML 50ML,$588.00 ,,,,
HYDROXYCHLOROQUINE TAB 200MG,$1.15 ,,,,
HYDROXYPROGESTERONE 17-D,$248.00 ,,,,
HYDROXYPROP EYE SOL 2.5% 15ML,$9.75 ,,,,
HYDROXYUREA CAP 500MG,$18.00 ,,,,
HYDROXYZINE HCL SYRP 10/5 12.5,$1.35 ,,,,
HYDROXYZINE HCL SYRP 10/5 1ML,$15.00 ,,,,
HYDROXYZINE HCL SYRP 10/5 5ML,$1.15 ,,,,
HYDROXYZINE HCL TAB 10MG,$1.15 ,,,,
HYDROXYZINE HCL TAB 25MG,$1.20 ,,,,
HYDROXYZINE VL 50MG/ML 2ML,$81.00 ,,,,
HYOSCYAMINE AMP 0.5MG/ML 1ML,$102.00 ,,,,
HYOSCYAMINE SOL 0.125/ML 1ML,$15.00 ,,,,
HYOSCYAMINE TAB ER 0.1875MG,$1.05 ,,,,
HYOSCYAMINE TAB ER 0.375MG,$1.55 ,,,,
HYOSCYAMINE TAB SL 0.125MG,$1.55 ,,,,
IBANDRONATE SYRINGE 3MG/3ML,$786.00 ,,,,
IBUPROFEN SUSP 100MG/5ML 10ML,$2.00 ,,,,
IBUPROFEN SUSP 100MG/5ML 1ML,$15.00 ,,,,
IBUPROFEN SUSP 100MG/5ML 2ML,$15.00 ,,,,
IBUPROFEN SUSP 100MG/5ML 3ML,$15.00 ,,,,
IBUPROFEN SUSP 100MG/5ML 5ML,$1.55 ,,,,
IBUPROFEN SUSP 100MG/5ML 7.5ML,$1.15 ,,,,
IBUPROFEN TAB 200MG,$1.05 ,,,,
IBUPROFEN TAB 400MG,$1.05 ,,,,
IBUPROFEN TAB 600MG,$1.05 ,,,,
IBUPROFEN TAB 800MG,$1.05 ,,,,
IBUTILIDE FUM VL 0.1MG/ML 10ML,$242.00 ,,,,
IDARUBICIN VL 5MG,$120.00 ,,,,
IDARUCIZUMAB VL 2.5GM,"$3,568.00 ",,,,
IFL INIT SGL AB STN PER SPEC,$171.00 ,,,,
IFOSFAMIDE VL 1GM,$105.00 ,,,,
IGF BINDING PROTEIN 3,$387.00 ,,,,
IGM GAMMAGLOB,$142.00 ,,,,
IHC/ICC P/SP 1ST AB STN,$232.00 ,,,,
IHC/ICC P/SP EA ADD SGL AB STN,$219.00 ,,,,
IHC/ICC P/SP EA MPLX AB STN,$150.00 ,,,,
IMIPENEM VL 250MG,$103.00 ,,,,
IMIPENEM VL 500MG,$130.00 ,,,,
IMIPRAMINE TAB 10MG,$1.10 ,,,,
IMIPRAMINE TAB 25MG,$1.25 ,,,,
IMM GLOB IV (FLEBOGAMMA) 5GM,$793.00 ,,,,
IMM GLOB IV CARIMMUNE NF 6GM,$883.00 ,,,,
IMM GLOB IV GAMMAGARD LIQ 10GM,"$1,508.00 ",,,,
IMM GLOB IV GAMMAGARD S/D 5GM,$727.00 ,,,,
IMM GLOB IV GAMUNEX-C LIQ 5GM,$883.00 ,,,,
IMM GLOB IV OCTAGAM LIQ 10GM,"$1,268.00 ",,,,
IMMUNE GLOBULIN IM VL 2CC,$125.00 ,,,,
IMMUNOASSAY QL/SQ,$201.00 ,,,,
IMMUNOASSAY QN NOS,$270.00 ,,,,
IMMUNOASSAY QN OTHER,$270.00 ,,,,
IMMUNOASSAY QN RIA,$90.00 ,,,,
IMMUNOFIXATION ELECTROPHOR UR,$411.00 ,,,,
IMMUNOFIXATION ELECTROPHORESIS,$228.00 ,,,,
IMPL OCULAR AQ DRAIN ASSIST L4,"$3,800.00 ",,,,
IMPL PROSTH NOS LEVEL 31,$1.00 ,,,,
IMPL PROSTH NOS LEVEL 38,$1.00 ,,,,
IMPLANT DEV INTENSIVE PROC NOC,$0.01 ,,,,
IMPLANT ENT LEVEL 2,$165.00 ,,,,
IMPLANT ORTHO LEVEL 8,"$2,640.00 ",,,,
IMPLANT PODIATRY LEVEL 10,"$3,300.00 ",,,,
IMPLANT PODIATRY LEVEL 8,"$2,640.00 ",,,,
INDAPAMIDE TAB 1.25MG,$1.05 ,,,,
INDIA INK CSF,$44.00 ,,,,
INDIGOTINDISULFON AMP 5ML,$76.00 ,,,,
INDOCYANINE GREEN VL 25MG,$264.00 ,,,,
INDOMETHACIN CAP 25MG,$1.15 ,,,,
INDOMETHACIN SUPP 50MG,$15.35 ,,,,
INF AGT IA TECH SGL/ORG CSF,$172.00 ,,,,
INF AGT NAP AMP PRB TECH MRSA,$221.00 ,,,,
INF AGT NAP AMP TECH STAPH A,$96.00 ,,,,
INF EA ADD SGL AB STN PER SPEC,$25.00 ,,,,
INFEC AGENT GI AMP PRB 12-25,$810.00 ,,,,
INFECTIOUS AGENT NAP AMPLIFIED,$232.00 ,,,,
INFECTIOUS AGENT NUC ACID AMPL,$551.00 ,,,,
INFECTIOUS AGENT QN NAP,$336.00 ,,,,
INFLIXIMAB VL 100MG,"$2,192.00 ",,,,
INFLUENZA A AG IF,$198.00 ,,,,
INFLUENZA B AG IF,$120.00 ,,,,
INFLUENZA IA OPTICAL,$174.00 ,,,,
INHAL TX PRESS OR NONPRESS,$129.00 ,,,,
INJ ANES NERVE/TRIGGER PNT,$479.00 ,,,,
INJ ARTHROGRAM ANKLE LT,$279.00 ,,,,
INJ ARTHROGRAM ANKLE RT,$279.00 ,,,,
INJ ARTHROGRAM ELBOW LT,$418.00 ,,,,
INJ ARTHROGRAM ELBOW RT,$418.00 ,,,,
INJ ARTHROGRAM HIP LT,$484.00 ,,,,
INJ ARTHROGRAM HIP RT,$484.00 ,,,,
INJ ARTHROGRAM HIP W ANES LT,$607.00 ,,,,
INJ ARTHROGRAM HIP W ANES RT,$607.00 ,,,,
INJ ARTHROGRAM SHOULDER LT,$580.00 ,,,,
INJ ARTHROGRAM SHOULDER RT,$580.00 ,,,,
INJ ARTHROGRAM WRIST LT,$608.00 ,,,,
INJ ARTHROGRAM WRIST RT,$608.00 ,,,,
INJ CONT ARTHROGRAM KNEE LT,$279.00 ,,,,
INJ CONT ARTHROGRAM KNEE RT,$279.00 ,,,,
INJ CYSTOGRAM,$467.00 ,,,,
INJ IM/SUBQ THER/PROPHY/DX,$111.00 ,,,,
INJ IV THER/PROPHY/DX INIT,$185.00 ,,,,
INJ IV THER/PROPHY/DX SEQ NEW,$154.00 ,,,,
INJ IV THER/PROPHY/DX SEQ SAME,$140.00 ,,,,
INJ SIALOGRAPHY,$317.00 ,,,,
INJ URETEROGRAPHY LT,$306.00 ,,,,
INJ URETEROGRAPHY RT,$306.00 ,,,,
INJ URETHROCYSTOGRAM RETRO,$521.00 ,,,,
INJ VENOGRAM LT,$521.00 ,,,,
INJ VENOGRAM RT,$521.00 ,,,,
INS CATH BLADDER TEMP SIMPLE,$59.00 ,,,,
INSERT CATHETER BLADDER,$275.00 ,,,,
INSERT/REM/REPL CTRL/PICC LINE,"$3,132.00 ",,,,
INSTRUMENT DISPOSABLE LVL 1,$83.00 ,,,,
INSTRUMENT DISPOSABLE LVL 2,$165.00 ,,,,
INSTRUMENT DISPOSABLE LVL 3,$248.00 ,,,,
INSULIN 70/30 HUMAN 5 UNITS,$30.00 ,,,,
INSULIN GLARGINE 5 UNITS,$30.00 ,,,,
INSULIN LISPR 75/25 5 UNITS,$30.00 ,,,,
INSULIN LISPR HUMAN 5 UNITS,$30.00 ,,,,
INSULIN NPH HUMAN 5UNITS,$30.00 ,,,,
INSULIN REG DRIP 100 UN/100 NS,$94.00 ,,,,
INSULIN REG HUMAN 5UNITS,$30.00 ,,,,
INSULIN-LIKE GROWTH FACTOR,$339.00 ,,,,
INTERFERON BETA-1A VL 30MCG,"$1,007.00 ",,,,
INTERFERON BETA-1A VL 44MCG,$229.00 ,,,,
INTRINSIC FACTOR AB,$257.00 ,,,,
INTUBATION ENDOTRACHEAL,$470.00 ,,,,
IODINE(STRONG) SOLN 15ML,$29.20 ,,,,
IODINE(STRONG) SOLN 8ML,$3.25 ,,,,
IODINE(TINCTURE) SOLN 30ML,$4.05 ,,,,
IOHEXOL 300MG/ML 50ML,$3.00 ,,,,
IOPAMIDOL 41% INJ 20ML,$0.00 ,,,,
IOPAMIDOL 61% BTL 100ML,$0.00 ,,,,
IOPAMIDOL 61% ORAL 10ML,$9.00 ,,,,
IOPAMIDOL 61% VL 50ML,$0.00 ,,,,
IOPAMIDOL 61% VL 75ML,$85.00 ,,,,
IOPAMIDOL VL 612MG/ML 15ML,$0.00 ,,,,
IOPAMIDOL VL 755MG/ML 100ML,$0.00 ,,,,
IOPAMIDOL VL 755MG/ML 150ML,$0.00 ,,,,
IOPAMIDOL VL 755MG/ML 50ML,$0.00 ,,,,
IOPAMIDOL VL 755MG/ML 75ML,$0.00 ,,,,
IPRATROPIUM HFA MDI 12.9GM,$304.00 ,,,,
IPRATROPIUM HFA MDI DOSE,$7.75 ,,,,
IPRATROPIUM NAS SPRY 15ML,$9.20 ,,,,
IPRATROPIUM NAS SPRY 30ML,$9.20 ,,,,
IPRATROPIUM SOL 0.02% 2.5ML,$2.60 ,,,,
IPRATROPIUM/ALBUT INH SOL 3ML,$2.70 ,,,,
IRBESARTAN TAB 150MG,$2.65 ,,,,
IRBESARTAN TAB 300MG,$2.95 ,,,,
IRBESARTAN TAB 75MG,$2.55 ,,,,
IRBESARTAN/HCTZ 150MG/12.5MG,$2.90 ,,,,
IRON,$39.00 ,,,,
IRON BINDING CAPACITY,$38.00 ,,,,
IRON DEXTRAN AMP 50MG/ML 2ML,$124.00 ,,,,
IRON POLYSACC CAP 150MG,$1.10 ,,,,
IRON SUCROSE VL 20MG/ML 5ML,$145.00 ,,,,
IRRIGATION IMPLANTED VAD,$86.00 ,,,,
ISLET CELL AB,$241.00 ,,,,
ISONIAZID TAB 300MG,$1.10 ,,,,
ISOPROTERENOL VL 1:5000 5ML,"$3,408.00 ",,,,
ISOSORBIDE DIN TAB ORAL 10MG,$1.05 ,,,,
ISOSORBIDE DIN TAB ORAL 2.5MG,$1.00 ,,,,
ISOSORBIDE DIN TAB ORAL 20MG,$1.05 ,,,,
ISOSORBIDE DIN TAB ORAL 5MG,$1.00 ,,,,
ISOSORBIDE MON TAB 15MG,$1.05 ,,,,
ISOSORBIDE MON TAB 20MG,$1.05 ,,,,
ISOSORBIDE MON TAB 30MG,$1.45 ,,,,
ISOSORBIDE MON TAB 60MG,$1.50 ,,,,
ISOSULFAN BLUE VL 10MG/ML 5ML,"$1,174.00 ",,,,
ISRADIPINE CAP 2.5MG,$1.95 ,,,,
ITRACONAZOLE CAP 100MG,$8.15 ,,,,
IV BAG,$6.90 ,,,,
IV BOTTLE,$6.90 ,,,,
IV INF ADDLSEQ NEW DRUG 1ST HR,$135.00 ,,,,
IV INF HYDRATION EA ADDL HR,$117.00 ,,,,
IV INF HYDRATION INT 31MIN-1HR,$407.00 ,,,,
IV INF THER/PROPHY/DX ADDL HR,$127.00 ,,,,
IV INF THER/PROPHY/DX CONCURNT,$125.00 ,,,,
IV INF THER/PROPHY/DX INT<=1HR,$527.00 ,,,,
IV SYRINGE,$6.90 ,,,,
JAK2 GENE PVAL617PHE VARIANT,$816.00 ,,,,
KANAMYCIN VL 1GM,$85.00 ,,,,
KAYEXALATE SUSP 15G 60ML/GEQ,$6.50 ,,,,
KAYEXALATE SUSP 1ML/GEQ,$15.00 ,,,,
KAYEXALATE SUSP 30G 120ML/GEQ,$10.35 ,,,,
KETAMINE VL 100MG/ML 5ML,$111.00 ,,,,
KETAMINE VL 10MG/ML 20ML,$123.00 ,,,,
KETAMINE VL 50MG/ML 10ML,$106.00 ,,,,
KETAMINE VL 50MG/ML 1ML,$101.00 ,,,,
KETOCONAZOLE CRM 2% 15GM,$11.10 ,,,,
KETOCONAZOLE SHAMP 2% 120ML,$12.60 ,,,,
KETOROLAC 90MG/250ML NS IV,$97.00 ,,,,
KETOROLAC EYE SOL 0.4% 5ML,$9.05 ,,,,
KETOROLAC EYE SOL 0.5% 3ML,$45.85 ,,,,
KETOROLAC EYE SOL 0.5% 5ML,$8.15 ,,,,
KETOROLAC INJ 30MG/ML 1ML,$73.00 ,,,,
KETOROLAC TAB 10MG,$1.15 ,,,,
KETOTIFEN EYE SOL 0.025% 5ML,$9.40 ,,,,
KINETIC DOSING SERVICE,$0.00 ,,,,
LABETALOL TAB 100MG,$1.25 ,,,,
LABETALOL VL 5MG/ML 20ML,$74.00 ,,,,
LABETALOL VL 5MG/ML 4ML,$74.00 ,,,,
LACOSAMIDE TAB 100MG,$10.75 ,,,,
LACOSAMIDE TAB 50MG,$7.95 ,,,,
LACOSAMIDE VL 200MG/20ML,$126.00 ,,,,
LACRILUBE EYE OINT 3.5GM/GEQ,$10.35 ,,,,
LACTASE ENZYME TAB,$1.05 ,,,,
LACTATE DEHYDROGENASE (LDH),$93.00 ,,,,
LACTATE DEHYDROGENASE (LDH) BF,$93.00 ,,,,
LACTATE DEHYDROGENASE ISOENZ,$326.00 ,,,,
LACTATED RINGERS 1000ML,$94.00 ,,,,
LACTATED RINGERS 250ML,$93.00 ,,,,
LACTATED RINGERS 500ML,$94.00 ,,,,
LACTIC ACID,$107.00 ,,,,
LACTOBACILLIUS RHAMNOSUS 1CAP,$1.40 ,,,,
LACTULOSE SYRP 15ML,$1.35 ,,,,
LACTULOSE SYRP 1ML,$15.00 ,,,,
LACTULOSE SYRP 30ML,$1.40 ,,,,
LAMIVUDINE TAB 150MG,$5.60 ,,,,
LAMOTRIGINE TAB 100MG,$1.05 ,,,,
LAMOTRIGINE TAB 25MG,$1.05 ,,,,
LANSOPRAZOLE SUSP 3MG/ML 1ML,$15.00 ,,,,
LANTHANUM CARBONATE TAB 1000MG,$12.05 ,,,,
LATANOPROST EYE SOL 2.5ML,$16.15 ,,,,
LEAD,$87.00 ,,,,
LEAD URINE,$87.00 ,,,,
LEECHES,$16.00 ,,,,
LEFLUNOMIDE TAB 20MG,$1.25 ,,,,
LEFT WITHOUT BEING SEEN,$0.00 ,,,,
LEGIONELLA AB,$183.00 ,,,,
LEGIONELLA AG IF,$228.00 ,,,,
LENS IOL ANT CHAMBER LVL 1,$248.00 ,,,,
LENS IOL ANT CHAMBER LVL 2,$495.00 ,,,,
LENS IOL ASTIG CORR FUNC LVL 2,$350.00 ,,,,
LENS IOL POST CHAMBER LVL 1,$248.00 ,,,,
LENS IOL PRESBYOPIA CORR FUNC1,$750.00 ,,,,
LEPIRUDIN VL 50MG,$420.00 ,,,,
LETROZOLE TAB 2.5MG,$1.10 ,,,,
LEUCOVORIN VL 100MG,$78.00 ,,,,
LEUCOVORIN VL 200MG,$103.00 ,,,,
LEUPROLIDE DEPOT KIT 30MG,"$3,050.00 ",,,,
LEVALBUTEROL HFA MDI 15GM,$101.00 ,,,,
LEVALBUTEROL HFA MDI DOSE,$23.85 ,,,,
LEVALBUTEROL NEB 1.25MG/0.5ML,$4.10 ,,,,
LEVETIRACETAM (KEPRA) TDA,$301.00 ,,,,
LEVETIRACETAM IVPB1000MG/100ML,$121.00 ,,,,
LEVETIRACETAM SOL 100MG/ML 1ML,$15.00 ,,,,
LEVETIRACETAM SOL 100MG/ML 5ML,$5.85 ,,,,
LEVETIRACETAM TAB 250MG,$1.15 ,,,,
LEVETIRACETAM TAB 500MG,$1.10 ,,,,
LEVETIRACETAM TAB SR 500MG,$1.20 ,,,,
LEVETIRACETAM VL 500MG/5ML,$79.00 ,,,,
LEVOCARNITINE SOL 1ML,$15.00 ,,,,
LEVOFLOXACIN IV PREMIX 250MG,$100.00 ,,,,
LEVOFLOXACIN IV PREMIX 500MG,$103.00 ,,,,
LEVOFLOXACIN IVPB 750MG,$96.00 ,,,,
LEVOFLOXACIN SOL 25MG/ML 10ML,$6.80 ,,,,
LEVOFLOXACIN SOL 25MG/ML 1ML,$15.00 ,,,,
LEVOFLOXACIN TAB 250MG,$1.20 ,,,,
LEVOFLOXACIN TAB 500MG,$1.25 ,,,,
LEVOFLOXACIN TAB 750MG,$1.45 ,,,,
LEVONORGESTREL 1.5MG 1TAB PKT,$13.00 ,,,,
LEVOTHYROXINE TAB 0.0125MG,$1.05 ,,,,
LEVOTHYROXINE TAB 0.025MG,$1.10 ,,,,
LEVOTHYROXINE TAB 0.05MG,$1.15 ,,,,
LEVOTHYROXINE TAB 0.0625MG,$1.10 ,,,,
LEVOTHYROXINE TAB 0.075MG,$1.40 ,,,,
LEVOTHYROXINE TAB 0.088MG,$1.10 ,,,,
LEVOTHYROXINE TAB 0.112MG,$1.10 ,,,,
LEVOTHYROXINE TAB 0.125MG,$1.15 ,,,,
LEVOTHYROXINE TAB 0.137MG,$1.15 ,,,,
LEVOTHYROXINE TAB 0.175MG,$1.15 ,,,,
LEVOTHYROXINE TAB 0.1MG,$1.40 ,,,,
LEVOTHYROXINE VL 100MCG,$273.00 ,,,,
LIDO/EPI INJ 2%/1:100000 1.8ML,$69.00 ,,,,
LIDO/EPI VL 0.5%/1:200000 50ML,$34.00 ,,,,
LIDO/EPI VL 1%/1:100000 10ML,$34.00 ,,,,
LIDO/EPI VL 1%/1:100000 20ML,$34.00 ,,,,
LIDO/EPI VL 1%/1:100000 30ML,$34.00 ,,,,
LIDO/EPI VL 1.5%/1:200000 30ML,$79.00 ,,,,
LIDO/EPI VL 1.5%/1:200000 5ML,$72.00 ,,,,
LIDO/EPI VL2%/1:100000 20MLMDV,$34.00 ,,,,
LIDO/EPI VL2%/1:200000 20ML PF,$87.00 ,,,,
LIDO/EPI/TET TOP SOL 3ML,$16.00 ,,,,
LIDOCAINE 20MG/ML SYRINGE 5ML,$95.00 ,,,,
LIDOCAINE 5% PTCH EACH,$5.35 ,,,,
LIDOCAINE AMP 2% 2ML,$70.00 ,,,,
LIDOCAINE AMP 4% 5ML,$75.00 ,,,,
LIDOCAINE CREAM 4% 5GM,$17.25 ,,,,
LIDOCAINE INJ 1% 10ML,$34.00 ,,,,
LIDOCAINE INJ 1% 2ML PF,$68.00 ,,,,
LIDOCAINE INJ 1% 5ML (50MG),$80.00 ,,,,
LIDOCAINE IV 2GM 500ML,$96.00 ,,,,
LIDOCAINE JELLY 2% 5ML,$5.35 ,,,,
LIDOCAINE JELLY 2% UROJET 20ML,$9.00 ,,,,
LIDOCAINE LARYNGO KIT 4%,$110.00 ,,,,
LIDOCAINE OINT 5% 35GM,$243.00 ,,,,
LIDOCAINE TOP SOL 4% 50ML,$5.50 ,,,,
LIDOCAINE VISCOUS SOL 2% 15ML,$1.45 ,,,,
LIDOCAINE VL 0.5% PF 50ML,$73.00 ,,,,
LIDOCAINE VL 0.5% SDV 50ML,$72.00 ,,,,
LIDOCAINE VL 1% 20ML MDV,$35.00 ,,,,
LIDOCAINE VL 1% 30ML PF,$74.00 ,,,,
LIDOCAINE VL 1% 50ML MDV,$34.00 ,,,,
LIDOCAINE VL 1% 5ML PF,$72.00 ,,,,
LIDOCAINE VL 2% 20ML MDV,$34.00 ,,,,
LIDOCAINE VL 2% 5ML PF,$72.00 ,,,,
LIDOCAINE VL 2% PF 10ML,$75.00 ,,,,
LINDANE SHAMP 1% 60ML/GEQ,$87.95 ,,,,
LINEZOLID IVPB 600MG,$149.00 ,,,,
LINEZOLID SUSP 100MG/5ML 1ML,$15.00 ,,,,
LINEZOLID TAB 600MG,$61.20 ,,,,
LIOTHYRONINE TAB 25MCG,$1.70 ,,,,
LIOTHYRONINE TAB 5MCG,$1.50 ,,,,
LIPASE,$270.00 ,,,,
LIPID PANEL,$142.00 ,,,,
LISDEXAMFETAMINE CAP 20MG,$7.30 ,,,,
LISDEXAMFETAMINE CAP 30MG,$7.30 ,,,,
LISDEXAMFETAMINE CAP 70MG,$7.30 ,,,,
LISINOPRIL TAB 10MG,$1.00 ,,,,
LISINOPRIL TAB 2.5MG,$1.00 ,,,,
LISINOPRIL TAB 20MG,$1.05 ,,,,
LISINOPRIL TAB 5MG,$1.00 ,,,,
LISINOPRIL/HCTZ TAB 20/12.5MG,$1.05 ,,,,
LITHIUM CAP 150MG,$1.15 ,,,,
LITHIUM CAP 300MG,$1.00 ,,,,
LITHIUM SYRP 300MG/5ML 1ML,$15.00 ,,,,
LITHIUM TAB SR 300MG,$1.20 ,,,,
LITHIUM TAB SR 450MG,$1.25 ,,,,
LOPERAMIDE CAP 2MG,$1.05 ,,,,
LOPERAMIDE LIQ 1MG/5ML 1ML,$15.00 ,,,,
LOPERAMIDE LIQ 1MG/5ML 5ML,$2.15 ,,,,
LORATADINE SYRP 5MG/5ML 1ML,$15.00 ,,,,
LORATADINE SYRP 5MG/5ML 5ML,$1.15 ,,,,
LORATADINE TAB 10MG,$1.05 ,,,,
LORATADINE/PSEUD TAB 10/240MG,$1.70 ,,,,
LORATADINE/PSEUD TAB 5/120MG,$1.85 ,,,,
LORAZEPAM SOL 2MG/ML 0.25ML,$3.30 ,,,,
LORAZEPAM TAB 0.25MG,$3.00 ,,,,
LORAZEPAM TAB 0.5MG,$3.00 ,,,,
LORAZEPAM TAB 1MG,$3.05 ,,,,
LORAZEPAM VL 2MG/ML 10ML,$100.00 ,,,,
LORAZEPAM VL 2MG/ML 1ML,$91.00 ,,,,
LOSARTAN POT TAB 12.5MG,$1.65 ,,,,
LOSARTAN POT TAB 25MG,$1.35 ,,,,
LOSARTAN POT TAB 50MG,$1.20 ,,,,
LOSARTAN/HCTZ TAB 50/12.5MG,$1.40 ,,,,
LOTEPREDNOL 0.2% EYE SUSP 5ML,$38.15 ,,,,
LOTEPREDNOL 0.5% EYE SOL 5ML,$61.65 ,,,,
LOVASTATIN TAB 20MG,$1.10 ,,,,
LOXAPINE CAP 25MG,$1.70 ,,,,
LSD URINE,$387.00 ,,,,
LURASIDONE TAB 20 MG,$19.65 ,,,,
LURASIDONE TAB 40 MG,$16.65 ,,,,
LYME DISEASE AB,$120.00 ,,,,
MAALOX PLUS LIQ 30ML/GEQ,$1.45 ,,,,
MACROSCOPIC EXAM ARTHROPOD,$67.00 ,,,,
MACROSCOPIC EXAM PARASITE,$67.00 ,,,,
MAGIC MOUTHWASH 90ML CMPD,$15.10 ,,,,
MAGNESIUM,$98.00 ,,,,
MAGNESIUM CHL TAB 535(64)MG,$1.05 ,,,,
MAGNESIUM CITRATE SOL 300ML,$4.20 ,,,,
MAGNESIUM OXIDE TAB 200MG,$1.05 ,,,,
MAGNESIUM OXIDE TAB 400(241)MG,$1.05 ,,,,
MAGNESIUM SO4/SW 2GM/50ML,$98.00 ,,,,
MAGNESIUM SULF 20GM/500ML,$95.00 ,,,,
MAGNESIUM SULF IVPB 4GM,$94.00 ,,,,
MAGNESIUM SULF SALT GRAN 120GM,$3.75 ,,,,
MAGNESIUM SULF VL .5GM / 1ML,$68.00 ,,,,
MAGNESIUM SULF VL 10GM / 20ML,$78.00 ,,,,
MAGNESIUM SULF VL 1GM / 2ML,$70.00 ,,,,
MAGNESIUM SULF VL 5GM / 10ML,$69.00 ,,,,
MAKENA SDV250MG/ML 1ML,"$1,305.00 ",,,,
MALARIA SMEAR,$59.00 ,,,,
MAMMO DX BL,$418.00 ,,,,
MAMMO DX UNI LT,$345.00 ,,,,
MAMMO DX UNI RT,$345.00 ,,,,
MAMMO SCREEN BL,$354.00 ,,,,
MAMMO SCREEN UNI RDC,$354.00 ,,,,
MANNITOL IVPB 20% 250ML,$107.00 ,,,,
MAXIMUM VOLUNTARY VENTILATION,$201.00 ,,,,
MAXITROL EYE OINT 3.5GM/GEQ,$11.60 ,,,,
MAXITROL EYE SOL 5ML/GEQ,$13.25 ,,,,
MDA/MDEA/MDMA DEFIN ASSAY,$198.00 ,,,,
MEASLES/MUMPS/RUBELLA VACC,$166.00 ,,,,
MECLIZINE TAB 12.5MG,$1.45 ,,,,
MECLIZINE TAB 25MG,$1.50 ,,,,
MED CONTRAINDICATION NC,$6.90 ,,,,
MED SUPPLIED BY PATIENT,$6.90 ,,,,
MEDICATION FROM HOME,$6.90 ,,,,
MEDROXYPROG INJ 150MG/ML 1ML,$213.00 ,,,,
MEDROXYPROGEST TAB 2.5MG,$1.10 ,,,,
MEGESTROL SUSP 200MG/5ML 10ML,$3.60 ,,,,
MEGESTROL SUSP 200MG/5ML 1ML,$15.00 ,,,,
MEGESTROL TAB 20MG,$1.10 ,,,,
MEGESTROL TAB 40MG,$1.20 ,,,,
MELATONIN TAB 1MG,$1.05 ,,,,
MELATONIN TAB 3MG,$1.05 ,,,,
MELATONIN TAB 5MG,$1.05 ,,,,
MELOXICAM TAB 7.5MG,$1.10 ,,,,
MELPHALAN TAB 2MG,$19.00 ,,,,
MEMANTINE CAP ER 14 MG,$9.60 ,,,,
MEMANTINE CAP ER 28MG,$10.90 ,,,,
MEMANTINE CAP ER 7MG,$9.60 ,,,,
MEMANTINE TAB 10MG,$3.20 ,,,,
MEMANTINE TAB 5MG,$2.85 ,,,,
MENINGOCOCCAL B VAC (BEXSERO),$373.00 ,,,,
MENTHOL/CAMPHOR RUB CR 60GM,$5.75 ,,,,
MEPERIDINE SYRINGE 25MG/ML 1ML,$89.00 ,,,,
MEPERIDINE SYRINGE 50MG/ML 1ML,$89.00 ,,,,
MEPIVACAINE 1% PF INJECT 30ML,$35.00 ,,,,
MEPIVACAINE VL 2% 20ML PF,$77.00 ,,,,
MERCAPTOPURINE TAB 50MG,$19.00 ,,,,
MERCURY,$218.00 ,,,,
MERCURY URINE,$218.00 ,,,,
MEROPENEM VL 1GM,$224.00 ,,,,
MESALAMINE CAP 250MG,$1.60 ,,,,
MESALAMINE CAP DR 400MG,$3.75 ,,,,
MESALAMINE ENEMA 60ML,$341.45 ,,,,
MESNA AMP 100MG/ML 10ML,$170.00 ,,,,
METAXALONE TAB 800MG,$3.30 ,,,,
METFORMIN TAB 250MG,$1.00 ,,,,
METFORMIN TAB 500MG,$1.00 ,,,,
METFORMIN TAB 850MG,$1.05 ,,,,
METFORMIN TAB SR 500MG,$1.10 ,,,,
METHACHOLINE VL 100MG,$66.00 ,,,,
METHADONE DEFINITIVE ASSAY,$198.00 ,,,,
METHADONE SOL 10MG/5ML 1ML,$3.10 ,,,,
METHADONE TAB 10MG,$3.25 ,,,,
METHADONE TAB 2.5MG,$3.10 ,,,,
METHADONE TAB 5MG,$3.20 ,,,,
METHEMOGLOBIN QN,$300.00 ,,,,
METHIMAZOLE TAB 5MG,$1.25 ,,,,
METHOCARBAMOL TAB 500MG,$1.10 ,,,,
METHOCARBAMOL TAB 750MG,$1.10 ,,,,
