MNEMONIC,DESCRIPTION,CHRG AMT
4360024,PFT W/BRONCHODILATORS,410.92
4360027,RESUSCITATION,1419.03
4360028,SPUTUM INDUCTION,191.6
4360029,NEWBORN RESUSCTATION,766.14
4360030,CAPNOGRAPHY SPOT CHECK,294.04
4360031,CAPNOGRAPHY CONT/DAY,294.04
4360033,CHEST PHYSIOTHERAPY SUBSEQUENT,191.6
4360035,VENTILATOR/DAY INITIAL,956.95
4360036,VENTILATOR DAY/SUBSEQUENT,852.15
4360037,PEAK FLOW METER PURCHASE,188.01
4360039,BLOOD PH ONLY,68.13
4360040,VITAL CAPACITY ONLY(NON-PFT),187.66
4360041,INCENTIVE DISPOSABLE,48.8
4360042,EEG,472.04
4360043,EKG,128.74
4360044,THORACIC IMPEDANCE,170.57
4360045,EXTENDED EEG (> THAN 1 HR),446.52
4360046,CARDIAC HOLTER SET UP,162.42
4360047,COLD AEROSOL/HALF DAY,191.6
4360048,AMB EEG PER 24 HOURS,2299.8
4360049,DEEP SUCTION,191.6
4360050,TRACH TUBE CHANGE,270.65
4360051,RESP THERAPY EVALUATION/30 MIN,113.34
4360052,EXTENDED EEG (41-60 MIN),446.52
4360053,SMOKING CESS COUNSEL 3-10 MIN,35.14
4360054,SMOKING CESS COUNSEL > 10 MIN,35.14
4360055,SMOKING CESS 3-10 MIN/ASYMP PT,35.14
4360056,SMOKING CESS >10 MIN ASYMP PT,59.3
4360059,12 LEAD EKG W/RHYTHM STRIP,168.22
4360060,SIGNAL AVERAGED EKG,160.51
4360061,PULSE OXIMETER,42.5
4360062,INTERMITTENT C-PAP TXS,221.28
4360063,EXHALED NITRIC OXIDE TEST,114.24
4360064,INFANT BAG FLOW INFLATING,65.72
4360066,ATERIAL BLOOD GAS AND CO-OX,189.12
4360067,VENOUS BLOOD GASES,180.36
4360068,ABG - HEELSTICK,121.67
4360069,"BLOOD GAS-O2 SAT ONLY,INITIAL",55.89
4360070,"BLOOD GAS-O2 SAT ONLY,SUBSEQ",55.89
4360071,CO-OXIMETRY,89.78
4360072,CPAP SET UP SUPPLY,121.67
4360073,A LINE INSERTION,260.59
4360074,PULSE OX/CONT OVERNIGHT MONIT,457.07
4360075,PENTAMIDINE AEROSOL TREATMENT,191.6
4360076,"FRC,N2 WASHOUT OPEN CIRCUIT",316.41
4360077,LUNG DIFFUSION STDY(DLCO),158.66
4360079,"INTUBATION, EMERGENCY PROC",550.35
4360080,MDI CHARGE,191.6
4360081,SIMPLE PULM EXERCISE TEST,434.93
4360083,PR GROUP VISIT (NON-COPD),201.27
4360085,PR GROUP VISIT (COPD),201.27
4360086,PULM REHAB MAINT/MONTHLY,40
4360087,SPIROMETRY BRONCHOPROVOCATION,587.4
4360088,BRONCHIAL CHALLENGE TEST W PHA,587.4
4360090,CONT PULSE OXIMETRY/DAY,209.76
4360091,"NEEDLE EMG ONLY, ONE EXTREMITY",280.88
4360092,"NEEDLE EMG ONLY, 2 EXTREMITIES",280.88
4360093,"NEEDLE EMG ONLY, 3 EXTREMITIES",244.28
4360094,"NEEDLE EMG ONLY, 4 EXTREMITIES",244.28
4360095,24 HR EEG,4579.35
4360096,EEG LESS THAN 12 HOURS,2287.09
4360097,LIMITED 02- ER,32.95
4360099,BRAIN DEATH EEG,465.9
4360100,MDI/AEROSOL INTRUCTION,191.6
4360103,VERS TEST,676.01
4360105,"BIPAP PER DAY, FIRST DAY",512.79
4360106,"BIPAP PER DAY,SUBSEQUENT DAYS",509.08
4360108,"SOMATOSENSORY STUDY,UPPER LIMB",676.01
4360109,"SOMATOSENSORY STUDY,LOWER LIMB",676.01
4360110,REPETITIVE STIM NERVE STUDY,244.28
4360111,SURGERY EEG,465.9
4360112,MAXIMUM VOLUNTARY VENTILATION,153.32
4360113,TGV & RAW,382.87
4360114,AIRWAY RESISTANCE ONLY,382.87
4360115,CLOSING VOL;SINGLE BREATH TEST,333.11
4360116,BREATHING RESPONSE O2 CURVE,187.66
4360117,COMPLEX PULM EXERCISE TEST,892.63
4360119,MIP/MEP;MUSCLE TESTING CHEST,111.26
4360120,LIMITED EMG W/NCS PER EXT,226.97
4360121,COMPLETE EMG W/NCS PER EXT,226.97
4360122,NON EXTREMITY EMG W/NCS,119.19
4360123,NERVE CONDUCTION 1-2 STUDIES,184.91
4360124,NERVE CONDUCTION 3-4 STUDIES,261.82
4360125,NERVE CONDUCTION 5-6 STUDIES,317.2
4360126,NERVE CONDUCTION 7-8 STUDIES01,317.2
4360127,NERVE CONDUCTION 9-10 STUDIES,441.56
4360128,NERVE CONDUCTION 11-12 STUDIES,441.56
4360129,NERVE CONDUCTION 13 OR >STUDIE,441.56
4360139,NON-EXT EMG(THOR/PARASPINAL),221.01
4360150,BLINK REFLEX,130.88
4360151,AUD EVOKED POTENTIAL COMPLETE,650.7
4360152,TRANSCRANIAL DOPPLER COMPLETE,630.75
4360153,TRANSCRANIAL DOPPLER LIMITED,359.25
4360154,EVOKED POTENTIAL HEAD/TRUNK,650.7
4360155,PULSE OXIMETERY WITH EXCERCISE,344.3
4360160,"MOD SED <5 YRS, INITIAL 15 MIN",53.58
4360161,MOD SED 5 YRS & UP INIT 15 MIN,53.58
4360162,MOD SEDATION ADD 15 MIN,25.58
4360165,PULM EXCERCISE TEST PRE/POST,434.93
4370030,TRAVEL TIME PER 1/4 HR,13.22
4370086,PHY THER MILEAGE,0.42
4371007,SOUTHEAST LO SCH/ 1/4 HR,12.5
4371008,WOOSTER SCHOOLS CONTRACT 1/4HR,12.5
4371014,NORWAYNE HS ATH TRN 1/4HR,5
4371015,NORTHWESTERN SCH ATH TRN,5000
4371016,WOOSTER CITY SCH ATH TRN,3750
4371017,WOOSTER OILERS PER 1/4 HR,5
4371018,WOOSTER HIGH SCHOOL HOCKEY,5
4371019,WOOSTER HOCKEY & SKATE/1/4 HR,5
4371022,SMITHVILLE SCH ATH TRN 1/4 HR,5
4371026,ALICE NOBLE ICE ARENA /1/4 HR,5
4371027,CUSTOM ORTHOTICS,317.25
4371028,HEAT MOLDED ORTHOTICS,105.75
4371030,DRY NEEDLING,52.88
4371033,SOUTHEAST LO ATHLET TRN 1/4 HR,5
4371035,TRICOUNTY ESC PT PER 15 MIN,12.5
4371036,TRIWAY SCH ATH TRN 1/4 HR,5
4380030,TRAVEL TIME PER 1/4 HR,13.22
4380035,WOOSTER CITY SCHOOL PER 1/4 HR,12.5
4380039,SPEECH THER MILE,0.42
4380075,TRICOUNTY ESC SP PER 15 MIN,12.5
4390022,OT TRAVEL TIME PER 1/4 HR,13.22
4390023,OCC THER MILEAGE,0.42
4390024,HEMOPHILIA CLINIC THERAPIST,52.88
4391008,WOOSTER CITY SCH CONTR 1/4 HR,12.5
4391035,TRICOUNTY ESC OT PER 15 MIN,12.5
4399001,FINGER ORTHOSIS,10.58
4399002,HAND ORTHOSIS,21.15
4399003,WRIST ORTHOSIS,42.3
4399004,ELBOW ORTHOSIS,63.45
4399999,MISC OT SUPPLIES,10.58
4400003,H & W INFLUENZA VACCINE ADMIN,18.66
4420005,PHASE III CARDIAC REHAB/MONTH,40
4420008,EXT COUNTERPULSATION THERAPY,345.88
4420020,PHASE II CARDIAC REHAB,138.7
4430002,ECHO/LIMITED,406.65
4430004,ECHO COMPLETE,1377.31
4430007,CARDIAC HOLTER MONITOR/24 HR,282.91
4430008,PED ECHO COMPLETE,1377.31
4430009,STRESS TEST,627.32
4430010,"CARDIOLITE STRESS TEST, EXCERS",627.32
4430012,AMB BLOOD PRESSURE MONITOR,200.87
4430013,ECHO COMPLETE W/CONTRAST,1377.31
4430016,US GUIDANCE FOR VASC ACCESS,595.28
4430017,PD 30 DAY EVENT RECORD HOOK-UP,230.51
4430018,EKG,128.74
4430019,TILT TABLE TESTING,782.77
4430020,ECHO LIMITED W/CONTRAST,1011.2
4430100,LOW EXT ART EXAM W/O EXER BIL,591.84
4430200,"UPPER EXT ART STUDY, BIL",591.84
4430299,"CEREBROVASCULAR STUDIES, UNI",459.72
4430300,"CEREBROVASCULAR STUDIES,BIL",732.51
4430301,RENAL/MESENTERIC DUPLEX ULTRAS,1134.32
4430302,ABD AORTA/VENOUS DUPLEX SCAN,912.7
4430403,"ANKLE/BRACHIAL INDEX, BIL",189.41
4430404,LOW EXT ART EXAM W/EXERCISE,697.98
4430500,VENOUS DUPLEX IMAG BIL EXTREM,617.82
4430501,VENOUS DUPLEX IMAG/LIMITED/UNI,503.35
4430502,ART DUPLEX IMAG BIL LOWER EXT,912.7
4430503,ART DUPLEX IMAG LOWER UNI/LIMI,415.82
4430504,SAPHENOUS VEIN MAPPING/UNILAT,779.06
4430505,DUPLEX SCAN HEMODIALYSIS ACCES,430.42
4430506,US GUIDED COMP OF ART PSEUDOAN,695.01
4430507,SAPHENOUS VEIN MAPPING/BIL,877.95
4430508,AAA SCREENING,251.65
4430509,US HEMODIALYSIS ACCESS PRE-OP,430.42
4430510,ART DUPLEX US BILAT UP EXTREM,342.39
4430511,ART DUPLEX US UNILAT UP EXTREM,342.39
4430512,MOD SED >5 YRS INITIAL 15 MIN,50.99
4430513,MOD SED >5 EA ADD'L 15 MINS,23.9
4430604,SCREENING PKG SR PARTNERS,50
4430605,SCREENING PACKAGE,99
4430606,CLIENT STRESS TEST(INC INTERP),312.87
4430607,CIM PACKAGE CAROTID & AROTA,521.74
4430608,"CIM PKG CAROTID,AORTA & ABI",661.16
4430609,CIM PKG STRESS TEST,346.32
4430610,CIM BLOOD FLOW SCREEN,60
4430611,EVENT RECORDER (LIFE WATCH),35
4430612,ONC MYOCARD STRAIN IMG ADD-ON,317.25
4440001,LEFT HEART CATH/COR/LV/PERCUT,8413.04
4440002,"LHC, CORS ONLY-NO LV",8413.04
4440003,RIGHT HEART CATH,6825.56
4440004,RHC/LHC/CORS/LV,8413.04
4440005,RHC/LHC/CORS,7948.02
4440006,A O ROOT W HEART CATH,98.73
4440008,INSERT INTRA-AORTIC BALLOON/PE,2984.18
4440009,NATIVE MAMM ANGIO W HEART CATH,3027.46
4440012,TEMP TRANSCUTANEOUS PACEMAKER,1033.53
4440013,TEMP INTRAVENTRICULAR PACING,7876.97
4440015,"PERICARDIOCENTESIS, INITIAL",827.24
4440016,INIT INSERT PACER & SING LEAD,16964.32
4440017,INIT INSERT PACER & DUAL LEADS,16964.27
4440019,MAIN PULMONARY ANGIOGRAPHY,103.95
4440023,INS OF SWAN FOR MONITORING,2984.18
4440024,PULM RT OR LEFT W/ANGIO,103.95
4440027,INJECTION AORTA/NON SELECTIVE,284.31
4440048,"INJECTION,EACH 1ST ORDER",344.18
4440056,"ANGIO,RENAL,UNI W OR W/O AORTA",3397.58
4440057,"ANGIO,RENAL BIL,W OR W/O AORTA",3397.58
4440072,"PTA,FEMORAL",11670.17
4440073,"PTA,ILIAC",11670.17
4440076,"PTA,TIBIOPERONEAL",11670.17
4440085,PLACEMENT OF ART CLOSURE DEVIC,103.95
4440087,INJ PROC FOR VENOGRAM,284.31
4440088,INTRO CATH/INF/SUP VENA CAVA,284.31
4440092,CHANGE NEPHROSOTOMY TUBE,1168.05
4440097,"REM & REP PACER,SINGLE LEAD",16135.56
4440098,REM & REP PACER DUAL LEAD,16135.56
4440101,CARDIOVERSION (INPT),1416.94
4440102,CARDIOVERSION (OUTPT),1416.94
4440106,IMPLANT OF LOOP RECORDER,8712.86
4440107,REMOVE LOOP RECORDER,1422.41
4440108,REMOVE IMPLANT VENOUS ACC DEV,1686.03
4440109,PERC TRANSHEPATIC CHOLANG,4848.48
4440110,PERC TRANSHEP CHOLANG/EXIST CA,783.27
4440111,CHANGE BILIARY DRAIN CATH,4848.48
4440112,REPAIR SING LEAD PACER OR ICD,5091.81
4440113,REPAIR OF DUAL PACER OR ICD,4837.12
4440114,PERC NEPH TUBE PLACEMENT,3354.84
4440115,NEPHROSTOGRAM THRU EXISTING,1168.05
4440116,PERC CATH/STENT URETER ONLY,3354.84
4440117,PERC PLACE OF BILIARY STENT,4848.48
4440126,"FLUOROSCOPY, MISC",166.75
4440127,CATH LAB REC/PHASE I INITIAL,16.7
4440128,CATH LAB REC/PHASE I PER 1/4HR,16.7
4440129,CAHT LAB REC/PHASE II INITIAL,389.61
4440130,CATH LAB REC/ PHASE II 1/4 HR,7.88
4440132,"ANGIO SELECTIVE,VISCERAL ADD",2518.84
4440133,"FLUOROSCOPY, MISC",213.87
4440134,FLUOROGUIDANCE FOR VEIN PROC,287.19
4440138,AORTAGRAM W/HEART CATH,3907.1
4440140,REMOVAL FOREIGN BODY,5736.67
4440143,REMOVAL PTN W/FLUORO,770.91
4440147,"PERC PRIMARY THROMBECT,1ST VES",7900.3
4440148,"PERC PRIMARY THROMBECT,ADD VES",7900.3
4440149,REPLACEMENT OF PICC CATHETER,1747.31
4440152,CONTRAST STUDY OF VAD W/FLUORO,584.6
4440155,UNI FEMORAL ARTERY CUTDOWN,1110.71
4440156,"AAA REPAIR, AORTA",4595.56
4440157,AAA AORTA OR ILIAC EXTENSION,2889.49
4440159,AAA OPEN REP/FAIL ENDO ATT AOR,6099.18
4440160,AAA OPEN REP/ENDO ATT AO/BI-IL,6370.28
4440161,AAA OPEN REP/ENDO ATT A/BI-FEM,6573.58
4440163,INSERT LV LEAD W/PACER/ICD INS,28045.62
4440172,LHC/CORS/LV/CABG,8413.04
4440173,LHC/CORS/CABG,8413.04
4440174,RHC/LHC/CORS/LV/CABG,8413.04
4440175,RHC/LHC/CORS/CABG,8413.04
4440176,ILIAC PTA/STENT,11517.93
4440177,ILIAC PTA/EA ADD,11670.17
4440178,ILIAC PTA/W STENT EA ADD,11670.17
4440179,FEM/POP PTA/ATHERECTOMY,24775.67
4440180,FEM/POP PTA/ STENT,24775.67
4440181,FEM/POP PTA/ STENT/ATHERECTOMY,43222.21
4440182,TIB/PERONEAL PTA/ ATHER,24775.67
4440183,TIB/PERONEAL PTA/ STENT,24775.67
4440184,TIB/PERONEAL PTA/ STENT/ATHER,43222.21
4440185,TIB/PERONEAL PTA/ EA ADD,11670.17
4440186,TIB/PERONEAL PTA/ ATHER EA ADD,24775.67
4440187,"TIB/PERONEAL PTA/ STENT,EA ADD",11670.17
4440188,TIB/PERONEAL PTA/ STENT/ATH EA,11670.17
4440189,INSERT/REP SIN LEAD PACER/ICD,11114.42
4440190,INSERT/REP DUAL LEAD PACER/ICD,11114.42
4440191,REMOVE SINGLE PACER LEAD ONLY,4831.84
4440192,REVISE PACER POCKET,3658.56
4440194,REM & REP PACER-MUL LEADS(BiV),19628.26
4440199,UPGRADE SIN LEAD PACER TO DUAL,26250.14
4440201,INS IVC FILTER W&W/O CAVAGRAM,8509.51
4440202,REPOS IVC FILT W&W/O CAVAGRAM,5833.37
4440203,REM IVC FILTER W&W/O CAVAGRAM,5833.37
4440204,REMOVE ICD GENERATOR ONLY,4386.8
4440205,INS PACER GEN ONLY W DUAL LEAD,19891.82
4440206,INS PACER GEN ONLY W SING LEAD,18147.62
4440207,CHEST TUBE INSERT W/O FLUORO,1344.93
4440208,CHEST TUBE INSERT W FLUORO,1061.74
4440209,NON-SEL CAROTIDS FROM ARCH,5714.57
4440210,"SEL COM CAROTID,UNI,W/W/O ARCH",5714.57
4440211,"LYSIS INFUSION, ART, INIT DAY",4226.16
4440212,"LYSIS INF, ART, ADD DAY",4514.7
4440213,"LYSIS INF, ART, CESSATION",4514.7
4440214,"LYSIS INF, VENOUS, INIT DAY",2107.97
4440215,EKG,132.52
4440216,"STENT INSERT,ARTERY,W/WO PTA",22623.96
4440217,"STENT INSERT,ADD ART,W/WO PTA",10940.3
4440218,"STENT INSERT,VEIN, W/WO PTA",22623.96
4440219,"STENT INSERT,ADD VEIN,W/WO PTA",10940.3
4440220,"EMBOLIZATION, VENOUS",21933.11
4440221,"EMBOLIZATION, ARTERIAL",21933.11
4440222,"EMBOLIZATION, ORGANS",21933.11
4440223,"EMBOLIZATION, GI BLEED",21933.11
4440224,ABSC/FIST SINUS TRACT STUDY,788.74
4440226,NON-COR IVUS INITIAL VESSEL,500.3
4440227,"NON-COR IVUS, EA ADD VESSEL",139.01
4440228,US GUIDED ACCESS,612.25
4440230,"LEADLESS PACER,INSERT/REPLACE",29717.65
4440231,"LEADLESS PACER, REMOVAL",5112.48
4441003,REMOVAL OF PACEMAKER,7830.3
4441006,LOCM (ISOVUE) 370 CONC PER ML,1.8
4441007,LOCM (VISIPAQUE) 320 CONC/ML,3.78
4441010,"EP EVAL CD, W GENERATOR TEST",533.88
4441012,REVISION OF ICD POCKET,3094.71
4441013,FOLLOWUP UP DFT TESTING,1971.24
4441014,DFT AT IMPLANT OR REPLACEMENT,533.88
4441015,"PTCA,SINGLE CORO ARTERY",10224.44
4441016,"PTCA,EA ADD CORO ART SAME MAJ",118.07
4441017,BMS W-WO PTCA SINGL CORO ART,21251.71
4441018,BMS W-WO PTCA EA AD ART SM MAJ,118.07
4441019,GRFT-BMS &/or PTCA SINGL GRAFT,21251.71
4441020,"GFT-BMS&or PTCA EA AD,SAME MJR",118.07
4441021,AMI-BMS&or PTCA ART/GFT SGL VS,21251.71
4441022,"IVUS,CORO OR GFT, INITIAL VESS",118.07
4441023,"IVUS, CORO OR GFT, EA ADL VESS",118.07
4441024,"FFR,CORO OR GRAFT INI VESSEL",118.07
4441025,"FFR,CORO OR GRFT EA ADDL VESS",118.07
4441026,"DES W0RWO PTCA, SING CORO ART",21251.71
4441027,DES WorWO PTCA EA AD ART SM MA,118.07
4441028,GRAFT-DES &OR PTCA SING GRFT,21251.71
4441029,GRAFT-DES EA ADD SAME MAJ,118.07
4441030,"AMI,DES &OR PTCA,ART OR GFT SI",32526.92
4441040,AV FISTULA (AVF),1537.1
4441041,AVF + PTA,10120.99
4441042,AVF + PTA/STENT,20456.75
4441043,AVF+THROMBECTOMY/LYSIS,10120.99
4441044,AVF+THROMECTOMY/LYSIS/PTA,20456.75
4441045,AVF+THROBECT/LYSIS/PTA/STENT,31006.14
4441046,AVF ADD'L SUBCLAV/SVC PTA,112.44
4441047,AVF ADDL SUBCLAV SCV PTA/STENT,112.44
4441048,AVF EMOBOLIZATION,112.44
4441049,"PTA ARTERY, OTHER",10120.99
4441050,"PTA ATERY, OTHER EA ADD'L",112.44
4441051,"PTA VENOUS, OTHER",10120.99
4441052,"PTA VENOUS, OTHER EA ADDT'L",112.44
4441053,MOD SED >5 YRS INITIAL 15 MINS,50.99
4441054,MOD SED >5 EA ADD'L 15 MINS,23.9
4441060,INS PACER W/ EXIST MULT LEADS,37706.29
4443215,REPOSITION RA/RV PACE/ICD LEAD,1922.1
4443216,"PERC ACCESS AAA W/ US, UNILAT",1722.96
4450001,PM-INTER IN PERSON - S/D/M,34.32
4450002,PM-PROG DEVICE EVAL - SINGLE,34.32
4450003,PM-PROG DEVICE EVAL - DUAL,35.02
4450004,PM-PROG DEVICE EVAL - MULTI,40.3
4450005,PM-PHONE CHECK,67.89
4450006,PM-PRE-OP OR PERI-PROC INTER,20.15
4450007,ICD-INTER IN PERSON - S/D/,35.02
4450008,ICD-PROG DEVICE EVAL - SINGLE,36.08
4450009,ICD-PROG DEVICE EVAL - DUAL,41.36
4450010,ICD-PROG DEVICE EVAL - MULTI,47.74
4450011,ICD-PRE-OP OR PERI-PROC INTER,22.31
4450012,PM OR ICD-INTER (REMOTE),50.9
4500001,INITIAL MNT PER 15 MIN,80.15
4500002,WHYWEIGHT INITIAL per 1/4HR,44.27
4500003,WHYWEIGHT F/U PER 1/4HR,44.27
4500004,WHYWEIGHT W/HP INIT PER 1/4HR,65.5
4500005,WHYWEIGHT W/HP F/U PER 1/4HR,65.52
4500007,WEIGH-IN,105.17
4500010,WHY WEIGHT 6 MONTH PACKAGE,520.69
4500012,WHY WEIGHT W/HEALTHPOINT,888.12
4500013,INITIAL MNT/15 MIN/DIABETES,80.15
4500014,MNT REASSESS/15 MIN/DIABETES,70.61
4500015,CALORIE COUNT,94.94
4500016,TUBE FEEDING ASSESS PER 15 MIN,91.63
4500017,TPN NUT ASSESSMENT PER 15 MIN,78.54
4500018,TUBE FEED REASSESS PER 15 MIN,78.54
4500019,TPN NUT REASSESS PER 15 MIN,78.54
4500022,MNT REASSESS PER 15 MIN,70.61
4500024,DIET THERAPY OUTPATIENT 1ST V,213.58
4500025,"NUT COUNS DIETITIAN, 15 MIN",66.72
4501010,DIABETES GROUP TRNG PER 30 MIN,46.16
4501020,DIAB IND TRNG PER 30 MIN,95.46
4501021,DIAB IND TRNG F/U VISIT,95.46
4501022,MNT PER 15 MIN/AFTER 2ND REF,56.72
4501023,F/U AFR 2ND REF/RD PER 15 MIN,56.72
4620004,BABYSITTING,35
4620018,INFANT CPR,25
4620028,CHILDBIRTH PREPARATION,45
4620029,BREAST FEEDING CLASS,20
4620037,DIABETIC EXERCISE THRU WINTER,5.15
4620038,TAKING CARE OF YOUR BACK,36.05
4628001,ACLS STUDENT TEXT,26
4628002,ACLS INSTRUCTOR TEXT,26
4628003,ACLS EMT,45
4628004,ACLS CEU CREDIT,35
4628005,ACLS RN NON-EMP,80
4628006,ACLS MD TUITION W/PRIV,75
4628007,ACLS MD TUITION W/O PRIV,125
4628008,ACLS CARD,2.5
4628009,ACLS ECC HANDBOOK,8
4630001,INDIVIDUAL THERAPY/30 MIN(PHP),221.25
4630002,INDIVIDUAL THERAPY/45 MIN(PHP),257.21
4630003,INDIVIDUAL THERAPY/60 MIN(PHP),261.57
4630004,FAM THER W/O  PT>44 MIN(PHP),256.13
4630005,FAMILY THER(W PT)>44 MIN(PHP),256.13
4630006,GROUP THERAPY>44 MIN(PHP),171.11
4630007,ED & TRAINING>44 MIN(PHP),65.4
4630008,INDIVIDUAL THERAPY/30 MIN(IOP),221.25
4630009,INDIVIDUAL THERAPY/45 MIN(IOP),257.21
4630010,INDIVIDUAL THERAPY/60 MIN(IOP),261.57
4630011,FAMILY THER W/O PT>44 MIN(IOP),256.13
4630012,FAMILY THER(W PT)>44 MIN(IOP),307.35
4630013,GROUP THERAPY>44 MIN(IOP),235.41
4630014,ED & TRAINING>44 MIN (IOP),65.4
4630015,CRISIS PSYCHOTHER 60 MIN (MCD),252.02
4630016,E&M NEW PATIENT 45 MIN (MCD),279.14
4630017,E&M NEW PATIENT 60 MIN (MCD),363.62
4630018,PSYCHIATRIC DIAG EVAL (MCD),273.31
4630019,PSYCH DIAG EVAL W/MEDSVS (MCD),273.31
4630020,PSYCHOTHERAPY - 30 MIN (MCD),141.5
4630021,PSYCHOTHERAPY - 45 MIN (MCD),179.13
4630022,PHYSCHOTHERAPY - 60 MIN (MCD),236.73
4630023,OP VISIT E&M EST 10 MIN (MCD),54.77
4630024,OP VISIT E&M EST 15 MIN (MCD),109.53
4630025,OP VISIT E&M EST 25 MIN (MCD),168.83
4630026,THER BEH SVCS GRP 3+DAY (MCD),488
4630027,THER BEH SVCS-GRP<3-EA HR(MCD),170.26
4630028,MH NURSING SVCS (MCD) 15MIN,43.38
4630029,COMMUNITY PSYCH SUP (MCD)15MIN,32.53
4630030,15-30MIN ALCO/SUB INTERV (MCD),54.72
4630031,>30MIN ALCO/SUB INTERV (MCD),273.31
4630032,CRISIS PSYCHTHER 16-30MIN(PHP),204.02
4630033,CRISIS PSYCHTHER 16-30MIN(IOP),204.02
4630034,MH NURSING SVCS GRP (MCD)15MIN,43.38
4630035,MH NRSG SVCS CRISIS (MCD)15MIN,43.38
4630036,CRISIS THER >60MIN W/ 90839,125.74
4640001,HOME HEALTH EVALUATION FEE,98.87
4660001,TCU STANDARD ROOM AND BOARD,652
4660002,TCU LEVEL I CARE,652
4660003,TCU LEVEL II CARE,652
4660004,TCU LEVEL III CARE,652
4660005,TCU LEVEL IV CARE,652
4660006,TCU OTHER SUB-ACUTE CARE,652
5400002,KIOSK-GORDON FOOD SERVICE,20
5400008,KIOSK-COCA COLA,20
5401010,CARNATION INSTANT BREAKFAST,2.06
5402001,DOCTORS REGISTRY,15
5403000,CVS LEASE,320
5406001,STERILE PROCESSING MISC,1045
5408010,ONSITE OFFICE SPACE RENTAL,25
5410005,RECORD REVIEW-WAYNE CO KIDNEY,51.5
5410008,RENT/ANNEX BUILDING SPACE,650
5410010,RENT-CENTER FOR OCCUPAT.MED,3786.25
5410019,HORIZON EQUINE MONTHLY RAD CHG,6.69
5410020,HORIZON EQUINE/PER FILM CHG,0.25
5410021,NCTC CPS STUDENTS/PER HR,16
5410022,YANKEE BIONICS/WORKROOM RENT,120.17
5410023,RENT/1761 BEALL AVE,624.17
5410024,BMS DR.DOSSI/X-RAYS,3000
5412001,HOME HEALTH EVALUATION FEE,98.87
5416000,HOUSEKEEPING-CENTER FOR OCC ME,757.2
5426001,WOOSTER ORTHOPAEDICS RENT,14013
5426003,WOOSTER ORTHO PHONE SERVICE,1840
5427001,ENV SVCS/WOOSTER ORTHOPAEDICS,1518.75
5430001,BLOOMINGTON/SURG NURSE TIME,42
5431001,PERSONNEL - WOOSTER PT,20.53
5437001,LEASE-ATHLETIC TRAINERS 1/4 HR,7.75
5460002,WYN CTY MRDD PHYS THER 1/4 HR,16.25
5460003,WYN CTY MRDD OCC THERPY 1/4 HR,16.25
5460400,IMAGING-EQUIPMENT LEASE,433.33
5460403,IMAGING-TECHNICAL LEASE,466.67
5464001,HOSPICE OF WAYNE CO PER 1/4 HR,203.55
5464003,BLOOMINGTON MEDICAL-HOME HLTH,50
5464004,BLOOMINGTON MEDICAL-PACER CLIN,35
5464005,ANGEL CARE HOME HEALTH - PT,80
5464007,ANGEL CARE HOME HEALTH - OT,80
5464009,HH - BRENN FIELD SKILLED NURSE,90
5940003,NON DOT DRUG SCREEN,35
5940004,PRENTKE ROMICH DRUG SCREEN,50
5940005,RANDOM DOT CONSORTIUM,100
5940006,RANDOM NON DOT CONSORTIUM,50
5940007,PROFESSIONAL FEES (MONTHLY),250
5940008,NON DOT BAT SCREEN,35
5940009,DOT DRUG SCREEN,45
5940010,DOT BAT SCREEN,35
5940011,ON SITE TESTING (PER HOUR),40
5940012,DRUG FREE SAFETY PROG EMP 1H,125
5940015,CPR/AED TRAINING 4H/PER PERSON,65
5940016,CPR/AED/FIRST AID 8H EA PERSON,75
5940017,RESPIRATOR FIT TESTING,55
5940019,FIRST-AID HANDS ON TRNG 15 MIN,31.25
5940020,DRUG FREE SAFE PROG SUP 15 MIN,31.25
5940021,BLOOD BORNE PATHOGEN TRNG 1/4H,31.25
5940022,RESPIRATOR QUESTIONNAIRE,20
5940023,CORPORATE CARE FLU SHOT,25
5940024,CORPORATE CARE HEARING TEST,18
6650001,BLOOD PRODUCTS ADMIN,608.38
6650002,MED ADMIN IV PUSH,111.77
6650003,MED ADMIN SUBQ OR IM,61.06
6650004,IV THERAPY INITIAL HOUR,238.27
6650005,IV THERAPY EA ADD'L 1/4HR,10.41
6650006,FOLEY INSERTION,150.17
6650007,PEG TUBE CHANGE,1078.27
6650008,SUPRAPUBIC CATHETER CHANGE,500.38
6650009,REFILL/MAINT PORT,291.46
6650010,IV PORT FLUSH,92.93
6650011,BLOOD DRAW/CENT LINE OR PICC,101.49
6650012,BLOOD DRAW/PORT,101.49
6650013,DECLOTTING VAD OR CATH (36593),510.51
6650014,THERAPEUTIC PHLEBOTOMY,198.65
6650015,SL INSERT ONLY -INFUSION SUITE,198.65
34744482,"SHEATH,URET ACCESS",376.74
37400080,PAD MICROCINATE BODY,11.39
37401004,MAC 9F KIT,457.25
37403077,"CANNULA,5.75 MM",365
37404387,"KIT,PORT ACCESS 20G X 1",25
37404494,"PAD, XXL BODY",18.9
37405747,RESOLUTE RX DES 2.5X08,2520
37405810,RESOLUTE RX DES 2.75X22,2520
37406464,CQF7562,535.5
37433808,LATCH ASSIST,19.55
37442867,"CATHETER,COUNCILL 20FR",39.35
37800143,MODSED <5 OTHR PHYS/QHP INI 15,52.4
