Medication,Charge
FERROUS GLUCONATE 240 MG (27 MG) TAB,$6.75
FERROUS GLUCONATE 324 MG (38 MG) TAB,$6.64
FERROUS GLUCONATE 324 MG (38 MG) TAB,$6.78
FERROUS SULFATE 300 MG/5 ML ORAL LIQUID,$7.55
FERROUS SULFATE 325 MG (65 MG) TAB,$6.57
FERROUS SULFATE SR 142 MG (45 MG IRON) TAB,$7.13
FILGRASTIM 300 MCG/ML INJECTION,$573.89
FILGRASTIM 480 MCG/0.8 ML SYRINGE,"$1,789.70"
FILGRASTIM 480 MCG/0.8 ML SYRINGE,"$2,054.30"
FINASTERIDE 5 MG TAB,$10.18
FINASTERIDE 5 MG TAB,$6.99
FLAVOXATE 100 MG TAB,$9.37
FLAVOXATE 50 MG (HALF-TAB),$15.17
FLECAINIDE 100 MG TAB,$7.24
FLECAINIDE 50 MG (HALF-TAB),$13.49
FLECAINIDE 50 MG TAB,$7.10
FLEET PEDIATRIC ENEMA 66ML (PEDS),$11.61
FLOXURIDINE 0.5 G SOLUTION FOR INJECTION,$244.04
FLUCONAZOLE 100 MG TAB,$6.89
FLUCONAZOLE 200 MG TAB,$7.03
FLUCONAZOLE 40 MG/ML ORAL SUSP,$387.25
FLUCONAZOLE 50 MG TAB,$6.78
FLUCONAZOLE IN NORMAL SALINE 200 MG/100 ML IV PIGGY BACK,$128.13
FLUCONAZOLE IN NORMAL SALINE 200 MG/100 ML IV PIGGY BACK,$128.13
FLUCONAZOLE IN NORMAL SALINE 400 MG/200 ML IV PIGGY BACK,$128.13
FLUCONAZOLE IN SODIUM CHLORIDE (ISO-OSM) 100 MG/50 ML IV PIGGY BACK,$128.13
FLUCYTOSINE 250 MG CAP,$63.76
FLUCYTOSINE 500 MG CAP,$123.65
FLUDARABINE 50 MG IV POWDER FOR SOLUTION,$728.01
FLUDROCORTISONE 0.05 MG (HALF-TAB),$14.22
FLUDROCORTISONE 0.1 MG TAB,$7.97
FLUMAZENIL 0.1 MG/ML INJECTION (PEDS),$55.90
FLUMAZENIL 0.1 MG/ML INJECTION (PEDS),$60.04
FLUMAZENIL 0.1 MG/ML IV,$55.90
FLUMAZENIL 0.1 MG/ML IV,$60.04
FLUNISOLIDE 25 MCG (0.025 %) NASAL SPRAY AEROSOL,$155.01
FLUOCINOLONE 0.01 % TOPICAL CREAM,$55.76
FLUOCINOLONE 0.01 % TOPICAL SOLN,$396.90
FLUOCINOLONE 0.025 % OINTMENT,$46.45
FLUOCINOLONE 0.025 % TOPICAL CREAM,$128.78
FLUOCINONIDE 0.05 % OINTMENT,$61.02
FLUOCINONIDE 0.05 % OINTMENT,$77.69
FLUOCINONIDE 0.05 % OINTMENT,$179.58
FLUOCINONIDE 0.05 % TOPICAL CREAM,$67.81
FLUOCINONIDE-EMOLLIENT 0.05 % TOPICAL CREAM,$152.96
FLUORESCEIN 1 MG EYE STRIPS,$6.82
FLUORESCEIN 10 % IV,$54.24
"FLUOROMETHOLONE 0.1 % EYE DROPS, SUSP",$65.15
"FLUOROMETHOLONE 0.1 % EYE DROPS, SUSP",$46.10
FLUOROURACIL 1 GRAM/20 ML IV,$55.67
FLUOROURACIL 50 MG/ML OPHTHALMIC SOLUTION (ROPH),$52.16
FLUOROURACIL 50 MG/ML SUBCONJUCTIVAL SOLUTION,$52.16
FLUOROURACIL 500 MG/10 ML IV,$52.16
FLUOXETINE 10 MG CAP,$6.75
FLUOXETINE 20 MG CAP,$7.06
FLUOXETINE 20 MG/5 ML ORAL SOLN,$28.64
FLUOXYMESTERONE 10 MG TAB,$14.52
FLUOXYMESTERONE 5 MG (HALF-TAB),$20.77
FLUPHENAZINE .5 MG (HALF-TAB),$13.42
FLUPHENAZINE 1 MG TAB,$15.78
FLUPHENAZINE 1 MG TAB,$15.78
FLUPHENAZINE 1.25 MG (HALF-TAB),$13.21
FLUPHENAZINE 10 MG TAB,$7.17
FLUPHENAZINE 2.5 MG TAB,$15.39
FLUPHENAZINE 2.5 MG/ML INJECTION,$326.05
FLUPHENAZINE 5 MG TAB,$15.48
FLUPHENAZINE DECANOATE 25 MG/ML INJECTION,$268.74
FLURANDRENOLIDE 0.05 % TOPICAL CREAM,$585.90
FLURAZEPAM 15 MG CAP,$15.12
FLURAZEPAM 30 MG CAP,$15.15
FLURBIPROFEN 0.03 % EYE DROPS,$33.67
FLURBIPROFEN 100 MG TAB,$7.66
FLURBIPROFEN 50 MG (HALF-TAB),$13.77
FLUTAMIDE 125 MG CAP,$8.57
FLUTICASONE 100 MCG/ACTUATION DISK DEVICE FOR INHALATION,$262.36
FLUTICASONE 110 MCG/ACTUATION AEROSOL INHALER,$385.00
FLUTICASONE 220 MCG/ACTUATION AEROSOL INHALER,$564.78
FLUTICASONE 250 MCG/ACTUATION DISK DEVICE FOR INHALATION,$345.30
FLUTICASONE 44 MCG/ACTUATION AEROSOL INHALER,$294.97
FLUTICASONE 50 MCG/ACTUATION DISK DEVICE FOR INHALATION,$407.00
FLUTICASONE 50 MCG/ACTUATION NASAL SPRAY AEROSOL,$228.78
FLUTICASONE 50 MCG/ACTUATION NASAL SPRAY AEROSOL,$79.84
FLUTICASONE-SALMETEROL 100 MCG-50 MCG/DOSE DISK DEVICE FOR INHALATION,$40.32
FLUTICASONE-SALMETEROL 250 MCG-50 MCG/DOSE DISK DEVICE FOR INHALATION,$40.32
FLUTICASONE-SALMETEROL 500 MCG-50 MCG/DOSE DISK DEVICE FOR INHALATION,$3.03
FLUVASTATIN 20 MG CAP,$15.71
FLUVOXAMINE 50 MG TAB,$7.80
FOLIC ACID 1 MG TAB,$6.85
FOLIC ACID 1 MG TAB,$6.75
FOLIC ACID 1 MG TAB,$6.72
FOLIC ACID 1 MG TAB,$6.72
FOLIC ACID 5 MG/ML INJECTION,$84.30
FOMEPIZOLE 1 G/ML IV,"$2,368.38"
FONDAPARINUX 10 MG/0.8 ML SUB-Q SYRINGE,$169.42
FONDAPARINUX 10 MG/0.8 ML SUB-Q SYRINGE,$169.42
FONDAPARINUX 2.5 MG/0.5 ML SUB-Q SYRINGE,$103.25
FONDAPARINUX 5 MG/0.4 ML SUB-Q SYRINGE,$191.10
FONDAPARINUX 5 MG/0.4 ML SUB-Q SYRINGE,$375.55
FONDAPARINUX 7.5 MG/0.6 ML SUB-Q SYRINGE,$326.62
FONDAPARINUX 7.5 MG/0.6 ML SUB-Q SYRINGE,$375.55
FOSAMPRENAVIR 700 MG TAB,$48.35
FOSFOMYCIN TROMETHAMINE 5.631 G ORAL PACKET,$122.03
FOSINOPRIL 10 MG TAB,$7.97
FOSINOPRIL 20 MG TAB,$7.10
FOSINOPRIL 5 MG (HALF-TAB),$13.42
FOSPHENYTOIN 500 MG PE/10 ML INJECTION,$58.63
FUROSEMIDE 10 MG (HALF-TAB),$12.93
FUROSEMIDE 10 MG/ML INJECTION,$45.63
FUROSEMIDE 10 MG/ML INJECTION,$48.49
FUROSEMIDE 10 MG/ML INJECTION,$53.45
FUROSEMIDE 10 MG/ML INJECTION (PEDS),$48.49
FUROSEMIDE 10 MG/ML INJECTION (PEDS),$45.63
FUROSEMIDE 10 MG/ML INJECTION (PEDS),$53.45
FUROSEMIDE 10 MG/ML SYRINGE,$56.61
FUROSEMIDE 20 MG TAB,$6.64
FUROSEMIDE 40 MG TAB,$6.64
FUROSEMIDE 40 MG/5 ML ORAL SOLN,$10.84
FUROSEMIDE 80 MG TAB,$6.71
FUROSEMIDE 80 MG TAB,$6.71
GABAPENTIN 100 MG CAP,$6.96
GABAPENTIN 250 MG/5 ML (5 ML) ORAL SOLN,$11.75
GABAPENTIN 300 MG CAP,$6.85
GABAPENTIN 300 MG CAP,$6.92
GABAPENTIN 300 MG CAP,$6.85
GABAPENTIN 400 MG CAP,$6.92
GADOBENATE DIMEGLUMINE 529 MG/ML IV,$112.93
GADOTERIDOL 279.3 MG/ML IV,$113.44
GADOTERIDOL 279.3 MG/ML IV,$160.24
GALANTAMINE 2 MG (HALF-TAB),$22.38
GALANTAMINE 4 MG TAB,$11.40
GANCICLOVIR 500 MG IV SOLUTION,$242.63
GELATIN ADSORBABLE (100 CM) TOPICAL SPONGE,$69.45
GELATIN ADSORBABLE 12 MM-7 MM TOPICAL SPONGE,$21.10
GEMCITABINE 2 GRAM IV SOLUTION,$320.29
GEMFIBROZIL 300 MG (HALF-TAB),$13.03
GEMFIBROZIL 600 MG TAB,$14.52
GENTAMICIN 0.1 % OINTMENT,$24.29
GENTAMICIN 0.1 % TOPICAL CREAM,$24.12
GENTAMICIN 0.2 MG/0.1 ML INTRAVITREAL SOLUTION,$81.25
GENTAMICIN 0.3 % (3 MG/G) EYE OINTMENT,$45.33
GENTAMICIN 0.3 % EYE DROPS,$30.59
GENTAMICIN 0.3 % EYE DROPS,$24.43
GENTAMICIN 0.3 % EYE DROPS,$19.56
GENTAMICIN 40 MG/ML INJECTION,$45.89
GENTAMICIN IN SALINE (ISO-OSMOTIC) 80 MG/50 ML IV PIGGY BACK,$128.13
GENTIAN VIOLET 1 % TOPICAL SOLN,$34.55
GLIMEPIRIDE 0.5 MG (HALF-TABLET),$12.82
GLIMEPIRIDE 1 MG TAB,$6.57
GLIMEPIRIDE 1 MG TAB,$6.57
GLIMEPIRIDE 2 MG TAB,$6.78
GLIPIZIDE 10 MG TAB,$6.68
GLIPIZIDE 2.5 MG (HALF-TAB),$12.93
GLIPIZIDE 5 MG TAB,$6.68
GLIPIZIDE SR 10 MG 24 HR TAB,$8.04
GLIPIZIDE XL 2.5 MG 24 HR TAB,$6.52
GLIPIZIDE XL 5 MG 24 HR TAB,$7.48
GLUCAGON (HUMAN RECOMBINANT) 1 MG/ML SOLUTION FOR INJECTION,$220.27
GLUCAGON (HUMAN RECOMBINANT) 1 MG/ML SOLUTION FOR INJECTION,$449.95
GLUCOSE 15 GM ORAL GEL (BUNDLED),$35.07
GLUCOSE 15 GM ORAL GEL (BUNDLED),$37.69
GLUCOSE 4 G CHEWABLE TAB,$6.92
GLYBURIDE 0.625 MG (HALF-TAB),$12.89
GLYBURIDE 1.25 MG TAB,$6.85
GLYBURIDE 2.5 MG TAB,$7.17
GLYBURIDE 5 MG TAB,$7.52
GLYBURIDE MICRONIZED 1.5 MG (HALF-TAB),$16.50
GLYBURIDE MICRONIZED 1.5 MG TAB,$6.57
GLYBURIDE MICRONIZED 1.5 MG TAB,$6.57
GLYBURIDE MICRONIZED 3 MG TAB,$6.61
GLYBURIDE MICRONIZED 3 MG TAB,$6.57
GLYCERIN (ADULT) RECTAL SUPPOSITORY,$6.68
GLYCERIN (PEDIATRIC) 1.5 G RECTAL SUPPOSITORY,$6.82
GLYCERIN (PEDIATRIC) 1.5 G RECTAL SUPPOSITORY,$2.00
GLYCOPYRROLATE 0.2 MG/ML INJECTION,$45.98
GLYCOPYRROLATE 0.2 MG/ML INJECTION,$47.32
GLYCOPYRROLATE 0.2 MG/ML INJECTION,$68.15
GLYCOPYRROLATE 0.2 MG/ML INJECTION,$87.03
GLYCOPYRROLATE 0.2 MG/ML INJECTION,$150.76
GLYCOPYRROLATE 0.2 MG/ML INJECTION,$98.73
GLYCOPYRROLATE 0.2 MG/ML INJECTION,$87.03
GLYCOPYRROLATE 1 MG TAB,$7.16
GOSERELIN 10.8 MG SUBQ IMPLANT,"$3,799.74"
GRISEOFULVIN ULTRAMICROSIZE 125 MG TAB,$12.84
GRISEOFULVIN ULTRAMICROSIZE 250 MG TAB,$14.59
GUAIFENESIN 100 MG/5 ML ORAL LIQUID,$7.31
"GUAIFENESIN 600 MG TABLET,EXTENDED RELEASE BIPHASIC 12 HR",$7.90
"GUAIFENESIN 600 MG TABLET,EXTENDED RELEASE BIPHASIC 12 HR",$8.11
GUAIFENESIN-CODEINE 100 MG-10 MG/5 ML ORAL LIQUID,$16.11
GUAIFENESIN-DEXTROMETHORPHAN 100 MG-10 MG/5 ML SYRUP,$7.38
GUANFACINE 0.5 MG (HALF-TAB),$14.26
GUANFACINE 1 MG TAB,$8.01
GUANFACINE 2 MG TAB,$18.44
HAEMOPHILUS B POLYSACCHARID CONJ-TETANUS TOXOID/PF 10 MCG IM,$135.23
HAEMOPHILUS B POLYSACCHARID CONJ-TETANUS TOXOID/PF 10 MCG IM,$98.75
HALOPERIDOL 0.25 MG (HALF-TAB),$12.18
HALOPERIDOL 0.5 MG TAB,$6.68
HALOPERIDOL 1 MG TAB,$6.78
HALOPERIDOL 10 MG TAB,$19.29
HALOPERIDOL 10 MG TAB,$9.20
HALOPERIDOL 2 MG TAB,$6.85
HALOPERIDOL 20 MG TAB,$12.80
HALOPERIDOL 5 MG TAB,$6.89
HALOPERIDOL 5 MG/ML INJECTION,$44.41
HALOPERIDOL 5 MG/ML INJECTION,$63.37
HALOPERIDOL DECANOATE 50 MG/ML IM,$204.91
"HEPARIN (PORCINE) 1,000 UNIT/ML INJECTION",$48.29
"HEPARIN (PORCINE) 1,000 UNIT/ML INJECTION",$48.26
"HEPARIN (PORCINE) 5,000 UNIT/ML INJECTION",$49.33
"HEPARIN (PORCINE) 5,000 UNIT/ML INJECTION",$48.68
"HEPARIN (PORCINE) 5,000 UNIT/ML INJECTION",$47.77
"HEPARIN (PORCINE) IN NS (PF) 1,000 UNIT/500 ML IV",$128.13
"HEPARIN (PORCINE)-0.45% NACL 25,000 UNIT/250 ML IV",$128.13
"HEPARIN 1,000 UNITS/ML HD/PHERESIS CATHETER FLUSH",$48.29
"HEPARIN 1,000 UNITS/ML INJECTION (INTRA-OP) - GOH",$48.26
"HEPARIN 1,000 UNITS/ML INJECTION (INTRA-OP) - GOH",$48.29
"HEPARIN 5,000 UNITS/ML INJECTION (INTRA-OP) -  ROPH GOH",$49.33
"HEPARIN 5,000 UNITS/ML INJECTION (INTRA-OP) -  ROPH GOH",$48.68
"HEPARIN 5,000 UNITS/ML INJECTION (INTRA-OP) -  ROPH GOH",$47.77
HEPARIN LOCK FLUSH 100 UNIT/ML IV,$46.89
HEPARIN LOCK FLUSH PF 10 UNIT/ML INJECTION (PEDS) #1,$46.18
HEPARIN LOCK FLUSH PF 10 UNIT/ML INJECTION (PEDS) #3,$46.18
"HEPARIN, PORCINE (PF) 1,000 UNIT/ML INJECTION",$60.77
"HEPARIN, PORCINE (PF) 1,000 UNIT/ML INJECTION",$60.77
"HEPARIN, PORCINE (PF) 10 UNIT/ML IV SYRINGE",$46.18
"HEPARIN, PORCINE (PF) 100 UNIT/ML IV SYRINGE",$45.69
"HEPARIN, PORCINE (PF) 100 UNIT/ML IV SYRINGE",$45.27
HEPATITIS A & B VIRUS VACCINE (PF) 720 ELISA UNIT-20 MCG/ML IM SYRINGE,$277.58
"HEPATITIS A VIRUS VACCINE (PF) 1,440 ELISA UNIT/ML IM SUSP",$188.56
HEPATITIS B VIRUS VACCINE RECOMB (PF) 10 MCG/ML IM SUSP,$146.05
HEPATITIS B VIRUS VACCINE RECOMB (PF) 20 MCG/ML IM SUSP,$188.50
HEPATITIS B VIRUS VACCINE RECOMB (PF) 40 MCG/ML IM SUSP,$318.58
HEPATITIS B VIRUS VACCINE RECOMB (PF) 40 MCG/ML IM SUSP,$318.58
HEPATITIS B VIRUS VACCINE RECOMB (PF) 5 MCG/0.5 ML IM SUSP,$71.24
HEPATITIS B VIRUS VACCINE RECOMB (PF) 5 MCG/0.5 ML IM SUSP,$71.24
HETASTARCH IN NORMAL SALINE 6 % IV,$358.75
HETASTARCH IN NORMAL SALINE 6 % IV,$358.75
HOMATROPINE 5 % EYE DROPS,$30.38
"HUMAN PAPILLOMAVIRUS VACCINE,9-VALENT (PF) 0.5 ML IM SUSPENSION",$498.99
HUMAN PROTHROMBIN COMPLEX (PCC) PER UNIT,"$3,015.50"
HYALURONIDASE (OVINE) 200 UNIT/ML INJECTION,$190.06
HYDRALAZINE 10 MG TAB,$7.10
HYDRALAZINE 12.5 MG (HALF-TAB),$13.35
HYDRALAZINE 20 MG/ML INJECTION,$56.06
HYDRALAZINE 20 MG/ML INJECTION,$60.43
HYDRALAZINE 25 MG TAB,$7.10
HYDRALAZINE 5 MG (HALF-TAB),$13.35
HYDRALAZINE 50 MG TAB,$7.90
HYDRALAZINE 50 MG TAB,$7.24
HYDRALAZINE 50 MG TAB,$7.24
HYDROCHLOROTHIAZIDE 12.5 MG TAB,$6.82
HYDROCHLOROTHIAZIDE 25 MG TAB,$6.61
HYDROCHLOROTHIAZIDE 50 MG TAB,$6.61
HYDROCHLOROTHIAZIDE 6.25 MG (HALF-TAB),$17.34
HYDROCODONE-ACETAMINOPHEN 10 MG-325 MG TAB,$15.15
HYDROCODONE-ACETAMINOPHEN 2.5 MG-162.5 MG (HALF-TAB),$15.57
HYDROCODONE-ACETAMINOPHEN 5 MG-325 MG TAB,$15.45
HYDROCODONE-ACETAMINOPHEN 5 MG-325 MG TAB,$15.42
HYDROCODONE-ACETAMINOPHEN 5 MG-325 MG TAB,$15.15
HYDROCODONE-ACETAMINOPHEN 5 MG-325 MG TAB,$15.48
HYDROCODONE-ACETAMINOPHEN 5 MG-325 MG TAB,$15.84
HYDROCODONE-ACETAMINOPHEN 7.5 MG-325 MG TAB,$7.66
HYDROCODONE-ACETAMINOPHEN 7.5 MG-325 MG/15 ML ORAL SOLN,$21.09
HYDROCODONE-ACETAMINOPHEN 7.5-325MG/15ML SOLUTION (PEDS),$21.09
HYDROCODONE-HOMATROPINE 5 MG-1.5 MG/5 ML SYRUP,$114.33
HYDROCODONE-HOMATROPINE 5 MG-1.5 MG/5 ML SYRUP,$13.98
HYDROCODONE-IBUPROFEN 7.5 MG-200 MG TAB,$16.68
HYDROCORTISONE 0.5 % OINTMENT,$32.52
HYDROCORTISONE 0.5 % TOPICAL CREAM,$9.41
HYDROCORTISONE 1 % LOTION,$34.51
HYDROCORTISONE 1 % TOPICAL CREAM (BUNDLED),$21.39
HYDROCORTISONE 1 % TOPICAL OINTMENT,$34.93
HYDROCORTISONE 10 MG TAB,$8.01
HYDROCORTISONE 100 MG/60 ML ENEMA,$17.60
HYDROCORTISONE 2.5 % RECTAL CREAM,$36.68
HYDROCORTISONE 2.5 % TOPICAL CREAM,$26.29
HYDROCORTISONE 2.5 % TOPICAL CREAM,$29.79
HYDROCORTISONE 2.5 % TOPICAL OINTMENT,$136.35
HYDROCORTISONE 2.5 % TOPICAL OINTMENT,$26.64
HYDROCORTISONE 2.5 MG (HALF-TAB),$12.84
HYDROCORTISONE 20 MG TAB,$9.02
HYDROCORTISONE 5 MG TAB,$7.34
HYDROCORTISONE ACETATE 10% RECTAL FOAM,$540.63
HYDROCORTISONE ACETATE 25 MG RECTAL SUPPOSITORY,$9.34
HYDROCORTISONE ACETATE 25 MG RECTAL SUPPOSITORY,$11.05
"HYDROCORTISONE SOD SUCCINATE (PF) 1,000 MG/8 ML SOLUTION FOR INJECTION",$128.83
HYDROCORTISONE SOD SUCCINATE (PF) 100 MG/2 ML SOLUTION FOR INJECTION,$84.56
HYDROCORTISONE SOD SUCCINATE (PF) 250 MG/2 ML SOLUTION FOR INJECTION,$64.38
HYDROCORTISONE SOD SUCCINATE (PF) 250 MG/2 ML SOLUTION FOR INJECTION,$64.38
HYDROCORTISONE SOD SUCCINATE (PF) 500 MG/4 ML SOLUTION FOR INJECTION,$89.24
HYDROCORTISONE-ACETIC ACID 1 %-2 % EAR DROPS,$500.30
HYDROCORTISONE-PRAMOXINE 1 %-1 % LOTION,$272.01
HYDROCORTISONE-PRAMOXINE 1 %-1 % RECTAL FOAM,$175.57
HYDROCORTISONE-PRAMOXINE 1 %-1 % TOPICAL CREAM,$162.52
HYDROMORPHONE (PF) 10 MG/ML INJECTION,$48.89
HYDROMORPHONE 1 MG/ML ORAL LIQUID,$16.02
HYDROMORPHONE 2 MG TAB,$15.63
HYDROMORPHONE 2 MG TAB,$15.42
HYDROMORPHONE 2 MG/ML INJECTION,$44.55
HYDROMORPHONE 2 MG/ML INJECTION,$44.48
HYDROMORPHONE 4 MG TAB,$15.84
HYDROMORPHONE 4 MG/ML INJECTION,$46.09
HYDROMORPHONE IN NS 15 MG/30 ML PCA INJ SOLN,$100.97
HYDROXOCOBALAMIN 5 GRAM IV SOLUTION,"$2,881.25"
HYDROXYCHLOROQUINE 100 MG (HALF-TAB),$12.93
HYDROXYCHLOROQUINE 200 MG TAB,$7.48
HYDROXYCHLOROQUINE 200 MG TAB,$6.78
HYDROXYUREA 500 MG CAP,$7.90
HYDROXYZINE 10 MG TAB,$7.24
HYDROXYZINE 10 MG/5 ML SYRUP,$49.92
HYDROXYZINE 25 MG TAB,$7.17
HYDROXYZINE 25 MG/ML IM,$53.75
HYDROXYZINE 50 MG TAB,$7.59
HYDROXYZINE 50 MG/ML IM,$54.73
HYDROXYZINE 50 MG/ML IM,$63.00
HYDROXYZINE PAMOATE 100 MG CAP,$7.31
HYDROXYZINE PAMOATE 25 MG CAP,$6.85
HYDROXYZINE PAMOATE 50 MG CAP,$7.06
HYOSCYAMINE 0.125 MG SUBLINGUAL TAB,$10.00
HYOSCYAMINE 0.125 MG SUBLINGUAL TAB,$8.25
HYOSCYAMINE 0.125 MG/ML ORAL DROPS,$71.06
HYOSCYAMINE ER 0.375 MG 12 HR TAB,$9.34
HYOSCYAMINE ER 0.375 MG 12 HR TAB,$8.32
HYOSCYAMINE SULFATE 0.125 MG TAB,$8.18
IBUPROFEN 100 MG/5 ML ORAL SUSP,$8.15
IBUPROFEN 100 MG/5 ML ORAL SUSP,$8.01
IBUPROFEN 200 MG TAB,$6.78
IBUPROFEN 20MG/ML SUSPENSION (PEDS),$8.15
IBUPROFEN 400 MG TAB,$6.61
IBUPROFEN 400 MG TAB,$6.61
IBUPROFEN 600 MG TAB,$6.64
IBUPROFEN 600 MG TAB,$6.68
IBUPROFEN 800 MG TAB,$6.68
IBUPROFEN 800 MG TAB,$6.68
IBUTILIDE FUMARATE 0.1 MG/ML IV,$510.15
ICHTHAMMOL 20 % OINTMENT,$34.97
IDARUBICIN 1 MG/ML IV,$555.96
IDARUBICIN 1 MG/ML IV,$440.46
IDARUCIZUMAB 2.5 GRAM/50 ML INTRAVENOUS SOLUTION,"$7,945.63"
IFOSFAMIDE 1 G IV SOLUTION,$290.73
IMIPENEM-CILASTATIN 250 MG IV SOLUTION,$97.92
IMIPENEM-CILASTATIN 500 MG IV SOLUTION,$147.25
IMIPENEM-CILASTATIN 500 MG IV SOLUTION,$71.97
IMIPENEM-CILASTATIN IN NS 500 MG/100 ML IV PIGGYBACK (ADS),$128.13
IMIPRAMINE 10 MG TAB,$6.85
IMIPRAMINE 12.5 MG (HALF-TAB),$13.31
IMIPRAMINE 25 MG TAB,$7.06
IMIPRAMINE 5 MG (HALF-TAB),$13.17
IMIPRAMINE 50 MG TAB,$6.89
IMIPRAMINE PAMOATE 100 MG CAP,$54.37
IMIPRAMINE PAMOATE 75 MG CAP,$54.20
"IMMUNE GLOB,GAMMA (IGG) 10 %-GLY-IGA OVER 50 MCG/ML INJECTION SOLUTION","$2,213.83"
"IMMUNE GLOB,GAMMA (IGG) 10 %-GLY-IGA OVER 50 MCG/ML INJECTION SOLUTION",$542.59
INDAPAMIDE 1.25 MG (HALF-TAB),$13.21
INDAPAMIDE 2.5 MG TAB,$6.96
INDIGOTINDISULFONATE SODIUM 8 MG/ML INJ - CONTRAST,$91.29
INDIGOTINDISULFONATE SODIUM 8 MG/ML INJECTION (INDIGO CARMINE),$91.29
INDINAVIR 200 MG CAP,$10.95
INDINAVIR 400 MG CAP,$15.01
INDOCYANINE GREEN 1 MG/ML INJECTION,$227.75
INDOCYANINE GREEN 25 MG INJECTION,$271.53
INDOCYANINE GREEN 25 MG INJECTION,"$1,183.75"
INDOCYANINE GREEN 25 MG INJECTION,$271.53
INDOMETHACIN 25 MG CAP,$7.06
INDOMETHACIN 50 MG CAP,$7.10
INDOMETHACIN 50 MG RECTAL SUPPOSITORY,$36.91
INDOMETHACIN SR 75 MG CAP,$13.54
INFLIXIMAB 100 MG IV SOLUTION,"$2,558.98"
INFLUENZA VACCINE QUAD-VAL 30 MCG/0.25 ML INJECTION (PEDS) ,$91.05
INFLUENZA VACCINE QUAD-VAL 60 MCG/0.5 ML INJECTION,$93.69
INFLUENZA VIRUS VACCINE (HIGH DOSE) 180 MCG/0.5 ML INJ,$176.00
INSULIN ASP PRT-INSULIN ASPART 100 UNIT/ML (70-30) SUB-Q,$207.00
INSULIN ASPART 100 UNIT/ML SUB-Q,$213.36
INSULIN ASPART 100 UNITS/ML INJECTION (PEDS),$75.71
INSULIN ASPART 100 UNITS/ML SUB-Q (CORRECTION SCALE),$75.71
INSULIN DEGLUDEC 100 UNIT/ML (3 ML) SUBCUTANEOUS PEN,$285.83
INSULIN GLARGINE 100 UNIT/ML SUB-Q (ROPH),$635.84
INSULIN GLARGINE 100 UNIT/ML SUB-Q (ROPH),$40.52
INSULIN LISPRO (CORRECTION SCALE)- ROPH,$35.18
INSULIN LISPRO (CORRECTION SCALE)- ROPH,$173.37
INSULIN LISPRO (CORRECTION SCALE)- ROPH,$35.92
INSULIN LISPRO (HUMAN) 100 UNIT/ML SUB-Q (PEDS),$35.18
INSULIN LISPRO (HUMAN) 100 UNIT/ML SUB-Q (PEDS),$173.37
INSULIN LISPRO (HUMAN) 100 UNIT/ML SUB-Q (PEDS),$35.92
INSULIN LISPRO (HUMAN) 100 UNIT/ML SUB-Q (ROPH),$35.18
INSULIN LISPRO (HUMAN) 100 UNIT/ML SUB-Q (ROPH),$173.37
INSULIN LISPRO (HUMAN) 100 UNIT/ML SUB-Q (ROPH),$35.92
"INSULIN LISPRO PROT & LISPRO (HUM) 100 UNIT/ML (50-50) SUSP, SUB-Q INJ",$211.00
"INSULIN LISPRO PROT & LISPRO (HUM) 100 UNIT/ML (75-25) SUSP, SUB-Q INJ",$211.00
"INSULIN NPH HUMAN RECOMB 100 UNIT/ML SUSP, (ROPH)",$52.76
"INSULIN NPH HUMAN RECOMB 100 UNIT/ML SUSP, (ROPH)",$59.00
"INSULIN NPH-REGULAR HUMAN REC 100 UNIT/ML (70-30) SUSP, SUB-Q INJ",$49.40
INSULIN REGULAR 100 UNITS/ML INJECTION SS - GOH,$39.55
INSULIN REGULAR HUMAN 100 UNIT/ML INJECTION (ROPH),$100.75
INSULIN REGULAR HUMAN 100 UNIT/ML INJECTION (ROPH),$39.55
IODINE STRONG (LUGOLS) 5 % ORAL SOLN,$98.67
IODINE STRONG (LUGOLS) 5 % TOPICAL SOLN,$98.67
IPRATROPIUM BROMIDE 0.02 % SOLN FOR INHALATION,$7.55
IPRATROPIUM BROMIDE 0.02 % SOLN FOR INHALATION,$7.27
IPRATROPIUM BROMIDE 0.02 % SOLN FOR INHALATION,$7.20
IPRATROPIUM BROMIDE 0.02 % SOLN FOR INHALATION (PEDS),$7.55
IPRATROPIUM BROMIDE 0.02 % SOLN FOR INHALATION (PEDS),$7.20
IPRATROPIUM BROMIDE 0.03 % NASAL SPRAY AEROSOL,$80.55
IPRATROPIUM BROMIDE 0.06 % NASAL SPRAY AEROSOL,$78.96
IPRATROPIUM BROMIDE 17 MCG/ACTUATION AEROSOL INHALER,$378.24
IRBESARTAN 150 MG TAB,$12.94
IRBESARTAN 150 MG TAB,$9.13
IRBESARTAN 37.5 MG (HALF-TAB),$21.05
IRBESARTAN 75 MG TAB,$14.80
IRBESARTAN 75 MG TAB,$15.53
IRBESARTAN-HYDROCHLOROTHIAZIDE 150 MG-12.5 MG TAB,$15.99
IRINOTECAN 100 MG/5 ML IV,$210.50
IRON ASPGL & PS COMPLEX-VIT C-CA-SUCCINIC ACID 150 MG-50 MG-50 MG CAP,$9.41
IRON ASPGLY&PSCPLX-VITC-B12-FA-CA-SUCACID 150 MG-60 MG-25 MCG-1 MG CAP,$9.27
