Charge description, Average charge/unit , Average self-pay charge/unit (30% discount) 
LACTINEX TABLETS, $3.57 , $2.50 
LACTULOSE 10GM/15ML, $0.15 , $0.10 
LAMICTAL=LAMOTRIGINE 25 MG TAB, $29.42 , $20.60 
LAMISIL CREAM 1% 30GM, $97.70 , $68.39 
LAMOTRIGINE 100MG TAB, $2.29 , $1.60 
LANOLIN TOPICAL OINTMENT, $18.49 , $12.94 
LANOXIN (DIGOXIN) 0.25 MG TAB, $11.58 , $8.10 
LANTHANUM CARBONATE 500MG TAB, $92.67 , $64.87 
LEVAQUIN 250 MG TABLET, $5.56 , $3.89 
LEVAQUIN 500 MG TABLET, $8.56 , $5.99 
LEVETIRACETAM 250MG TAB, $2.09 , $1.46 
LEVOTHROID 0.05 MG TABLET, $10.30 , $7.21 
LEVOTHROID 0.1 MG TABLET, $10.33 , $7.23 
LEVOTHROID 0.112MG TABLET, $10.11 , $7.08 
LEVOTHROID 0.125 MG TABLET, $10.48 , $7.33 
LEVOTHROID 0.15 MG TABLET, $10.36 , $7.25 
LEVOTHROID TAB 0.175MG, $10.06 , $7.04 
LIDODERM 5% TRANSDERMAL PATCH, $99.73 , $69.81 
LINEZOLID 600MG TAB, $100.20 , $70.14 
LISINOPRIL 10MG TAB, $1.41 , $0.98 
LISINOPRIL 20MG TAB, $1.38 , $0.97 
LISINOPRIL 5MG TAB, $1.47 , $1.03 
LITHOBID 300 MG SA TABLET, $3.88 , $2.72 
LOPERAMIDE (IMODIUM) 2 MG CAP, $6.57 , $4.60 
LOPRESSOR 100 MG TABLET, $8.17 , $5.72 
LORAZEPAM (ATIVAN) 1 MG TABLET, $11.83 , $8.28 
LORAZEPAM 0.5MG TAB, $11.49 , $8.04 
LOSARTAN 50MG TAB, $1.57 , $1.10 
LOTENSIN (BENAZEPRIL) 5 MG TAB, $5.69 , $3.98 
LOXITANE 10 MG CAPSULE, $6.10 , $4.27 
LOZOL (INDAPAMIDE) 2.5 MG TAB, $5.80 , $4.06 
LUVOX 50MG TABLET, $6.90 , $4.83 
MAALOX PLUS 30 ML U.D., $20.85 , $14.59 
MACROBID 100 MG CAPSULE, $22.90 , $16.03 
MAGNESIUM SULFATE PWD (EPSOM SALT, $12.20 , $8.54 
MAG-OX 400MG TABLET, $1.76 , $1.23 
MAXZIDE 25/37.5 MG TABLET, $3.57 , $2.50 
MECLIZINE (ANTIVERT) 25 MG TAB, $7.42 , $5.20 
MEDROL 4 MG TABLET, $18.49 , $12.95 
MEGACE 40 MG TABLET, $6.30 , $4.41 
MELATONIN 1 MG TAB, $0.86 , $0.60 
MEMANTINE 10MG TAB, $4.40 , $3.08 
MENTHOL LOZENGE, $1.99 , $1.40 
MEPHYTON=PHYTONADIONE 5 MG TAB, $267.00 , $186.90 
MESTINON 60 MG TABLET, $9.70 , $6.79 
MESTINON TIMESPAN 180 MG TAB, $179.50 , $125.65 
METAMUCIL PKT, $4.40 , $3.08 
METFORMIN 500MG TAB, $1.15 , $0.81 
METHADONE 10MG TABLET, $26.28 , $18.40 
METHADONE HCL 5 MG TABLET, $33.35 , $23.34 
METHADONE INTENSOL 10 MG/ML LIQ, $683.74 , $478.62 
METHERGINE 0.2 MG TABLET, $335.58 , $234.90 
METHOCARBAMOL 500MG TAB, $2.56 , $1.79 
METHYLDOPA (ALDOMET) 250MG TAB, $2.60 , $1.82 
METOCLOPRAMIDE=REGLAN 10MG TAB, $1.99 , $1.39 
METOCLOPRAMIDE=REGLAN 5 MG TAB, $2.00 , $1.40 
METOPROLOL 25 MG TAB, $2.97 , $2.08 
METOPROLOL 50MG ER TAB, $7.31 , $5.12 
METOPROLOL TARTRATE 50MG TAB, $1.55 , $1.08 
METROGEL VAGINAL GEL 0.75% 70G, $774.30 , $542.01 
METRONIDAZOLE 0.75% TOP GEL, $904.90 , $633.43 
METRONIDAZOLE 500MG TAB, $7.68 , $5.37 
MEXITIL (MEXILETINE) 150MG CAP, $11.20 , $7.84 
MEXITIL (MEXILETINE) 200MG CAP, $13.40 , $9.38 
MICARDIS=TELMISARTAN 40 MG TAB, $33.95 , $23.76 
MICATIN TOP POWDER 2% 45 GM, $25.80 , $18.06 
MICRO-K (KCL) 8 MEQ SA CAPSULE, $7.17 , $5.02 
MIDAZOLAM 2MG/ML SYRUP, $527.86 , $369.50 
MILK OF MAGNESIA 30 ML UD, $18.00 , $12.60 
MINERAL OIL 30 ML, $6.50 , $4.55 
MINOCYLINE=MINOCIN 50 MG CAPS, $2.37 , $1.66 
MINOXIDIL 2.5 MG TAB, $2.27 , $1.59 
MIRAPEX=PRAMPEXOLE 0.25 MG TAB, $2.51 , $1.76 
MONISTAT 3 VAG SUPP 200 MG, $226.70 , $158.69 
MONISTAT 7 VAG CREAM 2% 45 GM, $47.30 , $33.11 
MONISTAT 7 VAG SUPP 100 MG, $5.60 , $3.92 
MONOPRIL (FOSINOPRIL) 10MG TAB, $3.21 , $2.25 
MORPHINE ER 15MG TAB, $112.73 , $78.91 
MORPHINE SOLUTION 10MG/5ML 5ML, $114.85 , $80.39 
MOTRIN (IBUPROFEN) 400 MG TAB, $2.69 , $1.88 
MS CONTIN 100MG, $434.60 , $304.22 
MS CONTIN 30 MG SA TABLET, $122.03 , $85.42 
MYCOPHENOLATE=MYFORTIC 180 MG TAB, $33.17 , $23.22 
MYCOSTATIN 100000U/GM 15GM, $277.10 , $193.97 
MYSOLINE (PRIMADONE) 50 MG TAB, $5.09 , $3.57 
NABUMETONE 500MG TABLET, $2.92 , $2.04 
NALTREXONE 50 MG TAB, $19.60 , $13.72 
NAPROSYN (NAPROXEN) 250 MG TAB, $1.88 , $1.32 
NAPROSYN (NAPROXEN) 375 MG TAB, $1.90 , $1.33 
NAPROSYN (NAPROXEN) 500 MG TAB, $2.90 , $2.03 
NASALCROM NASAL SPRAY 13 ML, $78.00 , $54.60 
NEOMYCIN SULFATE 500 MG TABLET, $12.20 , $8.54 
NEPHROCAP=FA/VIT B COMP W-C, $9.20 , $6.44 
NEPTAZANE 50MG TAB, $68.99 , $48.29 
NIACIN 50 MG TABLET, $3.30 , $2.31 
NIACIN 500MG, $1.18 , $0.83 
NIASPAN 500 MG TABLET, $41.11 , $28.78 
NICODERM 14MG/24HR PATCH, $16.60 , $11.62 
NICODERM 21MG/24HR PATCH, $17.30 , $12.11 
NICODERM 7MG/24HR PATCH, $16.59 , $11.61 
NICORETTE 2 MG GUM, $3.50 , $2.45 
NITRO-DUR 0.1MG/HR PATCH, $11.30 , $7.91 
NITRO-DUR 0.2MG/HR PATCH, $12.60 , $8.82 
NITRO-DUR 0.4MG/HR PATCH, $11.90 , $8.33 
NITROFURANTOIN MACRO 50MG CAP, $13.34 , $9.34 
NITROGLYCERIN 2% UD OINT, $27.70 , $19.39 
NITROGLYCERIN 2.5 MG SA CAP, $3.40 , $2.38 
NITROSTAT 0.4 MG SUBL TAB X 25, $8.88 , $6.22 
NOLVADEX (TAMOXIFEN) 10MG TAB, $4.70 , $3.29 
NORPACE CR 150 MG CAP, $32.00 , $22.40 
NORTRIPTYLINE=PAMELOR 25MG CAP, $2.93 , $2.05 
NORVASC TAB 10MG, $2.00 , $1.40 
NORVASC TAB 5MG, $1.75 , $1.22 
NS SYRINGE, $17.85 , $12.49 
"NYSTATIN 500,000 UN/5 ML UD", $8.70 , $6.09 
NYTATIN TOPICAL ONITMENT 30GM, $278.00 , $194.60 
OCUVITE TABLET, $1.49 , $1.04 
OLANZAPINE 5MG ODT, $32.36 , $22.65 
OLANZAPINE 5MG TAB, $3.85 , $2.70 
OLMESARTAN=BENICAR 20 MG TAB, $47.77 , $33.44 
OSTELTAMIR=TAMOFLU 75 MG CAP, $92.71 , $64.90 
OXYBUTYNIN 5MG TAB, $1.48 , $1.04 
OXYCODONE I.R. 5 MG TABLET, $31.32 , $21.92 
OXYCONTIN 10 MG TABLET, $318.05 , $222.63 
OXYCONTIN 20 MG T.R. TABLET, $583.22 , $408.25 
OXYCONTIN=OXYCODONE CR 40 MG TAB," $1,018.25 ", $712.78 
OXYMETAZOLINE 0.05% 15 ML SPRAY, $10.09 , $7.06 
OYSTER SHELL CALCIUM 500MG TAB, $1.01 , $0.71 
PAMELOR=NORTRIPTYLINE 10MG CAP, $4.93 , $3.45 
PAROXETINE 20MG TAB, $2.70 , $1.89 
PATANOL, $564.90 , $395.43 
PAXIL (PAROXETINE) 10MG TAB, $8.23 , $5.76 
PEDIAPRED 5ML UNIT DOSE, $28.16 , $19.71 
PEN VK 125MG/5ML SUSP PER ML, $0.36 , $0.25 
PENICILLIN VK 250MG ER START PACK, $18.20 , $12.74 
PENTASA, $24.28 , $17.00 
PERCOCET 5/325 TABLET, $29.28 , $20.50 
PERIDEX 0.12% PER ML, $0.07 , $0.05 
PH CLONIDINE 0.1 MG TAB, $2.00 , $1.40 
PH DIPHENHYDRAMINE 25MG CAP, $1.40 , $0.98 
PH DIPHENHYDRAMINE 50MG CAP, $1.60 , $1.12 
PH PHENYLEPHRINE HCL 0.5%, $29.80 , $20.86 
PHENAZOPYRIDINE HCL 100 MG TAB, $8.11 , $5.68 
PHENERGAN 25 MG SUPP, $131.42 , $91.99 
PHENERGAN SUPP 12.5MG, $136.33 , $95.43 
PHENOBARBITAL 20MG/5ML UD ELIX, $80.50 , $56.35 
PHENOBARBITAL 97.2MG TAB, $92.93 , $65.05 
PHENOL SPRAY (CHLORASEPTIC), $17.80 , $12.46 
PHENOPBARBITAL 32.4 MG TAB, $37.75 , $26.42 
PHENYLEPHRINE 0.25% NASAL SPRAY, $29.80 , $20.86 
PHENYLEPHRINE 0.5% NASAL SPRAY, $29.80 , $20.86 
PHENYLEPHRINE 1% NASAL SPRAY, $33.20 , $23.24 
PHOS-LO 667MG TABLETS, $13.14 , $9.20 
PHOS-NAK POWDER PACKET, $4.71 , $3.30 
PILOCARPINE 5 MG TAB, $12.10 , $8.47 
PINDOLOL (VISKEN) 5 MG TABLET, $9.60 , $6.72 
PLAQUENIL 200 MG TABLET, $4.02 , $2.82 
PLENDIL (FELODIPINE) 2.5MG TAB, $10.40 , $7.28 
PLENDIL (FELODIPINE) 5 MG TAB, $10.06 , $7.04 
PLETAL=CILOSTAZOL 100 MG TAB, $6.25 , $4.38 
POLYCITRA SYRUP 30 ML, $16.50 , $11.55 
POLYETHYLENE GLYCOL 3350 17GM PWD, $16.45 , $11.52 
POLYTRIM OPHT DROPS 10 ML, $140.70 , $98.49 
POTASSIUM CHLORIDE 10% 15ML UD, $39.15 , $27.40 
POTASSIUM CHLORIDE 10MEQ CAP, $6.83 , $4.78 
POTASSIUM CHLORIDE 20MEQ TAB, $5.90 , $4.13 
PRAZOSIN (MINIPRESS) 1 MG CAP, $5.55 , $3.88 
PRAZOSIN (MINIPRESS) 2 MG CAP, $7.82 , $5.47 
PRAZOSIN (MINIPRESS) 5MG CAP, $12.65 , $8.86 
PREGABALIN 75MG CAP, $56.51 , $39.56 
PREGABALIN=LYRICA 100 MG CAP, $55.91 , $39.13 
PREGABALIN=LYRICA 25 MG CAP, $50.30 , $35.21 
PREPARATION H CREAM, $52.40 , $36.68 
PREPARATION H SUPP, $2.34 , $1.64 
PRIMIDONE (MYSOLINE) 250MG TAB, $6.10 , $4.27 
PROAMATINE=MIDODRINE 5 MG TAB, $13.99 , $9.79 
PROBENECID (BENEMID) 500MG TAB, $5.74 , $4.02 
PROBENECID W/COLCHICINE TABLET, $7.90 , $5.53 
PROMETHAZINE HCL 25 MG TABLET, $4.00 , $2.80 
PROMETHAZINE W/COD 5ML UD, $19.17 , $13.42 
PROPAFENONE=RYTHMOL SR 325 MG CAP, $59.00 , $41.30 
PROPYLTHIOURACIL 50 MG TABLET, $7.40 , $5.18 
PROSCAR (FINASTERIDE) 5 MG TAB, $15.70 , $10.99 
PROTONIX=PANTOPRAZOLE 40MG TAB, $3.60 , $2.52 
PROVERA 10MG TAB, $3.29 , $2.30 
PROVERA 2.5 MG TABLET, $2.06 , $1.44 
PROVIGIL=MODAFINIL 200 MG TAB," $1,241.38 ", $868.96 
PROZAC (FLUOXETINE) 10 MG CAP, $1.50 , $1.05 
PSEUDOEPHEDRINE HCL 30 MG TAB, $0.84 , $0.59 
PYRIDOXINE (VIT B-6) 50 MG TAB, $2.82 , $1.98 
PYRIDOXINE 25 MG TAB, $1.05 , $0.73 
QUETIAPINE 25MG TAB, $3.07 , $2.15 
QUINAPRIL 20MG TABLET, $2.53 , $1.77 
REMERON 15MG TABLET, $4.17 , $2.92 
REMERON SOLTAB 30 MG, $18.60 , $13.02 
REMINYL=GALANTAMINE 4 MG TAB, $13.43 , $9.40 
RENAGEL=SEVELAMER 800 MG TAB, $34.32 , $24.03 
REQUIP=ROPINIROLE 0.5 MG TAB, $5.53 , $3.87 
RETROVIR=ZIDOVUDINE 300 MG TAB, $10.90 , $7.63 
RIFADIN (RIFAMPIN) 300 MG CAP, $10.32 , $7.23 
RIFAXIMIN=XIFAXAN 200 MG TAB, $151.10 , $105.77 
RISPERDAL 1MG TABLET, $4.92 , $3.44 
RISPERIDONE 1MG/ML ORAL SOLN, $35.99 , $25.20 
RISPERIDONE 2MG TAB, $5.24 , $3.67 
RITALIN 10 MG TABLET, $80.24 , $56.17 
RITALIN=METHYLPHENIDATE 5 MG, $58.93 , $41.25 
RIVASTIGMINE=EXELON 1.5MG CAP, $13.27 , $9.29 
RIZATRIPTAN 5MG ODT, $18.12 , $12.68 
ROBAXIN-750 MG TABLET, $2.83 , $1.98 
ROBITUSSIN AC (GENERIC) UD 5CC, $5.53 , $3.87 
ROPINIROLE=REQUIP 2 MG TAB, $5.34 , $3.74 
ROWASA ENEMA 4GM/60ML, $178.20 , $124.74 
ROXANOL 20 MG/ML ORAL SOLN, $56.37 , $39.46 
ROXICODONE 20MG/ML 1 ML, $577.56 , $404.29 
RYTHMOL 150 MG TABLET, $7.50 , $5.25 
SALSALATE 500MG TAB, $14.60 , $10.22 
SANDOSTATIN 0.5 MG/ML 1 ML AMP, $343.60 , $240.52 
SANTYL TOP OINTMENT 30 GM," $1,415.55 ", $990.88 
SENISPAR=CINACALCET 30 MG TAB, $187.15 , $131.00 
SENNA 8.6 MG TAB, $1.14 , $0.80 
SERAX (OXAZEPAM) 10 MG CAPSULE, $49.65 , $34.76 
SERAX (OXAZEPAM) 15 MG CAPSULE, $61.20 , $42.84 
SEREVENT DISKUS 50 MCG INH," $1,215.60 ", $850.92 
SERTRALINE 50MG TAB, $2.80 , $1.96 
SILDENAFIL=REVATIO 20 MG TAB, $8.67 , $6.07 
SILVADENE CREAM 50GM JAR, $164.40 , $115.08 
SILVER NITRATE APPLICATOR, $6.37 , $4.46 
SIMETHICONE 40MG/0.6ML PER ML, $1.05 , $0.74 
SIMETHICONE 80MG TAB, $0.96 , $0.67 
SIMVASTATIN 10MG TAB, $2.40 , $1.68 
SIMVASTATIN 20MG TAB, $2.18 , $1.52 
SINEMET-25/100 TABLET, $2.34 , $1.64 
SINEMET-25/250 TABLET, $2.94 , $2.06 
SINGULAIR=MONTELUKAST 10MG TAB, $3.89 , $2.72 
SINGULAIR=MONTELUKAST 5 MG TAB, $5.03 , $3.52 
SITAGLIPTIN=JANUVIA 50 MG TAB, $109.66 , $76.76 
SKELAXIN=METAXALONE 400 MG TAB, $61.10 , $42.77 
SLO-NIACIN CR 250MG TABLET, $1.07 , $0.75 
SLOW FE 160 MG SA TABLET, $1.49 , $1.04 
SLOW-MAG 64 MG SA TABLET, $1.81 , $1.27 
SOD POLYSTYRENE 60CC, $1.33 , $0.93 
SOD POLYSTYRENE SULF 60 ML, $77.66 , $54.36 
SODIUM BICARBONATE 650 MG TAB, $0.81 , $0.57 
SODIUM CHLORIDE 1 GM TABLET, $1.62 , $1.13 
SODIUM CHLORIDE NASAL SPRAY, $9.00 , $6.30 
SOL SORBITOL 3000CC BAG, $2.02 , $1.41 
SPIRIVA=TIOTROPIUM 18MCG INH, $453.90 , $317.73 
SPIRONOLACTONE 25 MG TABLET, $1.80 , $1.26 
SSD TOP CREAM 1% 400 GM, $339.10 , $237.37 
SSD TOP CREAM 1% 50 GM, $151.10 , $105.77 
STARLIX=NATEGLINIDE 120 MG TAB, $14.00 , $9.80 
STRATTERA=ATOMOXETINE 10 MG CAP, $93.19 , $65.23 
STROMECTOL=IVERMECTIN 3 MG TAB, $36.58 , $25.61 
STUARTNATAL 1+1 TABLET, $2.30 , $1.61 
SULFACETAMIDE NA 10% OPHTH SOL, $337.40 , $236.18 
SULFAMETHOXA/TRIMETH 800-160MG TA, $2.57 , $1.80 
SULFAMETHOXAZOLE/TRIMETHOPRIM SUS, $3.35 , $2.34 
SULFASALAZINE 500MG TAB, $3.98 , $2.78 
SULINDAC (CLINORIL) 200 MG TAB, $11.00 , $7.70 
SUMATRIPTAN 25MG TABLET, $17.78 , $12.45 
SUMYCIN 125 MG/5 ML SYRUP 30ML, $136.60 , $95.62 
SUSTIVA=EFAVIRENZ 200 MG CAP, $81.50 , $57.05 
SYNTHROID 0.088 MG TABLETS, $10.10 , $7.07 
TAMBOCOR (FLECAINIDE)100MG TAB, $13.80 , $9.66 
TAMSULOSIN 0.4MG CAP, $5.94 , $4.16 
TAPAZOLE 10 MG TABLET, $3.96 , $2.77 
TAPAZOLE 5MG TAB, $3.89 , $2.72 
TEGRETOL 100 MG CHEW TABLET, $5.23 , $3.66 
TEGRETOL XR 100 MG TABLET, $10.09 , $7.06 
TEMAZEPAM (RESTORIL) 15 MG CAP, $16.65 , $11.65 
TERAZOSIN 2MG CAP, $3.09 , $2.17 
THEO-DUR 100MG, $5.20 , $3.64 
THEO-DUR 300 MG SA TABLET, $5.40 , $3.78 
THEOPHYLLINE 400MG ER TAB, $11.04 , $7.72 
THERAPEUTIC B COMPLEX W/C CAP, $1.30 , $0.91 
THERAPEUTIC MULTIVITAMIN TAB, $1.39 , $0.97 
THIAMINE (VIT B-1) 100 MG TAB, $2.76 , $1.93 
TINCTURE OF BENZOIN 60 ML, $59.30 , $41.51 
TOLNAFTATE 1% CREAM, $22.80 , $15.96 
TOPAMAX=TOPIRAMATE 100 MG TAB, $2.83 , $1.98 
TOPIRAMATE 25MG TAB, $2.00 , $1.40 
TOPROL-XL=METOPROLOL 25 MG TAB, $9.28 , $6.50 
TORADOL (KETOROLAC) 10 MG TAB, $38.80 , $27.16 
TRAMADOL 50MG TAB, $11.34 , $7.94 
TRANDATE (LABETALOL) 200MG TAB, $6.34 , $4.44 
TRANDATE=LABETALOL 100 MG TAB, $4.81 , $3.37 
TRANDOLAPRIL 2 MG TAB, $4.84 , $3.39 
TRANSDERM-SCOP 1.5 MG TD PATCH, $238.90 , $167.23 
TRAZODONE (DESYREL) 100 MG TAB, $2.25 , $1.58 
TRAZODONE (DESYREL) 50 MG TAB, $2.17 , $1.52 
TRENTAL 400 MG SA TABLET, $5.40 , $3.78 
TRIAMCINOLONE 0.1% CREAM 80 GM, $134.60 , $94.22 
TRIAMCINOLONE ACET CRM.1% 15GM, $51.30 , $35.91 
TRIAMCINOLONE ACET CRM.5% 15GM, $68.63 , $48.04 
TRIAZOLAM (HALCION) 0.125MG, $260.02 , $182.01 
TRIFLUOPERAZINE=STELAZINE 1 MG, $5.80 , $4.06 
TRIFLUOPERAZINE=STELAZINE 5 MG, $10.91 , $7.64 
TRIHEXYPHENIDYL=ARTANE 2MG TAB, $1.73 , $1.21 
TRILEPTAL=OXCARBAMAZEPINE 150 MG, $4.00 , $2.80 
TRUVADA 200-300 MG TAB, $335.60 , $234.92 
TUSSIONEX ORAL SUSP 5 ML, $250.80 , $175.56 
TYLENOL #3 ER START PACK X 6, $17.60 , $12.32 
UNIVASC 7.5MG TABLET, $8.70 , $6.09 
UROCIT-K 540 MG SA TABLET, $8.18 , $5.72 
VALACYCLOVIR=VALTREX 500MG TAB, $21.62 , $15.14 
VALGANCICLOVIR 450MG TAB, $285.65 , $199.96 
VALSARTAN 80MG CAP, $4.16 , $2.91 
VARENICLINE=CHANTIX 0.5 MG TAB, $52.85 , $36.99 
VARENICLINE=CHANTIX 1 MG TAB, $49.29 , $34.50 
VASOTEC (ENALAPRIL) 10 MG TAB, $5.21 , $3.65 
VASOTEC (ENALAPRIL) 5 MG TAB, $5.90 , $4.13 
VEETIDS (PEN VK) 250 MG TABLET, $4.90 , $3.43 
VEETIDS (PEN VK) 500 MG TABLET, $8.97 , $6.28 
VENLAFAXINE 25MG TABLET, $9.10 , $6.37 
VENLAFAXINE ER 75MG CAP, $4.51 , $3.16 
VERAPAMIL (ISOPTIN) 40 MG TAB, $1.78 , $1.25 
VERELAN PM 100 MG CAP, $14.35 , $10.05 
VFEND=VORICONAZOLE 200 MG TAB, $170.20 , $119.14 
"VIT B COMPLEX W/C, FOLIC ACID, FE", $8.88 , $6.22 
VITAMIN D 50000IU CAPSULE, $11.50 , $8.05 
VITAMIN E 200IU CAPSULE, $2.45 , $1.72 
VITAMIN E 400 IU CAPSULE, $1.50 , $1.05 
VOLTAREN (DICLOFENAC) 25MG TAB, $9.55 , $6.69 
WELCHOL=COLESEVELAM 625MG TAB, $30.11 , $21.08 
WELLBUTRIN 100 MG TABLET, $7.54 , $5.27 
XANAX 0.25 MG TABLET, $9.59 , $6.72 
XANAX 0.5MG TAB, $9.66 , $6.76 
ZANAFLEX 4MG TABLET, $7.23 , $5.06 
ZAROXOLYN 5MG TAB, $17.70 , $12.39 
ZAROXOLYN TAB 2.5MG, $15.79 , $11.05 
ZINC CHELATED 50 MG TABLET, $1.20 , $0.84 
ZINC OXIDE 20% (DESITIN) OINT, $22.78 , $15.95 
ZINC OXIDE TOP OINTMENT 30 GM, $27.70 , $19.39 
ZINC SULFATE 220 MG CAPSULE, $1.91 , $1.34 
ZIPRASIDONE 20MG CAP, $10.98 , $7.68 
ZIPRASIDONE=GEODON 80 MG CAP, $14.36 , $10.05 
ZOFRAN TABLET 4 MG, $4.88 , $3.42 
ZOLOFT 100MG, $2.77 , $1.94 
ZOLPIDEM 5MG TAB, $11.04 , $7.73 
ZOMIG=ZOLMITRIPTAN 2.5MG TAB, $489.75 , $342.83 
ZYRTEC TAB 10MG, $2.40 , $1.68 
ZZ SUS EXT TUBING 20, $4.61 , $3.23 
752724018 PACU LEVEL 1-1ST 30 MIN, $478.00 , $334.60 
752724019 PACU LEVEL 1-ADDL MIN, $4.78 , $3.35 
752724020 PACU LEVEL 2-1ST 30 MIN, $574.00 , $401.80 
752724021 PACU LEVEL 2-ADDL MIN, $5.74 , $4.02 
752724022 PACU LEVEL 3-1ST 30 MIN, $689.00 , $482.30 
752724023 PACU LEVEL 3-ADDL MIN, $6.89 , $4.82 
752724024 PACU LEVEL 4-1ST 30 MIN, $827.00 , $578.90 
752724025 PACU LEVEL 4-ADDL MIN, $8.27 , $5.79 
752724026 PACU LEVEL 5-1ST 30 MIN, $992.00 , $694.40 
752724027 PACU LEVEL 5-ADDL MIN, $9.92 , $6.94 
752724028 PACU PHASE II RECOVERY 1ST 30 MIN, $478.00 , $334.60 
752724029 PACU PHASE II RECOVERY ADDL MIN, $4.78 , $3.35 
PACU LEVEL 1-1ST 30 MIN, $478.00 , $334.60 
PACU LEVEL 1-1ST 30 MIN, $478.00 , $334.60 
PACU LEVEL 1-ADDL MIN, $4.78 , $3.35 
PACU LEVEL 1-ADDL MIN, $4.78 , $3.35 
PACU LEVEL 2-1ST 30 MIN, $574.00 , $401.80 
PACU LEVEL 2-1ST 30 MIN, $574.00 , $401.80 
PACU LEVEL 2-ADDL MIN, $5.74 , $4.02 
PACU LEVEL 2-ADDL MIN, $5.74 , $4.02 
PACU LEVEL 3-1ST 30 MIN, $689.00 , $482.30 
PACU LEVEL 3-1ST 30 MIN, $689.00 , $482.30 
PACU LEVEL 3-ADDL MIN, $6.89 , $4.82 
PACU LEVEL 3-ADDL MIN, $6.89 , $4.82 
PACU LEVEL 4-1ST 30 MIN, $827.00 , $578.90 
PACU LEVEL 4-1ST 30 MIN, $827.16 , $579.01 
PACU LEVEL 4-ADDL MIN, $8.27 , $5.79 
PACU LEVEL 4-ADDL MIN, $8.29 , $5.80 
PACU LEVEL 5 ADDITIONAL MIN, $39.30 , $27.51 
PACU LEVEL 5-1ST 30 MIN, $992.00 , $694.40 
PACU LEVEL 5-1ST 30 MIN, $992.00 , $694.40 
PACU LEVEL 5-ADDL MIN, $9.92 , $6.94 
PACU LEVEL 5-ADDL MIN, $9.92 , $6.94 
PACU PAHSE II RECOVERY ADDL MIN, $4.78 , $3.35 
PACU PHASE II RECOVERY 1ST 30 MIN, $478.00 , $334.60 
PACU PHASE II RECOVERY-1ST 30 MIN, $478.00 , $334.60 
PACU PHASE II RECOVERY-ADDL MIN, $4.78 , $3.35 
OB O/P AMNIOCENTESIS ," $2,018.00 "," $1,412.60 "
LABOR LEVEL 1 PER HOUR, $168.00 , $117.60 
LABOR LEVEL II PER HOUR, $199.00 , $139.30 
LABOR LEVEL III PER HOUR, $265.00 , $185.50 
LABOR LEVEL IV PER HOUR, $332.00 , $232.40 
DELIVERY LEVEL I PER HOUR," $3,988.00 "," $2,791.60 "
DELIVERY LEVEL II PER HOUR," $5,409.00 "," $3,786.30 "
DELIVERY OUTSIDE HOSPITAL," $3,807.00 "," $2,664.90 "
FETAL DEMISE LEVEL I," $3,988.00 "," $2,791.60 "
FETAL DEMISE LEVEL II," $5,409.00 "," $3,786.30 "
"CIRCUMCISION, NEWORN "," $7,505.00 "," $5,253.50 "
"CIRCUMCISION, NEWORN "," $7,505.00 "," $5,253.50 "
12 LEAD EKG, $325.00 , $227.50 
ECG RECORDING >48 HOURS, $409.00 , $286.30 
ECG RECORDING >48 HRS, $409.00 , $286.30 
ECG UP TO 48 HRS RECORDING, $685.00 , $479.50 
EKG, $325.00 , $227.50 
HL ECG 24HR MICROPRCESS , $325.00 , $227.50 
EEG ASLEEP/AWAKE , $732.00 , $512.40 
ENDO PROCEDURE LEVEL 1-1ST 30 MIN," $3,583.00 "," $2,508.10 "
ENDO PROCEDURE LEVEL 1-ADDL MIN, $35.83 , $25.08 
ENDO PROCEDURE LEVEL 2-1ST 30 MIN," $4,300.00 "," $3,010.00 "
ENDO PROCEDURE LEVEL 2-ADDL MIN, $43.00 , $30.10 
APPL OF LOW COST SKIN SUB GRFT," $1,781.00 "," $1,246.70 "
APPLIC RIGID TOT CONTACT LEG CAST, $925.00 , $647.50 
APPLIC SKN SUB GRFT TRNK/ARM/LEG," $5,829.00 "," $4,080.30 "
APPLICATION OF COMPRESSION WRAP, $530.00 , $371.00 
APPLICATION OF SKIN GRFT ADDL, $103.00 , $72.10 
APPLICATION OF SKIN SUB GRFT, $72.00 , $50.40 
APPLICATION OF SKIN SUB HD/NK/FC," $5,829.00 "," $4,080.30 "
APPLICATION OF UNNA BOOT, $530.00 , $371.00 
CHEMICAL CAUTERY OF WOUND, $605.00 , $423.50 
DEBRIDE BONE EA ADDL <=20SQCM, $415.00 , $290.50 
DEBRIDE MUSCLE/FASC EA AD <=20CM, $232.00 , $162.40 
DEBRIDE TISSUE EA ADDL <=20SQCM, $109.00 , $76.30 
DEBRIDE TISSUE/MUSCLE ," $1,173.00 ", $821.10 
DEBRIDEMENT OF NAIL 6 OR MORE, $217.00 , $151.90 
DEBRIDEMENT OF NAILS 1-5, $217.00 , $151.90 
DEBRIDEMENT SKIN 1ST 20 SQ CM, $605.00 , $423.50 
DEBRIDEMENT SKIN EA ADDL 20 SQ CM, $48.00 , $33.60 
DEBRIDEMENT SKIN/TISSUE ," $1,173.00 ", $821.10 
DRESSINGS/DEBRID OF P/THICK BURNS, $605.00 , $423.50 
EXCISION OF BENIGN LES 2.1-3.0 CM," $3,423.00 "," $2,396.10 "
FETAL NON STRESS TEST, $542.00 , $379.40 
