Prisma Health - Upstate CDM,Valid Date: 4/3/2019,,,
SX,SX00435560045547,SUT STRATAFIX 0 PDO 14X14CM,$83.27 ,
SX,SX00435560045548,SUT STRATAFIX 0 SPIRAL 14X14,$174.46 ,
SX,SX00435560045549,SUT STRATAFIX 1 PDO 30X30CM,$127.66 ,
SX,SX00435560045550,SUT STRATAFIX 1 SYM PDS CT1,$133.87 ,
SX,SX00435560045551,SUT STRATAFIX 2-0 PSL,$123.09 ,
SX,SX00435560045552,SUT STRATAFIX 2-0 SPIRAL 14X14,$102.36 ,
SX,SX00435560045553,SUT STRATAFIX 2-0 SYM PDS CT2,$127.71 ,
SX,SX00435560045554,SUT STRATAFIX 3-0 PDO 24X24CM,$123.53 ,
SX,SX00435560045555,SUT STRATAFIX 3-0 PSL,$125.13 ,
SX,SX00435560045556,SUT STRATAFIX PDS 0 23CM CT-1,$151.69 ,
SX,SX00435560045557,SUT STRATAFIX PDS 0 30CM CT-1,$151.09 ,
SX,SX00435560045558,SUT STRATAFIX PDS 1 15CM CT-1,$175.23 ,
SX,SX00435560045559,SUT STRATAFIX PDS 1 30CM CT-1,$151.09 ,
SX,SX00435560045560,SUT STRATAFIX PDS 1 60CM CT-1,$155.38 ,
SX,SX00435560045561,SUT STRATAFIX PDS 2-0 15CM SH,$166.87 ,
SX,SX00435560045562,SUT STRATAFIX PDS 2-0 23CM SH,$147.40 ,
SX,SX00435560045563,"SUT STRATAFIX PDS 2-0 30"" SH",$142.62 ,
SX,SX00435560045564,SUT STRATAFIX SPIRAL PDO 1,$122.54 ,
SX,SX00435560045565,"SUT STRATAFX PDS 0 30"" CT-1",$136.57 ,
SX,SX00435560045566,"SUT STRATAFX PDS 0 45"" CT-2",$107.86 ,
SX,SX00435560045567,"SUT STRATAFX SPIR PGA 16"" RB-1",$163.90 ,
SX,SX00435560045568,SUT STRNL DBLWR #6 W/CCS1,$147.90 ,
SX,SX00435560045569,SUT SUPRAMID 4-0 20 BB,$77.94 ,
SX,SX00435560045570,SUT SUPRAMID NYL 3-0 24,$86.41 ,
SX,SX00435560045571,SUT SURG STL 0 26GX18,$60.00 ,
SX,SX00435560045572,SUT SURG STL 1 25G 18,$114.57 ,
SX,SX00435560045573,SUT SURG STL 2 24G 18,$106.87 ,
SX,SX00435560045574,"SUT SURG STL 2-0 18""",$135.36 ,
SX,SX00435560045575,SUT SURG STL 5-0 20G 18,$84.10 ,
SX,SX00435560045576,SUT SURG STL 6 19G 18 C,$84.81 ,
SX,SX00435560045577,SUT SURGIPRO 7-0 CV-1,$604.85 ,
SX,SX00435560045578,SUT SURGIPRO II 6-0,$450.25 ,
SX,SX00435560045579,SUT SYS DEV ENDO 5MM,"$2,250.00 ",
SX,SX00435560045580,SUT SYS FAST FIX CRV,"$1,395.00 ",
SX,SX00435560045581,SUT SYS FAST FIX REV CRV,"$1,395.00 ",
SX,SX00435560045582,SUT SYS LOAD UNIT ETHIB 0,$418.45 ,
SX,SX00435560045583,SUT SYS RELD VIC 2-0 6,$145.75 ,
SX,SX00435560045584,"SUT TIGERLOOP 0 40""",$275.00 ,
SX,SX00435560045585,"SUT TIGERLOOP 0 40""",$225.89 ,
SX,SX00435560045586,SUT TIGERSTICK #2 B/W,$275.00 ,
SX,SX00435560045587,SUT TIGERTAPE FINCH,$275.00 ,
SX,SX00435560045588,SUT UHWMPE IVY SHRPSHTR,$373.45 ,
SX,SX00435560045589,SUT ULTRATAPE COBRD BLUE,$330.00 ,
SX,SX00435560045590,SUT ULTRBRAID #2 CO-BRAID,$95.76 ,
SX,SX00435560045591,SUT V-LOC 180 0 GS-21,$127.66 ,
SX,SX00435560045592,SUT V-LOC 180 2-0,$121.55 ,
SX,SX00435560045593,"SUT V-LOC 90 3-0 6"" VIO CV-23",$121.55 ,
SX,SX00435560045594,"SUT V-LOC 90 3-0 9"" VIO CV-23",$121.55 ,
SX,SX00435560045595,SUT V-LOC PBT 0 GS-21,$187.72 ,
SX,SX00435560045596,SUT V-LOC PBT 1 GS-21,$140.80 ,
SX,SX00435560045597,SUT VIC #1 CTB-1,$74.36 ,
SX,SX00435560045598,SUT VIC #2 J649G,$82.39 ,
SX,SX00435560045599,SUT VIC 0 18 MO4,$81.57 ,
SX,SX00435560045600,"SUT VIC 0 CTB1 8-18"" 36MM 1/2C",$80.36 ,
SX,SX00435560045601,SUT VIC 0 ENDOLOOP,$662.00 ,
SX,SX00435560045602,SUT VIC 0 JB840,$78.21 ,
SX,SX00435560045603,SUT VIC 2-0 18 CP2,$80.36 ,
SX,SX00435560045604,SUT VIC 2-0 27 SH,$62.26 ,
SX,SX00435560045605,SUT VIC 3-0 18 MLT SH D,$62.48 ,
SX,SX00435560045606,SUT VIC 3-0 SHB JB864,$77.83 ,
SX,SX00435560045607,SUT VIC 4-0 18 RB1,$72.16 ,
SX,SX00435560045608,SUT VIC 4-0 18 TF,$84.21 ,
SX,SX00435560045609,SUT VIC 4-0 RB-1,$74.14 ,
SX,SX00435560045610,SUT VIC 6-0 12 S24 DA,$67.21 ,
SX,SX00435560045611,SUT VIC 6-0 18 TG1008 D,$77.33 ,
SX,SX00435560045612,SUT VIC 6-0 S-29 DBL ARM,$68.92 ,
SX,SX00435560045613,SUT VIC 7-0 18 TG1408 D,$78.65 ,
SX,SX00435560045614,SUT VIC 8-0 12 TG1408 D,$79.75 ,
SX,SX00435560045615,SUT VIC 8-0 5 BV1304,$91.85 ,
SX,SX00435560045616,SUT VIC 9-0 12 TG1408 D,$84.65 ,
SX,SX00435560045617,"SUT VIC+ 0CT-1 8-27""36MM 1/2C",$66.28 ,
SX,SX00435560045618,"SUT VIC+ 1CT-1 8-27"" 36MM 1/2C",$69.03 ,
SX,SX00435560045619,"SUT VIC+ 2-0CT-1 18"" 36MM 1/2C",$63.69 ,
SX,SX00435560045620,"SUT VIC+ 2-0SH 8-27"" 26MM",$63.97 ,
SX,SX00435560045621,"SUT VIC+ 3-0SH 8-27"" 26MM 1/2C",$66.50 ,
SX,SX00435560045622,SUT VLOC 180 4-0 CV-23,$121.55 ,
SX,SX00435560045623,SUT WR 16GA,$53.88 ,
SX,SX00435560045624,SUTLASSO FOR HIP A&A 90D ST,$825.00 ,
SX,SX00435560045625,SUTLASSO FOR HIP A&A CRESCENT,$825.00 ,
SX,SX00435560045626,SUTR QUILL MNDRM 3-0 14X14CM,$78.32 ,
SX,SX00435560045627,SUTURE 0,$275.00 ,
SX,SX00435560045628,SUTURE 2-0,$275.00 ,
SX,SX00435560045629,SUTURE 4-0 CHROMIC S-4,$96.25 ,
SX,SX00435560045630,SUTURE ANCHOR,"$1,912.50 ",
SX,SX00435560045631,SUTURE ANCHOR #2 FIBERWIRE FIB,"$1,530.00 ",
SX,SX00435560045632,SUTURE ANCHOR 15.5MM,"$1,800.00 ",
SX,SX00435560045633,SUTURE ETHBN-EXL 2 36IN BRDD N,$201.52 ,
SX,SX00435560045634,SUTURE ETHIB 0 60IN SH,$130.19 ,
SX,SX00435560045635,SUTURE ETHIPACK 18IN PRCT NS,$482.80 ,
SX,SX00435560045636,SUTURE GORE-TEX CV-2 48IN TH-2,$130.63 ,
SX,SX00435560045637,SUTURE GUIDE,$136.13 ,
SX,SX00435560045638,SUTURE LASSO,$700.00 ,
SX,SX00435560045639,SUTURE NONABSORBABLE FIBERLINK 0 L36 IN L1.5 IN LOOP BLUE,$357.50 ,
SX,SX00435560045640,SUTURE NONABSORBABLE TIGERLINK 0 L36 IN L1.5 IN LOOP,$357.50 ,
SX,SX00435560045641,SUTURE ORTHOCORD 2,$299.31 ,
SX,SX00435560045642,SUTURE PDO 45CM 36MM,$254.82 ,
SX,SX00435560045643,SUTURE PDO 45CM 40MM,$114.07 ,
SX,SX00435560045644,SUTURE SHUTTLE 90 UP 251005,"$1,201.50 ",
SX,SX00435560045645,SUTURE SHUTTLE LT 251003,"$1,336.50 ",
SX,SX00435560045646,SUTURE SHUTTLE RT 251004,"$1,201.50 ",
SX,SX00435560045647,SUTURE SHUTTLE STR 251007,"$1,057.50 ",
SX,SX00435560045648,SUTURE SUPRAMID 3.0 DR OWENS,$74.25 ,
SX,SX00435560045649,SUTURE SUPRAMID 4.0 DR OWENS,$74.25 ,
SX,SX00435560045650,SUTURE V-LOC 0 24IN VLOCL0336,$164.01 ,
SX,SX00435560045651,"SUTURE V-LOC 90 3-0 6"" UD CV-2","$1,193.40 ",
SX,SX00435560045652,SUTURE V-LOC90 SZ3  VLOCLM0024,$146.41 ,
SX,SX00435560045653,SUTURE VICRYL PL 0 CT-1 18 PO,$67.16 ,
SX,SX00435560045654,SUTURE VICRYL PL 1 CT-1 18 PO,$69.52 ,
SX,SX00435560045655,SUTURE WIRE 16G   4044-16,$82.50 ,
SX,SX00435560045656,SUTURE WIRE 18G  4044-20,$77.00 ,
SX,SX00435560045657,SUTURELASSO HIP 45 DEG CURVE R,$825.00 ,
SX,SX00435560045658,SUTURELASSO HIP 45D CURVE L,$825.00 ,
SX,SX00435560045659,SUTURELASSO QP 25? CURV LT,$800.00 ,
SX,SX00435560045660,SUTURELASSO QP 25? CURV RT,$800.00 ,
SX,SX00435560045661,SUTURELASSO QP 30? STRT,$800.00 ,
SX,SX00435560045662,SUTURELASSO QP 45? CURV LT,$800.00 ,
SX,SX00435560045663,SUTURELASSO QP 45? CURV RT,$800.00 ,
SX,SX00435560045664,SUTURELASSO QP 90? CURV LT,$800.00 ,
SX,SX00435560045665,SUTURELASSO QP 90? CURV RT,$800.00 ,
SX,SX00435560045666,SUTURELASSO QP 90? CURVTITE,$800.00 ,
SX,SX00435560045667,SUTURELASSO QP 90? STRT,$800.00 ,
SX,SX00435560045668,SUTURELASSO QP CRESCENT,$800.00 ,
SX,SX00435560045669,SUTURELASSO RP 45? CURV LT,$800.00 ,
SX,SX00435560045670,SUTURELASSO RP 45? CURV RT,$800.00 ,
SX,SX00435560045671,SUTURELASSO RP 90? STRT,$800.00 ,
SX,SX00435560045672,SUTURELASSO SMALL CURVE MICRO,$700.00 ,
SX,SX00435560045673,SUTURETAK 2.4X8.5 MINI BIO,"$1,462.50 ",
SX,SX00435560045674,SUTURETAPE FIBERLINK,$425.00 ,
SX,SX00435560045675,SUTURETAPE TIGERLINK,$425.00 ,
SX,SX00435560045676,SWAN 6FR TD,$475.00 ,
SX,SX00435560045677,SWIVELCK BIO DBLE LOAD 4.75MM,"$1,876.50 ",
SX,SX00435560045678,SWIVELOCK DX SL W/ FORK EYELET,$425.00 ,
SX,SX00435560045679,SWIVELOCK DX SL W/ FORK EYELET,"$1,912.50 ",
SX,SX00435560045680,SYNDESMOSIS PLATE,"$1,233.00 ",
SX,SX00435560045681,SYNMESH 12X20,"$4,506.25 ",
SX,SX00435560045682,SYNMESH 12X24MM TI,"$4,506.25 ",
SX,SX00435560045683,SYNMESH 17X22X12MM TI,"$5,512.50 ",
SX,SX00435560045684,SYNMESH 22X28X64 TI,"$9,355.00 ",
SX,SX00435560045685,SYNMESH CAGE SPINAL 15X88MM TI,"$9,957.50 ",
SX,SX00435560045686,SYR BMA 20CC,"$1,431.00 ",
SX,SX00435560045687,SYR BMA 30CC,"$1,699.34 ",
SX,SX00435560045688,SYR CONTIGEN COLLAGEN,"$1,574.78 ",
SX,SX00435560045689,SYR DEFLUX 1ML,"$6,630.87 ",
SX,SX00435560045690,SYR EMBOSPH 100-300 2.0ML,"$1,093.50 ",
SX,SX00435560045691,SYR EMBOSPH 300-500 2.0ML,"$1,093.50 ",
SX,SX00435560045692,SYR EMBOSPH 50-100,"$1,093.50 ",
SX,SX00435560045693,SYR EMBOSPH 500-700 2.0ML,"$1,093.50 ",
SX,SX00435560045694,SYR EMBOSPH 900-1200U 2ML,"$1,126.31 ",
SX,SX00435560045695,SYR INFLATION,$484.50 ,
SX,SX00435560045696,SYR MICROSPHERE 700-900,"$1,093.50 ",
SX,SX00435560045697,SYR RAD VOICE GEL W/TRANS ORAL,"$2,500.00 ",
SX,SX00435560045698,SYR TRUFILL DETACH COIL SY II,"$1,123.20 ",
SX,SX00435560045699,SYRINGE INFLATION KYPHO,$508.75 ,
SX,SX00435560045700,SYRINGE SCP DELIVERY 1CC,$88.00 ,
SX,SX00435560045701,SYRINGE SCP DELIVERY 1CC,$400.00 ,
SX,SX00435560045702,SYS 3 DOSE MIXER COMP VAC,$720.30 ,
SX,SX00435560045703,SYS ANGIO VAC ANGLED,"$32,500.00 ",
SX,SX00435560045704,SYS CEMENT 2 DOSE,$627.20 ,
SX,SX00435560045705,SYS CHARGING NEUROSTIM,"$5,685.00 ",
SX,SX00435560045706,SYS CONTASURE ADJ,"$5,850.00 ",
SX,SX00435560045707,SYS DEL TORQVUE 10F 45/80,"$2,944.00 ",
SX,SX00435560045708,SYS DEL TORQVUE 12FR 80CM,"$2,664.00 ",
SX,SX00435560045709,SYS DEL TORQVUE 9FR 80CM,"$2,664.00 ",
SX,SX00435560045710,SYS DELIV FASTFX 360 REV CURV,"$1,830.83 ",
SX,SX00435560045711,SYS DELIVERY FASTFX 360 CURVED,"$1,830.83 ",
SX,SX00435560045712,SYS DELIVERY STR FASTFX 360,"$1,830.83 ",
SX,SX00435560045713,SYS DELIVRY LEAD 13CM-5,"$1,125.00 ",
SX,SX00435560045714,SYS DLVRY IMP ARTHREX SUTBRIDG,"$3,600.00 ",
SX,SX00435560045715,SYS EXC TORQVUE 9F 45/80,"$2,664.00 ",
SX,SX00435560045716,SYS FLUID MGMT,$437.00 ,
SX,SX00435560045717,SYS IMPL DELTOID LIGA RECONST1,"$5,865.00 ",
SX,SX00435560045718,SYS INFUS BENEPHIT 30CM,"$5,385.00 ",
SX,SX00435560045719,SYS INFUS EKOSONIC 12CM,"$7,237.50 ",
SX,SX00435560045720,SYS INFUS EKOSONIC 18CM,"$7,237.50 ",
SX,SX00435560045721,SYS INFUS EKOSONIC 6CM,"$7,237.50 ",
SX,SX00435560045722,SYS INFUS LYSUS 12CM,"$6,885.00 ",
SX,SX00435560045723,SYS INFUS LYSUS 24CM,"$6,885.00 ",
SX,SX00435560045724,SYS INFUS LYSUS 30CM,"$6,885.00 ",
SX,SX00435560045725,SYS INFUS LYSUS 40CM,"$6,885.00 ",
SX,SX00435560045726,SYS INFUS LYSUS 6CM,"$6,885.00 ",
SX,SX00435560045727,SYS INZONE DETACH,$961.88 ,
SX,SX00435560045728,SYS LAP BAND 10CM,"$9,437.50 ",
SX,SX00435560045729,SYS MAGNET ATTRACT,"$5,520.00 ",
SX,SX00435560045730,SYS MICRO CATH 2.0FR 130CM,"$3,100.00 ",
SX,SX00435560045731,SYS MICRO CATH 2.0FR 150CM,"$3,100.00 ",
SX,SX00435560045732,SYS MICRO CATH 2.4FR 130,"$1,395.00 ",
SX,SX00435560045733,SYS MICRO CATH 2.4FR 150CM,"$1,440.00 ",
SX,SX00435560045734,SYS MICRO CATH 2.8FR 130CM,"$2,250.00 ",
SX,SX00435560045735,SYS MICRO CATH 2.8FR 150CM,"$1,395.00 ",
SX,SX00435560045736,SYS MICROCATH 2.8F 150CM WR,"$2,250.00 ",
SX,SX00435560045737,SYS PACEMAKER TEMP TRANSVENOUS,"$1,260.00 ",
SX,SX00435560045738,SYS PELVIC FLOOR,"$6,525.00 ",
SX,SX00435560045739,SYS PHOENIX 1.8MM X 130CM,"$7,750.00 ",
SX,SX00435560045740,SYS PHOENIX 1.8MM X 149CM,"$7,750.00 ",
SX,SX00435560045741,SYS PHOENIX 2.2MM X 130CM,"$7,750.00 ",
SX,SX00435560045742,SYS PHOENIX 2.2MM X 149CM,"$7,750.00 ",
SX,SX00435560045743,SYS PHOENIX 2.4MM X 127CM,"$7,750.00 ",
SX,SX00435560045744,SYS REAMER CORING REMOVL 9X30M,"$2,800.00 ",
SX,SX00435560045745,SYS RECHARGE,"$2,250.00 ",
SX,SX00435560045746,SYS REPAIR SURG VENT 100C,"$6,435.00 ",
SX,SX00435560045747,SYS REPAIR SURG VENT 110C,"$6,435.00 ",
SX,SX00435560045748,SYS REPAIR SURG VENT 120C,"$6,435.00 ",
SX,SX00435560045749,SYS REPAIR SURG VENT 90CC,"$6,435.00 ",
SX,SX00435560045750,SYS RETRAC LONE STAR,$289.03 ,
SX,SX00435560045751,SYS SLT FIBER DELIVERY,$875.00 ,
SX,SX00435560045752,SYS SUCT DRAIN TRU-CLOSE,$170.50 ,
SX,SX00435560045753,SYS VAS ACCESS 325 125CM,"$2,040.66 ",
SX,SX00435560045754,SYSTEM AERA EUSTACH DILAT,"$6,030.00 ",
SX,SX00435560045755,SYSTEM CHARGING PRODIGY LE,"$2,250.00 ",
SX,SX00435560045756,SYSTEM CLEANER 15,"$5,425.00 ",
SX,SX00435560045757,SYSTEM CLEANER ST 65CM,"$3,180.00 ",
SX,SX00435560045758,SYSTEM FIBERWIRE VIPER CPR,"$3,800.00 ",
SX,SX00435560045759,SYSTEM FXTN BONE 1.1MM SM SBFS,"$1,260.00 ",
SX,SX00435560045760,SYSTEM FXTN BONE 1.6MM SM SBFS,"$1,260.00 ",
SX,SX00435560045761,SYSTEM INFLATION,$700.00 ,
SX,SX00435560045762,"SYSTEM MIXING AND DEL, 3CC",$875.00 ,
SX,SX00435560045763,SYSTEM MXR CMNT ADVD BOWL LID,$288.81 ,
SX,SX00435560045764,SYSTEM RECHARGER,"$4,252.50 ",
SX,SX00435560045765,SYSTEM RECHARGER,"$5,950.00 ",
SX,SX00435560045766,SYSTEM SLING ADVANTAGE,"$4,375.00 ",
SX,SX00435560045767,SYSTEM TRELL 6FR 10X120,"$6,465.00 ",
SX,SX00435560045768,SYSTEM TRELL 6FR 10X80,"$6,285.00 ",
SX,SX00435560045769,SYSTEM TRELL 6FR 30X120,"$6,465.00 ",
SX,SX00435560045770,SYSTEM TRELL 6FR 30X80,"$6,285.00 ",
SX,SX00435560045771,SYSTEM TRELL 8FR 15X120,"$6,285.00 ",
SX,SX00435560045772,SYSTEM TRELL 8FR 15X80,"$6,285.00 ",
SX,SX00435560045773,SYSTEM TRELL 8FR 30X120,"$6,285.00 ",
SX,SX00435560045774,SYSTEM TRELL 8FR 30X80,"$6,285.00 ",
SX,SX00435560045775,SYSTEM UPHOLD VAGINAL SUPPORT,"$5,544.00 ",
SX,SX00435560045776,T-HANDLE COUNTERSINK,$665.00 ,
SX,SX00435560045777,T-PLT 2H HD/7 H SHAFT 2.0,"$1,684.53 ",
SX,SX00435560045778,T-PLT 3.5 LCK 3H HD 5H,"$1,197.00 ",
SX,SX00435560045779,T-PLT 3.5 LCK 4H HD 6H,"$1,398.60 ",
SX,SX00435560045780,T-PLT 3.5 LCK OBL3H HD 3H,"$1,197.00 ",
SX,SX00435560045781,T-PLT 3.5 LCK OBL3H HD 4H,"$1,256.85 ",
SX,SX00435560045782,T-PLT TIB PM-P 3.5X103MM 7H LT,"$4,508.00 ",
SX,SX00435560045783,T-PLT TIB PM-P 3.5X103MM 7H RT,"$4,508.00 ",
SX,SX00435560045784,T-PLT TIB PM-P 3.5X104MM 7H LT,"$4,571.88 ",
SX,SX00435560045785,T-PLT TIB PM-P 3.5X104MM 7H RT,"$4,571.88 ",
SX,SX00435560045786,T-PLT TIB PM-P 3.5X137MM10H LT,"$4,716.25 ",
SX,SX00435560045787,T-PLT TIB PM-P 3.5X137MM10H RT,"$4,716.25 ",
SX,SX00435560045788,T-PLT TIB PM-P 3.5X170MM13H LT,"$4,879.88 ",
SX,SX00435560045789,T-PLT TIB PM-P 3.5X170MM13H RT,"$4,879.88 ",
SX,SX00435560045790,T-PLT TIB PM-P 3.5X71MM 4H LT,"$4,336.50 ",
SX,SX00435560045791,T-PLT TIB PM-P 3.5X71MM 4H RT,"$4,336.50 ",
SX,SX00435560045792,T-PLT VLP 2.7MM STER,"$2,085.75 ",
SX,SX00435560045793,T-PLT VLP TEMP 2.7MM,"$1,012.50 ",
SX,SX00435560045794,TACK THR CERVICAL,$625.00 ,
SX,SX00435560045795,TALAR IMPLANT SZ S RT,"$10,857.15 ",
SX,SX00435560045796,TALAR IMPLNT SZ XXS RT,"$10,857.15 ",
SX,SX00435560045797,TALUS REPL IMPL MED CUSTOM,"$31,500.00 ",
SX,SX00435560045798,TAMP BONE ALIQUOT,"$3,600.00 ",
SX,SX00435560045799,TAMP BONE KYPHX 10X3,"$3,736.60 ",
SX,SX00435560045800,TAMP BONE KYPHX 15X3,"$3,689.00 ",
SX,SX00435560045801,TAP 2.0MM BIS-2001,$875.00 ,
SX,SX00435560045802,TAP 2.0MM W/AO QC,$450.00 ,
SX,SX00435560045803,TAP 2.4MM W/AO QC,$450.00 ,
SX,SX00435560045804,TAP 2.7MM QC,$408.10 ,
SX,SX00435560045805,TAP 2.7MM W/QC,$165.00 ,
SX,SX00435560045806,TAP 3.0MM CLAV SCREW,$840.00 ,
SX,SX00435560045807,TAP 3.0MM W/AO QC,$450.00 ,
SX,SX00435560045808,TAP 3.5MM,$900.00 ,
SX,SX00435560045809,TAP 3.5MM QC,$165.00 ,
SX,SX00435560045810,TAP 3.5MM QC W/AO EVOS,$735.00 ,
SX,SX00435560045811,TAP 3.5X110,$408.10 ,
SX,SX00435560045812,TAP 4.0MM,$900.00 ,
SX,SX00435560045813,TAP 4.0MM CANC QC,$165.00 ,
SX,SX00435560045814,TAP 4.2MM,$900.00 ,
SX,SX00435560045815,TAP 4.5MM,$900.00 ,
SX,SX00435560045816,TAP 4.5MM PED BEACON,$900.00 ,
SX,SX00435560045817,TAP 4.5MMX205MM,$599.50 ,
SX,SX00435560045818,TAP 4.7MM QC W/AO EVOS,$735.00 ,
SX,SX00435560045819,TAP 4MM SPIN,$900.00 ,
SX,SX00435560045820,TAP 6.2MM,$900.00 ,
SX,SX00435560045821,TAP 6.2MM PED SCR,$900.00 ,
SX,SX00435560045822,TAP 8.5,$900.00 ,
SX,SX00435560045823,TAP BIO-TENODESIS 5.5MM X 15MM,$877.50 ,
SX,SX00435560045824,TAP BONE 2.3MM,$515.00 ,
SX,SX00435560045825,TAP BONE SWIVELOCK 3.5MM,$750.00 ,
SX,SX00435560045826,TAP BONE SWIVELOCK 4.75MM,$750.00 ,
SX,SX00435560045827,TAP BONE TIP 3.5MM,$430.00 ,
SX,SX00435560045828,TAP CALI 140MM,"$1,583.55 ",
SX,SX00435560045829,TAP CALI 3.5MM,"$1,914.03 ",
SX,SX00435560045830,TAP CAN 6.5/7.3 SCREWS,"$3,168.12 ",
SX,SX00435560045831,TAP CANC 3.5,$900.00 ,
SX,SX00435560045832,TAP CANC 4X110,$875.00 ,
SX,SX00435560045833,TAP CANN 3.0MM F/3.0 AO,$258.67 ,
SX,SX00435560045834,TAP CANN 3.5 Q/C,"$1,244.25 ",
SX,SX00435560045835,TAP CANN 3.5X146,"$2,917.20 ",
SX,SX00435560045836,TAP CANN 4.0 Q/C,"$1,260.00 ",
SX,SX00435560045837,TAP CANN 4.5MM,$412.50 ,
SX,SX00435560045838,TAP CANN 4.5MM,$875.00 ,
SX,SX00435560045839,TAP CANN 4X147,"$3,011.04 ",
SX,SX00435560045840,TAP CANN 5.5MM,$875.00 ,
SX,SX00435560045841,TAP CANN 6.0MM,$875.00 ,
SX,SX00435560045842,TAP CANN 7.3X275,"$1,914.03 ",
SX,SX00435560045843,TAP CANN HXC SCR 5X6,$900.00 ,
SX,SX00435560045844,TAP CANNULATED 4.5 180MM,"$3,035.52 ",
SX,SX00435560045845,TAP CORT 1.5X20X50,$816.00 ,
SX,SX00435560045846,TAP CORT 2.7MM LNG,$875.00 ,
SX,SX00435560045847,TAP CORT 2.7X33X100 GLD,$875.00 ,
SX,SX00435560045848,TAP CORT 2X24,$816.00 ,
SX,SX00435560045849,TAP CORT 3.5,$900.00 ,
SX,SX00435560045850,TAP CORT 3.5X110 GLD,$875.00 ,
SX,SX00435560045851,TAP CORT/SHFT SCR,$876.69 ,
SX,SX00435560045852,TAP CORT3.5X180 GLD,$719.10 ,
SX,SX00435560045853,TAP COT/SHFT SCR 4.5,"$1,083.24 ",
SX,SX00435560045854,TAP CQ F/3.5MM SCR 175MM,$794.50 ,
SX,SX00435560045855,TAP CQ F/4.5MM SCR 125MM,$399.00 ,
SX,SX00435560045856,TAP CQ F/4.5MM SCR 180MM,$875.00 ,
SX,SX00435560045857,TAP CQ F/6.5MM SCR 196MM,$749.00 ,
SX,SX00435560045858,TAP CREO 5.5MM,$900.00 ,
SX,SX00435560045859,TAP CREO 6.5MM,$900.00 ,
SX,SX00435560045860,TAP CREO STABLZTN SYSTEM 7.5MM,$900.00 ,
SX,SX00435560045861,TAP DRIL BIT 2.8MM LNG,$505.00 ,
SX,SX00435560045862,TAP DUAL CORE SCR 5.2MM,$900.00 ,
SX,SX00435560045863,TAP DUAL CORE SCREW 4.0MM,$900.00 ,
SX,SX00435560045864,TAP DUAL CORE SCREW 5.0MM,$900.00 ,
SX,SX00435560045865,TAP DUAL CORE SCREW 6.0MM,$900.00 ,
SX,SX00435560045866,TAP DUAL CORE SCREW 7.0MM,$900.00 ,
SX,SX00435560045867,TAP DUAL-LEAD 5MM,$900.00 ,
SX,SX00435560045868,TAP F/1.5MM CORT SCR 3MM,"$1,029.60 ",
SX,SX00435560045869,TAP F/1.5MM CORT SCR 5MM,"$1,029.60 ",
SX,SX00435560045870,TAP F/1.5MM CORT SCR 6MM,"$1,029.60 ",
SX,SX00435560045871,TAP F/1.5MM CORT SCR4MM,"$1,029.60 ",
SX,SX00435560045872,TAP F/2.0 PITCH SCR/HEX,$497.25 ,
SX,SX00435560045873,TAP F/3.5 DUAL CORE SCR,$900.00 ,
SX,SX00435560045874,TAP F/4.0 DUAL CORE SCR,$900.00 ,
SX,SX00435560045875,TAP F/5.0 DUAL CORE SCR,$900.00 ,
SX,SX00435560045876,TAP F/5.5 DUAL CORE SCR,$900.00 ,
SX,SX00435560045877,TAP F/6.0 DUAL CORE SCR,$900.00 ,
SX,SX00435560045878,TAP F/7.0 DUAL CORE SCR,$900.00 ,
SX,SX00435560045879,TAP F/8.0 DUAL CORE SCR,$900.00 ,
SX,SX00435560045880,TAP F/9.0 DUAL CORE SCR,$900.00 ,
SX,SX00435560045881,TAP F/LCK SCR 2.7MM,$766.50 ,
SX,SX00435560045882,TAP LCK SCR 3.5MM QC,$766.50 ,
SX,SX00435560045883,TAP NCB 4MM,$875.00 ,
SX,SX00435560045884,TAP OCCIPITAL 4.5MM,$900.00 ,
SX,SX00435560045885,TAP PERI QC 4X110,$408.10 ,
SX,SX00435560045886,TAP Q-C F/ 2X53MM SCR,$342.65 ,
SX,SX00435560045887,TAP QC 6.5MM CANC,$750.00 ,
SX,SX00435560045888,TAP QC CANN 6.5MM,"$1,417.50 ",
SX,SX00435560045889,TAP QC F/1.5 SCREWS 50MM,$342.65 ,
SX,SX00435560045890,TAP QC LG FRAG 4.5MM,$165.00 ,
SX,SX00435560045891,TAP SURGCL 4.5MM,$392.00 ,
SX,SX00435560045892,TAP UNDERSIZE FOR 3.5 SCREWS,$900.00 ,
SX,SX00435560045893,TAP VIPER 2-5MM CANNULATED,$900.00 ,
SX,SX00435560045894,TAP VIPER 2-6MM SELF DRILL,$900.00 ,
SX,SX00435560045895,TAPE 1.3 SUTURE (MIN ORD 12EA),$175.67 ,
SX,SX00435560045896,TAPE 1.3 SUTURE (MIN ORD 12EA),$192.50 ,
SX,SX00435560045897,TAPE LABRAL WHITE,$385.00 ,
SX,SX00435560045898,TAPE MEASURING RADIOPAQUE,$137.50 ,
SX,SX00435560045899,TAPER POST 8.5X25MM LG,"$2,592.00 ",
SX,SX00435560045900,TARSYS 1X4CM 12-LAYER,"$1,822.50 ",
SX,SX00435560045901,TEMNO 18G X 6CM,$187.00 ,
SX,SX00435560045902,TEMP ROD 3.0X500MM,$275.00 ,
SX,SX00435560045903,TEMP ROD 5.0X500MM,$275.00 ,
